NU_ANO,Q024,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,A,1,AC,788
2019,A,1,AL,2141
2019,A,1,AM,2110
2019,A,1,AP,1046
2019,A,1,BA,11682
2019,A,1,CE,14158
2019,A,1,DF,649
2019,A,1,ES,1051
2019,A,1,GO,6228
2019,A,1,MA,11042
2019,A,1,MG,10126
2019,A,1,MS,1536
2019,A,1,MT,2299
2019,A,1,PA,9743
2019,A,1,PB,5167
2019,A,1,PE,11644
2019,A,1,PI,5988
2019,A,1,PR,3559
2019,A,1,RJ,3507
2019,A,1,RN,1968
2019,A,1,RO,1034
2019,A,1,RR,308
2019,A,1,RS,1851
2019,A,1,SC,1325
2019,A,1,SE,3242
2019,A,1,SP,9588
2019,A,1,TO,1954
2019,A,2,AC,2357
2019,A,2,AL,6232
2019,A,2,AM,7792
2019,A,2,AP,2618
2019,A,2,BA,25699
2019,A,2,CE,36028
2019,A,2,DF,3094
2019,A,2,ES,4831
2019,A,2,GO,12958
2019,A,2,MA,21556
2019,A,2,MG,27432
2019,A,2,MS,4802
2019,A,2,MT,6073
2019,A,2,PA,19226
2019,A,2,PB,9773
2019,A,2,PE,23960
2019,A,2,PI,10511
2019,A,2,PR,14672
2019,A,2,RJ,13399
2019,A,2,RN,5792
2019,A,2,RO,2749
2019,A,2,RR,766
2019,A,2,RS,7010
2019,A,2,SC,5386
2019,A,2,SE,5427
2019,A,2,SP,62456
2019,A,2,TO,4210
2019,A,3,AC,3417
2019,A,3,AL,8706
2019,A,3,AM,11928
2019,A,3,AP,3507
2019,A,3,BA,32537
2019,A,3,CE,44214
2019,A,3,DF,4895
2019,A,3,ES,6969
2019,A,3,GO,15319
2019,A,3,MA,25727
2019,A,3,MG,34685
2019,A,3,MS,4900
2019,A,3,MT,7142
2019,A,3,PA,25432
2019,A,3,PB,12214
2019,A,3,PE,28399
2019,A,3,PI,12722
2019,A,3,PR,12035
2019,A,3,RJ,21939
2019,A,3,RN,8408
2019,A,3,RO,4673
2019,A,3,RR,1173
2019,A,3,RS,12583
2019,A,3,SC,7967
2019,A,3,SE,6877
2019,A,3,SP,44561
2019,A,3,TO,4639
2019,A,4,AC,2852
2019,A,4,AL,6948
2019,A,4,AM,8704
2019,A,4,AP,3102
2019,A,4,BA,28338
2019,A,4,CE,24928
2019,A,4,DF,3790
2019,A,4,ES,5033
2019,A,4,GO,8100
2019,A,4,MA,20511
2019,A,4,MG,23162
2019,A,4,MS,3274
2019,A,4,MT,4163
2019,A,4,PA,21619
2019,A,4,PB,9797
2019,A,4,PE,18824
2019,A,4,PI,10363
2019,A,4,PR,6764
2019,A,4,RJ,16623
2019,A,4,RN,7719
2019,A,4,RO,3293
2019,A,4,RR,826
2019,A,4,RS,8238
2019,A,4,SC,3500
2019,A,4,SE,6127
2019,A,4,SP,25568
2019,A,4,TO,3325
2019,A,5,AC,2427
2019,A,5,AL,5144
2019,A,5,AM,6532
2019,A,5,AP,2642
2019,A,5,BA,22630
2019,A,5,CE,15091
2019,A,5,DF,2879
2019,A,5,ES,3521
2019,A,5,GO,5455
2019,A,5,MA,15011
2019,A,5,MG,15891
2019,A,5,MS,2322
2019,A,5,MT,2883
2019,A,5,PA,18133
2019,A,5,PB,7521
2019,A,5,PE,12926
2019,A,5,PI,7544
2019,A,5,PR,4520
2019,A,5,RJ,11886
2019,A,5,RN,6175
2019,A,5,RO,2505
2019,A,5,RR,606
2019,A,5,RS,6313
2019,A,5,SC,2095
2019,A,5,SE,4855
2019,A,5,SP,17690
2019,A,5,TO,2459
2019,A,6,AC,1951
2019,A,6,AL,3860
2019,A,6,AM,5124
2019,A,6,AP,2003
2019,A,6,BA,15600
2019,A,6,CE,9192
2019,A,6,DF,2167
2019,A,6,ES,2427
2019,A,6,GO,3906
2019,A,6,MA,10297
2019,A,6,MG,11183
2019,A,6,MS,1821
2019,A,6,MT,2165
2019,A,6,PA,13668
2019,A,6,PB,5565
2019,A,6,PE,8793
2019,A,6,PI,5553
2019,A,6,PR,3279
2019,A,6,RJ,7723
2019,A,6,RN,4611
2019,A,6,RO,1942
2019,A,6,RR,441
2019,A,6,RS,4590
2019,A,6,SC,1507
2019,A,6,SE,3431
