NU_ANO,TP_FAIXA_ETARIA,Q006,SG_UF_PROVA,QTD
2019,1,A,AC,80
2019,1,A,AL,217
2019,1,A,AM,194
2019,1,A,AP,73
2019,1,A,BA,1648
2019,1,A,CE,1539
2019,1,A,DF,55
2019,1,A,ES,47
2019,1,A,GO,246
2019,1,A,MA,1388
2019,1,A,MG,612
2019,1,A,MS,53
2019,1,A,MT,86
2019,1,A,PA,719
2019,1,A,PB,711
2019,1,A,PE,1568
2019,1,A,PI,1010
2019,1,A,PR,154
2019,1,A,RJ,254
2019,1,A,RN,252
2019,1,A,RO,48
2019,1,A,RR,32
2019,1,A,RS,85
2019,1,A,SC,44
2019,1,A,SE,397
2019,1,A,SP,580
2019,1,A,TO,127
2019,1,B,AC,380
2019,1,B,AL,1236
2019,1,B,AM,1082
2019,1,B,AP,548
2019,1,B,BA,7502
2019,1,B,CE,9495
2019,1,B,DF,260
2019,1,B,ES,466
2019,1,B,GO,2204
2019,1,B,MA,6130
2019,1,B,MG,4933
2019,1,B,MS,490
2019,1,B,MT,670
2019,1,B,PA,4703
2019,1,B,PB,3420
2019,1,B,PE,7881
2019,1,B,PI,3575
2019,1,B,PR,841
2019,1,B,RJ,1154
2019,1,B,RN,1323
2019,1,B,RO,384
2019,1,B,RR,162
2019,1,B,RS,649
2019,1,B,SC,272
2019,1,B,SE,1850
2019,1,B,SP,2432
2019,1,B,TO,905
2019,1,C,AC,311
2019,1,C,AL,932
2019,1,C,AM,1011
2019,1,C,AP,416
2019,1,C,BA,5212
2019,1,C,CE,5487
2019,1,C,DF,439
2019,1,C,ES,687
2019,1,C,GO,3604
2019,1,C,MA,3815
2019,1,C,MG,6574
2019,1,C,MS,875
2019,1,C,MT,1187
2019,1,C,PA,3966
2019,1,C,PB,2355
2019,1,C,PE,5277
2019,1,C,PI,1990
2019,1,C,PR,2268
2019,1,C,RJ,2394
2019,1,C,RN,879
2019,1,C,RO,569
2019,1,C,RR,173
2019,1,C,RS,1322
2019,1,C,SC,771
2019,1,C,SE,1370
2019,1,C,SP,6223
2019,1,C,TO,848
2019,1,C,AC,154
2019,1,C,AL,463
2019,1,C,AM,394
2019,1,C,AP,164
2019,1,C,BA,2185
2019,1,C,CE,1655
2019,1,C,DF,312
2019,1,C,ES,519
2019,1,C,GO,2126
2019,1,C,MA,1184
2019,1,C,MG,4009
2019,1,C,MS,583
2019,1,C,MT,738
2019,1,C,PA,1721
2019,1,C,PB,1046
2019,1,C,PE,1964
2019,1,C,PI,838
2019,1,C,PR,1827
2019,1,C,RJ,1627
2019,1,C,RN,436
2019,1,C,RO,301
2019,1,C,RR,59
2019,1,C,RS,1102
2019,1,C,SC,742
2019,1,C,SE,552
2019,1,C,SP,4986
2019,1,C,TO,384
2019,1,D,AC,143
2019,1,D,AL,397
2019,1,D,AM,373
2019,1,D,AP,169
2019,1,D,BA,1964
2019,1,D,CE,1656
2019,1,D,DF,309
2019,1,D,ES,489
2019,1,D,GO,2050
2019,1,D,MA,1130
2019,1,D,MG,4005
2019,1,D,MS,626
2019,1,D,MT,800
2019,1,D,PA,1560
2019,1,D,PB,924
2019,1,D,PE,1867
2019,1,D,PI,668
2019,1,D,PR,1869
2019,1,D,RJ,1585
2019,1,D,RN,398
2019,1,D,RO,312
2019,1,D,RR,59
2019,1,D,RS,1087
2019,1,D,SC,823
2019,1,D,SE,509
2019,1,D,SP,5950
2019,1,D,TO,355
2019,1,D,AC,86
2019,1,D,AL,283
2019,1,D,AM,195
2019,1,D,AP,100
2019,1,D,BA,1262
2019,1,D,CE,927
2019,1,D,DF,210
2019,1,D,ES,384
2019,1,D,GO,1311
2019,1,D,MA,663
2019,1,D,MG,2709
2019,1,D,MS,442
2019,1,D,MT,511
2019,1,D,PA,967
2019,1,D,PB,601
2019,1,D,PE,1089
2019,1,D,PI,472
2019,1,D,PR,1613
2019,1,D,RJ,1216
2019,1,D,RN,286
2019,1,D,RO,207
2019,1,D,RR,52
2019,1,D,RS,871
2019,1,D,SC,763
2019,1,D,SE,345
2019,1,D,SP,4954
2019,1,D,TO,255
2019,1,E,AC,111
2019,1,E,AL,365
2019,1,E,AM,291
2019,1,E,AP,146
2019,1,E,BA,1653
2019,1,E,CE,1129
2019,1,E,DF,266
2019,1,E,ES,509
2019,1,E,GO,1623
2019,1,E,MA,792
2019,1,E,MG,3565
2019,1,E,MS,540
2019,1,E,MT,665
2019,1,E,PA,1183
2019,1,E,PB,753
2019,1,E,PE,1376
2019,1,E,PI,598
2019,1,E,PR,1930
2019,1,E,RJ,1656
2019,1,E,RN,348
2019,1,E,RO,279
2019,1,E,RR,65
2019,1,E,RS,1159
2019,1,E,SC,1045
2019,1,E,SE,387
2019,1,E,SP,6866
2019,1,E,TO,337
2019,1,F,AC,114
2019,1,F,AL,356
2019,1,F,AM,254
2019,1,F,AP,151
2019,1,F,BA,1389
2019,1,F,CE,902
2019,1,F,DF,331
2019,1,F,ES,455
2019,1,F,GO,1480
