NU_ANO,TP_ESCOLA,TP_SEXO,SG_UF_PROVA,QTD
2020,2,M,AC,2729
2020,2,M,AL,6910
2020,2,M,AM,18861
2020,2,M,AP,2812
2020,2,M,BA,29710
2020,2,M,CE,52227
2020,2,M,DF,8572
2020,2,M,ES,9423
2020,2,M,GO,26393
2020,2,M,MA,17118
2020,2,M,MG,41894
2020,2,M,MS,7333
2020,2,M,MT,8168
2020,2,M,PA,20728
2020,2,M,PB,11377
2020,2,M,PE,28087
2020,2,M,PI,9331
2020,2,M,PR,24322
2020,2,M,RJ,26687
2020,2,M,RN,8002
2020,2,M,RO,6259
2020,2,M,RR,1431
2020,2,M,RS,18888
2020,2,M,SC,13386
2020,2,M,SE,6082
2020,2,M,SP,74441
2020,2,M,TO,6180
2020,3,F,AC,171
2020,3,F,AL,1980
2020,3,F,AM,777
2020,3,F,AP,278
2020,3,F,BA,6519
2020,3,F,CE,4188
2020,3,F,DF,3321
2020,3,F,ES,1565
2020,3,F,GO,3445
2020,3,F,MA,1628
2020,3,F,MG,8357
2020,3,F,MS,1056
2020,3,F,MT,1194
2020,3,F,PA,3345
2020,3,F,PB,2775
2020,3,F,PE,4861
2020,3,F,PI,1971
2020,3,F,PR,5847
2020,3,F,RJ,13201
2020,3,F,RN,2035
2020,3,F,RO,239
2020,3,F,RR,122
2020,3,F,RS,4172
2020,3,F,SC,2982
2020,3,F,SE,1746
2020,3,F,SP,29778
2020,3,F,TO,424
2020,3,M,AC,130
2020,3,M,AL,1637
2020,3,M,AM,771
2020,3,M,AP,264
2020,3,M,BA,5398
2020,3,M,CE,3766
2020,3,M,DF,2865
2020,3,M,ES,1401
2020,3,M,GO,3009
2020,3,M,MA,1366
2020,3,M,MG,7083
2020,3,M,MS,927
2020,3,M,MT,1007
2020,3,M,PA,3118
2020,3,M,PB,2392
2020,3,M,PE,4212
2020,3,M,PI,1523
2020,3,M,PR,5115
2020,3,M,RJ,11068
2020,3,M,RN,1778
2020,3,M,RO,241
2020,3,M,RR,115
2020,3,M,RS,3576
2020,3,M,SC,2585
2020,3,M,SE,1547
2020,3,M,SP,26138
2020,3,M,TO,322
2021,1,F,AC,9376
2021,1,F,AL,26094
2021,1,F,AM,28691
2021,1,F,AP,10233
2021,1,F,BA,114715
2021,1,F,CE,65495
2021,1,F,DF,28253
2021,1,F,ES,25484
2021,1,F,GO,46982
2021,1,F,MA,59086
2021,1,F,MG,146584
2021,1,F,MS,16940
2021,1,F,MT,24178
2021,1,F,PA,89949
2021,1,F,PB,45122
2021,1,F,PE,81819
2021,1,F,PI,36945
2021,1,F,PR,53285
2021,1,F,RJ,101855
2021,1,F,RN,35992
2021,1,F,RO,14079
2021,1,F,RR,3553
2021,1,F,RS,64190
2021,1,F,SC,29258
2021,1,F,SE,24844
2021,1,F,SP,202264
2021,1,F,TO,13202
2021,1,M,AC,5961
2021,1,M,AL,15659
2021,1,M,AM,18827
2021,1,M,AP,6655
2021,1,M,BA,62455
2021,1,M,CE,44401
2021,1,M,DF,17659
2021,1,M,ES,15708
2021,1,M,GO,26718
2021,1,M,MA,34615
2021,1,M,MG,84901
2021,1,M,MS,10141
2021,1,M,MT,13999
2021,1,M,PA,53109
2021,1,M,PB,30103
2021,1,M,PE,50532
2021,1,M,PI,22247
2021,1,M,PR,32525
2021,1,M,RJ,62032
2021,1,M,RN,24969
2021,1,M,RO,7731
2021,1,M,RR,2070
2021,1,M,RS,36710
2021,1,M,SC,16642
2021,1,M,SE,14583
2021,1,M,SP,122410
2021,1,M,TO,7147
2021,2,F,AC,2850
2021,2,F,AL,7238
2021,2,F,AM,22625
2021,2,F,AP,2622
2021,2,F,BA,50561
2021,2,F,CE,54795
2021,2,F,DF,9879
2021,2,F,ES,12245
2021,2,F,GO,33385
2021,2,F,MA,19285
2021,2,F,MG,51715
2021,2,F,MS,8478
2021,2,F,MT,10046
2021,2,F,PA,23100
2021,2,F,PB,13290
2021,2,F,PE,31630
2021,2,F,PI,10667
2021,2,F,PR,30339
2021,2,F,RJ,33049
2021,2,F,RN,9856
2021,2,F,RO,6575
2021,2,F,RR,1435
2021,2,F,RS,27121
2021,2,F,SC,18416
2021,2,F,SE,7118
2021,2,F,SP,83252
2021,2,F,TO,6107
2021,2,M,AC,1860
2021,2,M,AL,4134
2021,2,M,AM,18143
2021,2,M,AP,1755
2021,2,M,BA,26423
2021,2,M,CE,48262
2021,2,M,DF,6070
2021,2,M,ES,7954
2021,2,M,GO,23686
2021,2,M,MA,11905
2021,2,M,MG,29250
2021,2,M,MS,5067
2021,2,M,MT,5648
2021,2,M,PA,13807
2021,2,M,PB,8761
2021,2,M,PE,20971
2021,2,M,PI,6690
2021,2,M,PR,17633
2021,2,M,RJ,18250
2021,2,M,RN,6349
2021,2,M,RO,3908
2021,2,M,RR,833
2021,2,M,RS,14911
2021,2,M,SC,10641
2021,2,M,SE,4219
2021,2,M,SP,50096
2021,2,M,TO,3706
2021,3,F,AC,155
2021,3,F,AL,1963
2021,3,F,AM,784
2021,3,F,AP,247
2021,3,F,BA,6721
2021,3,F,CE,4022
2021,3,F,DF,3035
2021,3,F,ES,1497
2021,3,F,GO,3361
2021,3,F,MA,1613
2021,3,F,MG,8445
2021,3,F,MS,991
2021,3,F,MT,1136
2021,3,F,PA,3118
2021,3,F,PB,2526
2021,3,F,PE,4639
2021,3,F,PI,1852
