NU_ANO,Q024,Q025,SG_UF_PROVA,QTD
2019,A,A,AC,17188
2019,A,A,AL,22339
2019,A,A,AM,46595
2019,A,A,AP,18889
2019,A,A,BA,85431
2019,A,A,CE,90909
2019,A,A,DF,11252
2019,A,A,ES,11729
2019,A,A,GO,25734
2019,A,A,MA,96167
2019,A,A,MG,67557
2019,A,A,MS,13008
2019,A,A,MT,16942
2019,A,A,PA,125635
2019,A,A,PB,30878
2019,A,A,PE,48864
2019,A,A,PI,46110
2019,A,A,PR,17610
2019,A,A,RJ,35738
2019,A,A,RN,23097
2019,A,A,RO,13412
2019,A,A,RR,3810
2019,A,A,RS,22315
2019,A,A,SC,6535
2019,A,A,SE,22457
2019,A,A,SP,66163
2019,A,A,TO,13779
2019,A,B,AC,8953
2019,A,B,AL,30904
2019,A,B,AM,28951
2019,A,B,AP,10452
2019,A,B,BA,131355
2019,A,B,CE,97426
2019,A,B,DF,19397
2019,A,B,ES,26072
2019,A,B,GO,48406
2019,A,B,MA,58756
2019,A,B,MG,116671
2019,A,B,MS,18818
2019,A,B,MT,22032
2019,A,B,PA,68385
2019,A,B,PB,48995
2019,A,B,PE,100268
2019,A,B,PI,32608
2019,A,B,PR,47270
2019,A,B,RJ,83128
2019,A,B,RN,36945
2019,A,B,RO,16866
2019,A,B,RR,2936
2019,A,B,RS,47255
2019,A,B,SC,24753
2019,A,B,SE,24439
2019,A,B,SP,180437
2019,A,B,TO,12802
2019,B,A,AC,1797
2019,B,A,AL,1284
2019,B,A,AM,7410
2019,B,A,AP,2175
2019,B,A,BA,7214
2019,B,A,CE,5554
2019,B,A,DF,2718
2019,B,A,ES,2420
2019,B,A,GO,4328
2019,B,A,MA,6936
2019,B,A,MG,15460
2019,B,A,MS,2015
2019,B,A,MT,3549
2019,B,A,PA,13005
2019,B,A,PB,2459
2019,B,A,PE,3755
2019,B,A,PI,4868
2019,B,A,PR,4585
2019,B,A,RJ,8427
2019,B,A,RN,2767
2019,B,A,RO,2395
2019,B,A,RR,891
2019,B,A,RS,6605
2019,B,A,SC,1881
2019,B,A,SE,1491
2019,B,A,SP,17397
2019,B,A,TO,1791
2019,B,B,AC,9116
2019,B,B,AL,30042
2019,B,B,AM,28744
2019,B,B,AP,8966
2019,B,B,BA,148785
2019,B,B,CE,83494
2019,B,B,DF,43288
2019,B,B,ES,49851
2019,B,B,GO,74748
2019,B,B,MA,48209
2019,B,B,MG,267380
2019,B,B,MS,29345
2019,B,B,MT,37157
2019,B,B,PA,60573
2019,B,B,PB,53941
2019,B,B,PE,101877
2019,B,B,PI,32250
2019,B,B,PR,105988
2019,B,B,RJ,161491
2019,B,B,RN,46378
2019,B,B,RO,22125
2019,B,B,RR,3979
2019,B,B,RS,108926
2019,B,B,SC,57427
2019,B,B,SE,25150
2019,B,B,SP,413691
2019,B,B,TO,14844
2019,C,A,AC,46
2019,C,A,AL,22
2019,C,A,AM,293
2019,C,A,AP,55
2019,C,A,BA,153
2019,C,A,CE,196
2019,C,A,DF,138
2019,C,A,ES,67
2019,C,A,GO,151
2019,C,A,MA,147
2019,C,A,MG,491
2019,C,A,MS,62
2019,C,A,MT,95
2019,C,A,PA,335
2019,C,A,PB,60
2019,C,A,PE,109
