NU_ANO,TP_FAIXA_ETARIA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,6,1.0,TO,32
2019,6,2.0,AC,6
2019,6,2.0,AM,12
2019,6,2.0,AP,3
2019,6,2.0,BA,11
2019,6,2.0,CE,47
2019,6,2.0,DF,3
2019,6,2.0,ES,1
2019,6,2.0,GO,3
2019,6,2.0,MA,23
2019,6,2.0,MG,2
2019,6,2.0,MS,9
2019,6,2.0,MT,5
2019,6,2.0,PA,10
2019,6,2.0,PB,8
2019,6,2.0,PE,13
2019,6,2.0,PI,7
2019,6,2.0,PR,1
2019,6,2.0,RJ,5
2019,6,2.0,RN,4
2019,6,2.0,RO,3
2019,6,2.0,RS,1
2019,6,2.0,SC,2
2019,6,2.0,SE,7
2019,6,1.0,AC,18
2019,6,1.0,AL,61
2019,6,1.0,AM,95
2019,6,1.0,AP,25
2019,6,1.0,BA,187
2019,6,1.0,CE,569
2019,6,1.0,DF,47
2019,6,1.0,ES,62
2019,6,1.0,GO,76
2019,6,1.0,MA,95
2019,6,1.0,MG,218
2019,6,1.0,MS,35
2019,6,1.0,MT,39
2019,6,1.0,PA,239
2019,6,1.0,PB,113
2019,6,1.0,PE,121
2019,6,1.0,PI,85
2019,6,1.0,PR,84
2019,6,1.0,RJ,178
2019,6,1.0,RN,82
2019,6,1.0,RO,81
2019,6,1.0,RR,6
2019,6,1.0,RS,91
2019,6,1.0,SC,21
2019,6,1.0,SE,59
2019,6,1.0,SP,252
2019,6,1.0,TO,24
2019,6,2.0,AC,1
2019,6,2.0,AL,5
2019,6,2.0,AM,2
2019,6,2.0,AP,1
