NU_ANO,Q022,Q006,SG_UF_PROVA,QTD
2019,A,A,AC,279
2019,A,A,AL,457
2019,A,A,AM,920
2019,A,A,AP,320
2019,A,A,BA,2231
2019,A,A,CE,3075
2019,A,A,DF,160
2019,A,A,ES,123
2019,A,A,GO,276
2019,A,A,MA,2464
2019,A,A,MG,697
2019,A,A,MS,180
2019,A,A,MT,160
2019,A,A,PA,2076
2019,A,A,PB,652
2019,A,A,PE,1269
2019,A,A,PI,1061
2019,A,A,PR,142
2019,A,A,RJ,611
2019,A,A,RN,357
2019,A,A,RO,176
2019,A,A,RR,55
2019,A,A,RS,198
2019,A,A,SC,77
2019,A,A,SE,313
2019,A,A,SP,834
2019,A,A,TO,214
2019,A,B,AC,619
2019,A,B,AL,1042
2019,A,B,AM,1887
2019,A,B,AP,727
2019,A,B,BA,4705
2019,A,B,CE,6382
2019,A,B,DF,449
2019,A,B,ES,401
2019,A,B,GO,901
2019,A,B,MA,4331
2019,A,B,MG,2332
2019,A,B,MS,489
2019,A,B,MT,551
2019,A,B,PA,4808
2019,A,B,PB,1217
2019,A,B,PE,2914
2019,A,B,PI,1440
2019,A,B,PR,525
2019,A,B,RJ,1786
2019,A,B,RN,815
2019,A,B,RO,440
2019,A,B,RR,130
2019,A,B,RS,732
2019,A,B,SC,250
2019,A,B,SE,588
2019,A,B,SP,2328
2019,A,B,TO,522
2019,A,C,AC,245
2019,A,C,AL,353
2019,A,C,AM,902
2019,A,C,AP,316
2019,A,C,BA,1829
2019,A,C,CE,2293
2019,A,C,DF,492
2019,A,C,ES,426
2019,A,C,GO,822
2019,A,C,MA,1220
2019,A,C,MG,1697
2019,A,C,MS,400
2019,A,C,MT,490
2019,A,C,PA,1568
2019,A,C,PB,496
2019,A,C,PE,1130
2019,A,C,PI,371
2019,A,C,PR,662
2019,A,C,RJ,1704
2019,A,C,RN,376
2019,A,C,RO,361
2019,A,C,RR,85
2019,A,C,RS,909
2019,A,C,SC,334
2019,A,C,SE,272
2019,A,C,SP,3148
2019,A,C,TO,227
2019,A,C,AC,44
2019,A,C,AL,85
2019,A,C,AM,160
2019,A,C,AP,32
2019,A,C,BA,368
2019,A,C,CE,178
2019,A,C,DF,150
2019,A,C,ES,133
2019,A,C,GO,267
2019,A,C,MA,192
2019,A,C,MG,550
2019,A,C,MS,119
2019,A,C,MT,152
2019,A,C,PA,278
2019,A,C,PB,83
2019,A,C,PE,262
2019,A,C,PI,70
2019,A,C,PR,279
2019,A,C,RJ,473
2019,A,C,RN,89
2019,A,C,RO,76
2019,A,C,RR,19
2019,A,C,RS,311
2019,A,C,SC,142
2019,A,C,SE,57
2019,A,C,SP,1211
2019,A,C,TO,66
2019,A,D,AC,45
2019,A,D,AL,49
2019,A,D,AM,174
2019,A,D,AP,36
2019,A,D,BA,292
2019,A,D,CE,213
2019,A,D,DF,157
2019,A,D,ES,122
2019,A,D,GO,213
2019,A,D,MA,137
2019,A,D,MG,482
