NU_ANO,TP_LOCALIZACAO_ESC,TP_SEXO,SG_UF_PROVA,QTD
2020,2.0,M,TO,281
2021,1.0,F,AC,1668
2021,1.0,F,AL,5920
2021,1.0,F,AM,16566
2021,1.0,F,AP,1526
2021,1.0,F,BA,26628
2021,1.0,F,CE,45507
2021,1.0,F,DF,9580
2021,1.0,F,ES,9633
2021,1.0,F,GO,23629
2021,1.0,F,MA,11232
2021,1.0,F,MG,36161
2021,1.0,F,MS,5911
2021,1.0,F,MT,7054
2021,1.0,F,PA,14824
2021,1.0,F,PB,9175
2021,1.0,F,PE,21702
2021,1.0,F,PI,7425
2021,1.0,F,PR,23915
2021,1.0,F,RJ,31204
2021,1.0,F,RN,7125
2021,1.0,F,RO,4281
2021,1.0,F,RR,1006
2021,1.0,F,RS,20566
2021,1.0,F,SC,15261
2021,1.0,F,SE,4732
2021,1.0,F,SP,78860
2021,1.0,F,TO,3482
2021,1.0,M,AC,1250
2021,1.0,M,AL,4207
2021,1.0,M,AM,14469
2021,1.0,M,AP,1272
2021,1.0,M,BA,19108
2021,1.0,M,CE,41733
2021,1.0,M,DF,7137
2021,1.0,M,ES,7269
2021,1.0,M,GO,20018
2021,1.0,M,MA,8336
2021,1.0,M,MG,26131
2021,1.0,M,MS,4344
2021,1.0,M,MT,4821
2021,1.0,M,PA,10851
2021,1.0,M,PB,7445
2021,1.0,M,PE,17337
2021,1.0,M,PI,5591
2021,1.0,M,PR,17289
2021,1.0,M,RJ,22293
2021,1.0,M,RN,5656
2021,1.0,M,RO,2979
2021,1.0,M,RR,660
2021,1.0,M,RS,14011
2021,1.0,M,SC,10797
2021,1.0,M,SE,3641
2021,1.0,M,SP,59657
2021,1.0,M,TO,2556
2021,2.0,F,AC,117
2021,2.0,F,AL,228
2021,2.0,F,AM,1183
2021,2.0,F,AP,70
2021,2.0,F,BA,1323
2021,2.0,F,CE,2620
2021,2.0,F,DF,252
2021,2.0,F,ES,363
2021,2.0,F,GO,519
2021,2.0,F,MA,951
2021,2.0,F,MG,1079
2021,2.0,F,MS,293
2021,2.0,F,MT,507
2021,2.0,F,PA,709
2021,2.0,F,PB,338
2021,2.0,F,PE,1016
2021,2.0,F,PI,239
2021,2.0,F,PR,639
2021,2.0,F,RJ,638
