NU_ANO,TP_LOCALIZACAO_ESC,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,1.0,6,AL,64
2019,1.0,6,AM,131
2019,1.0,6,AP,35
2019,1.0,6,BA,273
2019,1.0,6,CE,755
2019,1.0,6,DF,45
2019,1.0,6,ES,86
2019,1.0,6,GO,101
2019,1.0,6,MA,132
2019,1.0,6,MG,273
2019,1.0,6,MS,56
2019,1.0,6,MT,43
2019,1.0,6,PA,356
2019,1.0,6,PB,146
2019,1.0,6,PE,169
2019,1.0,6,PI,120
2019,1.0,6,PR,116
2019,1.0,6,RJ,235
2019,1.0,6,RN,129
2019,1.0,6,RO,75
2019,1.0,6,RR,4
2019,1.0,6,RS,100
2019,1.0,6,SC,36
2019,1.0,6,SE,89
2019,1.0,6,SP,290
2019,1.0,6,TO,32
2019,1.0,6,AC,18
2019,1.0,6,AL,61
2019,1.0,6,AM,95
2019,1.0,6,AP,25
2019,1.0,6,BA,187
2019,1.0,6,CE,569
2019,1.0,6,DF,47
2019,1.0,6,ES,62
2019,1.0,6,GO,76
2019,1.0,6,MA,95
2019,1.0,6,MG,218
2019,1.0,6,MS,35
2019,1.0,6,MT,39
2019,1.0,6,PA,239
2019,1.0,6,PB,113
2019,1.0,6,PE,121
2019,1.0,6,PI,85
2019,1.0,6,PR,84
2019,1.0,6,RJ,178
2019,1.0,6,RN,82
2019,1.0,6,RO,81
2019,1.0,6,RR,6
2019,1.0,6,RS,91
2019,1.0,6,SC,21
2019,1.0,6,SE,59
2019,1.0,6,SP,252
2019,1.0,6,TO,24
2019,1.0,6,AC,53
2019,1.0,6,AL,200
2019,1.0,6,AM,331
2019,1.0,6,AP,104
2019,1.0,6,BA,515
2019,1.0,6,CE,1957
2019,1.0,6,DF,87
2019,1.0,6,ES,202
2019,1.0,6,GO,243
2019,1.0,6,MA,304
2019,1.0,6,MG,667
2019,1.0,6,MS,107
2019,1.0,6,MT,90
2019,1.0,6,PA,783
2019,1.0,6,PB,339
2019,1.0,6,PE,460
2019,1.0,6,PI,299
2019,1.0,6,PR,288
2019,1.0,6,RJ,512
2019,1.0,6,RN,205
2019,1.0,6,RO,250
2019,1.0,6,RR,8
2019,1.0,6,RS,256
2019,1.0,6,SC,79
2019,1.0,6,SE,131
2019,1.0,6,SP,793
2019,1.0,6,TO,49
2019,1.0,6,AC,17
2019,1.0,6,AL,107
2019,1.0,6,AM,194
2019,1.0,6,AP,69
2019,1.0,6,BA,301
2019,1.0,6,CE,1270
2019,1.0,6,DF,71
2019,1.0,6,ES,127
2019,1.0,6,GO,163
2019,1.0,6,MA,200
2019,1.0,6,MG,386
2019,1.0,6,MS,68
2019,1.0,6,MT,69
2019,1.0,6,PA,437
2019,1.0,6,PB,215
2019,1.0,6,PE,350
2019,1.0,6,PI,214
2019,1.0,6,PR,125
2019,1.0,6,RJ,278
2019,1.0,6,RN,139
2019,1.0,6,RO,155
2019,1.0,6,RR,4
2019,1.0,6,RS,123
2019,1.0,6,SC,44
2019,1.0,6,SE,62
2019,1.0,6,SP,521
