NU_ANO,TP_LOCALIZACAO_ESC,Q024,SG_UF_PROVA,QTD
2019,2.0,C,AC,2
2019,2.0,C,AL,3
2019,2.0,C,AM,9
2019,2.0,C,AP,2
2019,2.0,C,BA,55
2019,2.0,C,CE,36
2019,2.0,C,DF,15
2019,2.0,C,ES,54
2019,2.0,C,GO,42
2019,2.0,C,MA,27
2019,2.0,C,MG,230
2019,2.0,C,MS,25
2019,2.0,C,MT,68
2019,2.0,C,PA,4
2019,2.0,C,PB,14
2019,2.0,C,PE,44
2019,2.0,C,PI,3
2019,2.0,C,PR,78
2019,2.0,C,RJ,96
2019,2.0,C,RN,29
2019,2.0,C,RO,20
2019,2.0,C,RR,9
2019,2.0,C,RS,168
2019,2.0,C,SC,94
2019,2.0,C,SE,10
2019,2.0,C,SP,219
2019,2.0,C,TO,8
2019,2.0,D,AL,1
2019,2.0,D,AM,7
2019,2.0,D,AP,1
2019,2.0,D,BA,7
2019,2.0,D,CE,6
2019,2.0,D,DF,1
2019,2.0,D,ES,11
2019,2.0,D,GO,16
2019,2.0,D,MA,6
2019,2.0,D,MG,44
2019,2.0,D,MS,12
2019,2.0,D,MT,19
2019,2.0,D,PB,3
2019,2.0,D,PE,13
2019,2.0,D,PR,25
2019,2.0,D,RJ,23
2019,2.0,D,RN,6
2019,2.0,D,RO,6
2019,2.0,D,RS,32
2019,2.0,D,SC,25
2019,2.0,D,SE,1
2019,2.0,D,SP,61
2019,2.0,D,TO,1
2019,2.0,E,AM,2
2019,2.0,E,AP,1
2019,2.0,E,BA,2
2019,2.0,E,ES,3
2019,2.0,E,GO,4
2019,2.0,E,MA,4
2019,2.0,E,MG,9
2019,2.0,E,MS,3
2019,2.0,E,MT,2
2019,2.0,E,PB,1
2019,2.0,E,PE,5
2019,2.0,E,PR,7
2019,2.0,E,RJ,6
2019,2.0,E,RN,2
2019,2.0,E,RO,1
2019,2.0,E,RS,6
2019,2.0,E,SC,8
2019,2.0,E,SP,25
2019,2.0,E,TO,2
2020,1.0,A,AC,2095
2020,1.0,A,AL,8104
2020,1.0,A,AM,20057
2020,1.0,A,AP,2192
2020,1.0,A,BA,24681
2020,1.0,A,CE,79948
2020,1.0,A,DF,5037
2020,1.0,A,ES,6848
2020,1.0,A,GO,19972
2020,1.0,A,MA,17323
2020,1.0,A,MG,21717
2020,1.0,A,MS,4350
2020,1.0,A,MT,5792
2020,1.0,A,PA,21386
2020,1.0,A,PB,11348
2020,1.0,A,PE,28463
2020,1.0,A,PI,9693
2020,1.0,A,PR,10836
2020,1.0,A,RJ,19555
2020,1.0,A,RN,6908
2020,1.0,A,RO,5226
2020,1.0,A,RR,1143
2020,1.0,A,RS,9630
2020,1.0,A,SC,6067
2020,1.0,A,SE,6848
2020,1.0,A,SP,41494
2020,1.0,A,TO,4822
2020,1.0,B,AC,992
2020,1.0,B,AL,3787
2020,1.0,B,AM,6162
2020,1.0,B,AP,932
2020,1.0,B,BA,15582
2020,1.0,B,CE,14967
2020,1.0,B,DF,8265
2020,1.0,B,ES,7900
2020,1.0,B,GO,15069
2020,1.0,B,MA,5133
2020,1.0,B,MG,33692
2020,1.0,B,MS,4965
2020,1.0,B,MT,5881
2020,1.0,B,PA,7869
2020,1.0,B,PB,5666
2020,1.0,B,PE,12883
2020,1.0,B,PI,4062
2020,1.0,B,PR,19779
2020,1.0,B,RJ,27612
2020,1.0,B,RN,5326
2020,1.0,B,RO,3394
2020,1.0,B,RR,785
2020,1.0,B,RS,17189
2020,1.0,B,SC,13526
2020,1.0,B,SE,2796
2020,1.0,B,SP,78303
2020,1.0,B,TO,2182
2020,1.0,C,AC,157
2020,1.0,C,AL,699
2020,1.0,C,AM,1105
2020,1.0,C,AP,196
2020,1.0,C,BA,2871
2020,1.0,C,CE,2266
2020,1.0,C,DF,3053
2020,1.0,C,ES,1842
2020,1.0,C,GO,2576
2020,1.0,C,MA,846
2020,1.0,C,MG,8837
2020,1.0,C,MS,1217
2020,1.0,C,MT,1266
2020,1.0,C,PA,1455
2020,1.0,C,PB,1192
2020,1.0,C,PE,2514
2020,1.0,C,PI,734
2020,1.0,C,PR,6512
2020,1.0,C,RJ,7826
2020,1.0,C,RN,1170
2020,1.0,C,RO,512
2020,1.0,C,RR,222
2020,1.0,C,RS,5374
2020,1.0,C,SC,4455
2020,1.0,C,SE,603
2020,1.0,C,SP,24976
2020,1.0,C,TO,425
2020,1.0,D,AC,58
2020,1.0,D,AL,260
2020,1.0,D,AM,330
2020,1.0,D,AP,83
2020,1.0,D,BA,1013
2020,1.0,D,CE,819
2020,1.0,D,DF,1474
2020,1.0,D,ES,651
2020,1.0,D,GO,891
2020,1.0,D,MA,277
2020,1.0,D,MG,3021
2020,1.0,D,MS,466
2020,1.0,D,MT,420
2020,1.0,D,PA,495
2020,1.0,D,PB,438
2020,1.0,D,PE,1111
2020,1.0,D,PI,224
2020,1.0,D,PR,2646
2020,1.0,D,RJ,3292
2020,1.0,D,RN,457
2020,1.0,D,RO,138
2020,1.0,D,RR,72
2020,1.0,D,RS,1976
2020,1.0,D,SC,1563
2020,1.0,D,SE,204
2020,1.0,D,SP,10524
2020,1.0,D,TO,150
2020,1.0,E,AC,16
2020,1.0,E,AL,100
2020,1.0,E,AM,161
2020,1.0,E,AP,33
2020,1.0,E,BA,484
2020,1.0,E,CE,401
2020,1.0,E,DF,958
2020,1.0,E,ES,284
2020,1.0,E,GO,375
2020,1.0,E,MA,125
2020,1.0,E,MG,1574
2020,1.0,E,MS,178
2020,1.0,E,MT,153
2020,1.0,E,PA,189
2020,1.0,E,PB,208
2020,1.0,E,PE,542
2020,1.0,E,PI,99
2020,1.0,E,PR,1316
2020,1.0,E,RJ,1878
2020,1.0,E,RN,197
2020,1.0,E,RO,56
2020,1.0,E,RR,37
2020,1.0,E,RS,944
2020,1.0,E,SC,695
2020,1.0,E,SE,81
2020,1.0,E,SP,6095
2020,1.0,E,TO,53
2020,2.0,A,AC,198
2020,2.0,A,AL,498
2020,2.0,A,AM,1620
2020,2.0,A,AP,172
2020,2.0,A,BA,1740
2020,2.0,A,CE,5380
2020,2.0,A,DF,231
2020,2.0,A,ES,237
2020,2.0,A,GO,405
2020,2.0,A,MA,2078
2020,2.0,A,MG,778
2020,2.0,A,MS,290
2020,2.0,A,MT,507
2020,2.0,A,PA,1272
2020,2.0,A,PB,409
2020,2.0,A,PE,1657
2020,2.0,A,PI,553
2020,2.0,A,PR,540
2020,2.0,A,RJ,677
2020,2.0,A,RN,267
2020,2.0,A,RO,228
2020,2.0,A,RR,119
2020,2.0,A,RS,346
2020,2.0,A,SC,161
2020,2.0,A,SE,494
2020,2.0,A,SP,798
2020,2.0,A,TO,410
2020,2.0,B,AC,27
2020,2.0,B,AL,96
2020,2.0,B,AM,133
2020,2.0,B,AP,13
2020,2.0,B,BA,468
2020,2.0,B,CE,367
2020,2.0,B,DF,140
2020,2.0,B,ES,324
2020,2.0,B,GO,324
2020,2.0,B,MA,289
2020,2.0,B,MG,932
2020,2.0,B,MS,186
2020,2.0,B,MT,367
2020,2.0,B,PA,158
2020,2.0,B,PB,121
2020,2.0,B,PE,372
2020,2.0,B,PI,76
2020,2.0,B,PR,376
2020,2.0,B,RJ,497
2020,2.0,B,RN,149
2020,2.0,B,RO,197
2020,2.0,B,RR,55
2020,2.0,B,RS,511
2020,2.0,B,SC,320
2020,2.0,B,SE,78
2020,2.0,B,SP,861
2020,2.0,B,TO,105
2020,2.0,C,AC,1
2020,2.0,C,AL,5
2020,2.0,C,AM,16
2020,2.0,C,BA,45
2020,2.0,C,CE,13
2020,2.0,C,DF,15
2020,2.0,C,ES,46
2020,2.0,C,GO,53
2020,2.0,C,MA,25
2020,2.0,C,MG,164
2020,2.0,C,MS,33
2020,2.0,C,MT,54
2020,2.0,C,PA,12
2020,2.0,C,PB,11
2020,2.0,C,PE,37
2020,2.0,C,PI,9
2020,2.0,C,PR,51
2020,2.0,C,RJ,80
2020,2.0,C,RN,24
2020,2.0,C,RO,23
2020,2.0,C,RR,10
2020,2.0,C,RS,113
2020,2.0,C,SC,88
2020,2.0,C,SE,16
2020,2.0,C,SP,163
2020,2.0,C,TO,16
2020,2.0,D,AL,1
2020,2.0,D,AM,1
2020,2.0,D,BA,10
2020,2.0,D,CE,4
2020,2.0,D,DF,4
2020,2.0,D,ES,12
2020,2.0,D,GO,15
2020,2.0,D,MA,8
2020,2.0,D,MG,40
2020,2.0,D,MS,7
2020,2.0,D,MT,9
2020,2.0,D,PA,1
2020,2.0,D,PB,1
2020,2.0,D,PE,6
2020,2.0,D,PR,18
2020,2.0,D,RJ,23
2020,2.0,D,RN,7
2020,2.0,D,RO,5
2020,2.0,D,RR,3
2020,2.0,D,RS,27
2020,2.0,D,SC,18
2020,2.0,D,SE,1
2020,2.0,D,SP,50
2020,2.0,D,TO,4
2020,2.0,E,BA,3
2020,2.0,E,DF,4
2020,2.0,E,ES,1
2020,2.0,E,GO,4
2020,2.0,E,MA,1
2020,2.0,E,MG,12
2020,2.0,E,MS,9
2020,2.0,E,MT,2
2020,2.0,E,PB,1
2020,2.0,E,PE,1
2020,2.0,E,PI,1
2020,2.0,E,PR,3
2020,2.0,E,RJ,9
2020,2.0,E,RN,2
2020,2.0,E,RO,3
2020,2.0,E,RS,8
2020,2.0,E,SC,3
2020,2.0,E,SE,2
2020,2.0,E,SP,26
2020,2.0,E,TO,1
2021,1.0,A,AC,1629
2021,1.0,A,AL,5361
2021,1.0,A,AM,21937
2021,1.0,A,AP,1529
2021,1.0,A,BA,22466
2021,1.0,A,CE,68415
2021,1.0,A,DF,3564
2021,1.0,A,ES,5675
