NU_ANO,TP_COR_RACA,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,0,6,PR,83
2019,0,6,RJ,219
2019,0,6,RN,71
2019,0,6,RO,32
2019,0,6,RR,6
2019,0,6,RS,131
2019,0,6,SC,53
2019,0,6,SE,42
2019,0,6,SP,229
2019,0,6,TO,14
2019,0,6,AC,88
2019,0,6,AL,219
2019,0,6,AM,263
2019,0,6,AP,87
2019,0,6,BA,720
2019,0,6,CE,513
2019,0,6,DF,278
2019,0,6,ES,164
2019,0,6,GO,339
2019,0,6,MA,283
2019,0,6,MG,1185
2019,0,6,MS,107
2019,0,6,MT,145
2019,0,6,PA,462
2019,0,6,PB,316
2019,0,6,PE,568
2019,0,6,PI,164
2019,0,6,PR,310
2019,0,6,RJ,753
2019,0,6,RN,292
2019,0,6,RO,144
2019,0,6,RR,16
2019,0,6,RS,404
2019,0,6,SC,177
2019,0,6,SE,130
2019,0,6,SP,953
2019,0,6,TO,57
2019,0,6,AC,60
2019,0,6,AL,135
2019,0,6,AM,173
2019,0,6,AP,49
2019,0,6,BA,460
2019,0,6,CE,379
2019,0,6,DF,210
2019,0,6,ES,94
2019,0,6,GO,213
2019,0,6,MA,203
2019,0,6,MG,738
2019,0,6,MS,66
2019,0,6,MT,91
2019,0,6,PA,298
2019,0,6,PB,201
2019,0,6,PE,359
2019,0,6,PI,127
2019,0,6,PR,180
2019,0,6,RJ,456
2019,0,6,RN,192
2019,0,6,RO,64
2019,0,6,RR,5
2019,0,6,RS,256
2019,0,6,SC,110
2019,0,6,SE,88
2019,0,6,SP,560
2019,0,6,TO,31
2019,0,6,AC,31
2019,0,6,AL,79
2019,0,6,AM,113
2019,0,6,AP,40
2019,0,6,BA,309
2019,0,6,CE,233
2019,0,6,DF,133
2019,0,6,ES,48
2019,0,6,GO,146
2019,0,6,MA,119
2019,0,6,MG,466
2019,0,6,MS,55
2019,0,6,MT,61
2019,0,6,PA,208
2019,0,6,PB,133
2019,0,6,PE,227
2019,0,6,PI,72
2019,0,6,PR,127
2019,0,6,RJ,303
2019,0,6,RN,105
2019,0,6,RO,61
2019,0,6,RR,7
2019,0,6,RS,175
2019,0,6,SC,57
2019,0,6,SE,59
2019,0,6,SP,356
2019,0,6,TO,16
2019,0,6,AC,17
2019,0,6,AL,54
2019,0,6,AM,52
2019,0,6,AP,13
2019,0,6,BA,130
2019,0,6,CE,145
2019,0,6,DF,82
2019,0,6,ES,35
2019,0,6,GO,62
2019,0,6,MA,57
2019,0,6,MG,233
2019,0,6,MS,21
2019,0,6,MT,31
2019,0,6,PA,123
2019,0,6,PB,61
2019,0,6,PE,118
2019,0,6,PI,40
2019,0,6,PR,66
2019,0,6,RJ,182
2019,0,6,RN,49
2019,0,6,RO,21
2019,0,6,RR,5
2019,0,6,RS,86
2019,0,6,SC,22
2019,0,6,SE,19
2019,0,6,SP,195
2019,0,6,TO,11
2019,0,6,AC,6
2019,0,6,AL,16
2019,0,6,AM,34
2019,0,6,AP,12
2019,0,6,BA,70
2019,0,6,CE,66
2019,0,6,DF,50
2019,0,6,ES,18
2019,0,6,GO,26
2019,0,6,MA,27
2019,0,6,MG,144
2019,0,6,MS,13
2019,0,6,MT,14
2019,0,6,PA,59
2019,0,6,PB,29
2019,0,6,PE,81
2019,0,6,PI,21
2019,0,6,PR,30
2019,0,6,RJ,115
2019,0,6,RN,31
2019,0,6,RO,12
2019,0,6,RR,3
2019,0,6,RS,60
2019,0,6,SC,11
2019,0,6,SE,22
2019,0,6,SP,102
2019,0,6,TO,11
2019,0,6,AC,7
2019,0,6,AL,11
2019,0,6,AM,13
2019,0,6,AP,6
2019,0,6,BA,35
2019,0,6,CE,43
2019,0,6,DF,23
2019,0,6,ES,17
2019,0,6,GO,17
2019,0,6,MA,13
2019,0,6,MG,84
2019,0,6,MS,5
2019,0,6,MT,11
2019,0,6,PA,28
2019,0,6,PB,20
2019,0,6,PE,38
2019,0,6,PI,11
2019,0,6,PR,19
2019,0,6,RJ,67
2019,0,6,RN,18
2019,0,6,RO,9
2019,0,6,RS,28
2019,0,6,SC,9
2019,0,6,SE,11
2019,0,6,SP,55
2019,0,6,TO,2
2019,0,6,AC,3
2019,0,6,AL,5
2019,0,6,AM,9
2019,0,6,AP,3
2019,0,6,BA,21
2019,0,6,CE,19
2019,0,6,DF,20
2019,0,6,ES,5
2019,0,6,GO,10
2019,0,6,MA,4
2019,0,6,MG,48
2019,0,6,MS,4
2019,0,6,MT,4
2019,0,6,PA,14
2019,0,6,PB,5
2019,0,6,PE,18
2019,0,6,PI,4
2019,0,6,PR,9
2019,0,6,RJ,46
2019,0,6,RN,8
2019,0,6,RO,2
2019,0,6,RS,16
2019,0,6,SC,6
2019,0,6,SE,7
2019,0,6,SP,36
2019,0,6,TO,1
2019,0,6,AL,2
2019,0,6,AM,2
2019,0,6,AP,1
2019,0,6,BA,10
2019,0,6,CE,6
2019,0,6,DF,3
2019,0,6,ES,3
2019,0,6,GO,2
2019,0,6,MA,1
2019,0,6,MG,9
2019,0,6,MS,1
2019,0,6,MT,3
2019,0,6,PA,3
2019,0,6,PE,8
2019,0,6,PI,3
2019,0,6,PR,1
2019,0,6,RJ,16
2019,0,6,RN,5
2019,0,6,RO,1
2019,0,6,RS,8
2019,0,6,SC,2
2019,0,6,SE,3
2019,0,6,SP,17
2019,0,6,AL,1
2019,0,6,AM,1
2019,0,6,BA,3
2019,0,6,CE,3
2019,0,6,DF,2
2019,0,6,ES,1
2019,0,6,MA,3
2019,0,6,MG,3
2019,0,6,MS,1
2019,0,6,MT,1
2019,0,6,PA,2
2019,0,6,PE,3
2019,0,6,PR,1
2019,0,6,RJ,9
2019,0,6,RO,1
2019,0,6,RS,1
2019,0,6,SC,1
2019,0,6,SP,2
2019,0,6,CE,2
2019,0,6,DF,1
2019,0,6,MG,5
2019,0,6,PE,1
2019,0,6,PI,1
2019,0,6,RJ,5
2019,0,6,RS,1
2019,0,6,SE,1
2019,0,6,SP,2
2019,1,1,AC,554
2019,1,1,AL,1983
2019,1,1,AM,1361
2019,1,1,AP,614
2019,1,1,BA,7272
2019,1,1,CE,8151
2019,1,1,DF,2797
2019,1,1,ES,3248
2019,1,1,GO,8599
2019,1,1,MA,4466
2019,1,1,MG,22182
2019,1,1,MS,3775
2019,1,1,MT,3638
2019,1,1,PA,5021
2019,1,1,PB,5108
2019,1,1,PE,10374
2019,1,1,PI,2890
2019,1,1,PR,15785
2019,1,1,RJ,12469
2019,1,1,RN,2916
2019,1,1,RO,1248
2019,1,1,RR,273
2019,1,1,RS,9870
2019,1,1,SC,8409
2019,1,1,SE,2024
2019,1,1,SP,52839
2019,1,1,TO,1308
2019,1,2,AC,716
2019,1,2,AL,2965
2019,1,2,AM,2358
2019,1,2,AP,859
2019,1,2,BA,9932
2019,1,2,CE,11647
2019,1,2,DF,5516
2019,1,2,ES,6173
2019,1,2,GO,11359
2019,1,2,MA,5856
2019,1,2,MG,35935
2019,1,2,MS,5721
2019,1,2,MT,5210
2019,1,2,PA,6058
2019,1,2,PB,5636
2019,1,2,PE,13583
2019,1,2,PI,3396
2019,1,2,PR,33902
2019,1,2,RJ,24857
2019,1,2,RN,4939
2019,1,2,RO,1914
2019,1,2,RR,342
2019,1,2,RS,24324
2019,1,2,SC,19169
2019,1,2,SE,2036
2019,1,2,SP,129535
2019,1,2,TO,1641
2019,1,3,AC,767
2019,1,3,AL,3048
2019,1,3,AM,2692
2019,1,3,AP,894
2019,1,3,BA,9703
2019,1,3,CE,11202
2019,1,3,DF,5475
2019,1,3,ES,6552
2019,1,3,GO,10500
2019,1,3,MA,6045
2019,1,3,MG,37702
2019,1,3,MS,4626
2019,1,3,MT,4553
2019,1,3,PA,6258
2019,1,3,PB,5538
2019,1,3,PE,12756
2019,1,3,PI,3417
2019,1,3,PR,23937
2019,1,3,RJ,27705
2019,1,3,RN,5677
2019,1,3,RO,2279
2019,1,3,RR,353
2019,1,3,RS,33434
2019,1,3,SC,21321
2019,1,3,SE,1842
2019,1,3,SP,84234
2019,1,3,TO,1492
2019,1,4,AC,587
2019,1,4,AL,2149
2019,1,4,AM,1760
2019,1,4,AP,705
2019,1,4,BA,7031
2019,1,4,CE,6634
2019,1,4,DF,3371
2019,1,4,ES,4348
2019,1,4,GO,5446
2019,1,4,MA,4632
2019,1,4,MG,23917
2019,1,4,MS,2792
2019,1,4,MT,2359
2019,1,4,PA,4381
2019,1,4,PB,4096
2019,1,4,PE,8283
