NU_ANO,Q025,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,A,1,AC,497
2019,A,1,AL,737
2019,A,1,AM,1523
2019,A,1,AP,657
2019,A,1,BA,4426
2019,A,1,CE,6459
2019,A,1,DF,248
2019,A,1,ES,329
2019,A,1,GO,1925
2019,A,1,MA,6933
2019,A,1,MG,3842
2019,A,1,MS,524
2019,A,1,MT,934
2019,A,1,PA,5938
2019,A,1,PB,1776
2019,A,1,PE,3700
2019,A,1,PI,3468
2019,A,1,PR,898
2019,A,1,RJ,816
2019,A,1,RN,683
2019,A,1,RO,422
2019,A,1,RR,214
2019,A,1,RS,564
2019,A,1,SC,235
2019,A,1,SE,1393
2019,A,1,SP,2263
2019,A,1,TO,999
2019,A,2,AC,1631
2019,A,2,AL,2469
2019,A,2,AM,5651
2019,A,2,AP,1696
2019,A,2,BA,10222
2019,A,2,CE,18691
2019,A,2,DF,977
2019,A,2,ES,1636
2019,A,2,GO,4393
2019,A,2,MA,14278
2019,A,2,MG,10854
2019,A,2,MS,1775
2019,A,2,MT,2769
2019,A,2,PA,12786
2019,A,2,PB,3681
2019,A,2,PE,7850
2019,A,2,PI,6367
2019,A,2,PR,4210
2019,A,2,RJ,3760
2019,A,2,RN,2114
2019,A,2,RO,1221
2019,A,2,RR,465
2019,A,2,RS,2276
2019,A,2,SC,1082
2019,A,2,SE,2535
2019,A,2,SP,17390
2019,A,2,TO,2306
2019,A,3,AC,2358
2019,A,3,AL,3628
2019,A,3,AM,8260
2019,A,3,AP,2410
2019,A,3,BA,13359
2019,A,3,CE,23429
2019,A,3,DF,1723
2019,A,3,ES,2428
2019,A,3,GO,5560
2019,A,3,MA,17187
2019,A,3,MG,14044
2019,A,3,MS,2112
2019,A,3,MT,3510
2019,A,3,PA,17410
2019,A,3,PB,4888
2019,A,3,PE,9573
2019,A,3,PI,7871
2019,A,3,PR,3672
2019,A,3,RJ,6717
2019,A,3,RN,3300
2019,A,3,RO,2156
2019,A,3,RR,829
2019,A,3,RS,4482
2019,A,3,SC,1744
2019,A,3,SE,3335
2019,A,3,SP,12809
2019,A,3,TO,2729
2019,A,4,AC,2019
2019,A,4,AL,2921
2019,A,4,AM,5767
2019,A,4,AP,2164
2019,A,4,BA,11813
2019,A,4,CE,12424
2019,A,4,DF,1477
2019,A,4,ES,1752
2019,A,4,GO,3133
2019,A,4,MA,13377
2019,A,4,MG,9418
2019,A,4,MS,1453
2019,A,4,MT,2028
2019,A,4,PA,14902
2019,A,4,PB,3908
2019,A,4,PE,6471
2019,A,4,PI,6545
2019,A,4,PR,2201
2019,A,4,RJ,5466
2019,A,4,RN,3151
2019,A,4,RO,1636
2019,A,4,RR,549
2019,A,4,RS,3067
2019,A,4,SC,873
2019,A,4,SE,3009
2019,A,4,SP,8096
2019,A,4,TO,1935
2019,A,5,AC,1751
2019,A,5,AL,2290
2019,A,5,AM,4515
2019,A,5,AP,1866
2019,A,5,BA,9346
2019,A,5,CE,7524
2019,A,5,DF,1201
2019,A,5,ES,1214
2019,A,5,GO,2268
2019,A,5,MA,9978
2019,A,5,MG,6952
2019,A,5,MS,1131
2019,A,5,MT,1570
2019,A,5,PA,12818
2019,A,5,PB,3094
2019,A,5,PE,4400
2019,A,5,PI,4914
2019,A,5,PR,1582
2019,A,5,RJ,4116
2019,A,5,RN,2626
2019,A,5,RO,1270
2019,A,5,RR,405
2019,A,5,RS,2487
2019,A,5,SC,606
2019,A,5,SE,2435
2019,A,5,SP,6103
2019,A,5,TO,1464
2019,A,6,AC,1452
2019,A,6,AL,1717
2019,A,6,AM,3559
2019,A,6,AP,1471
2019,A,6,BA,6864
2019,A,6,CE,4691
2019,A,6,DF,1002
2019,A,6,ES,895
2019,A,6,GO,1712
2019,A,6,MA,6999
2019,A,6,MG,5124
2019,A,6,MS,899
2019,A,6,MT,1205
2019,A,6,PA,9910
2019,A,6,PB,2357
2019,A,6,PE,3146
2019,A,6,PI,3776
2019,A,6,PR,1221
2019,A,6,RJ,2964
2019,A,6,RN,1977
2019,A,6,RO,1006
2019,A,6,RR,317
2019,A,6,RS,1912
2019,A,6,SC,468
2019,A,6,SE,1877
2019,A,6,SP,4662
2019,A,6,TO,1077
2019,A,6,AC,1280
2019,A,6,AL,1474
2019,A,6,AM,2947
2019,A,6,AP,1259
2019,A,6,BA,5515
2019,A,6,CE,3512
2019,A,6,DF,770
2019,A,6,ES,778
2019,A,6,GO,1508
2019,A,6,MA,5505
2019,A,6,MG,4468
2019,A,6,MS,819
2019,A,6,MT,1015
2019,A,6,PA,8285
2019,A,6,PB,1978
2019,A,6,PE,2498
2019,A,6,PI,2818
2019,A,6,PR,1020
2019,A,6,RJ,2617
2019,A,6,RN,1611
2019,A,6,RO,917
2019,A,6,RR,270
2019,A,6,RS,1594
2019,A,6,SC,409
2019,A,6,SE,1460
2019,A,6,SP,4171
2019,A,6,TO,793
2019,A,6,AC,1012
2019,A,6,AL,1204
2019,A,6,AM,2577
2019,A,6,AP,1105
2019,A,6,BA,4403
2019,A,6,CE,2769
2019,A,6,DF,748
2019,A,6,ES,664
2019,A,6,GO,1185
2019,A,6,MA,4391
2019,A,6,MG,3716
2019,A,6,MS,677
2019,A,6,MT,833
2019,A,6,PA,7130
2019,A,6,PB,1511
2019,A,6,PE,2003
2019,A,6,PI,2314
2019,A,6,PR,909
2019,A,6,RJ,2046
2019,A,6,RN,1356
2019,A,6,RO,806
2019,A,6,RR,206
2019,A,6,RS,1451
2019,A,6,SC,381
2019,A,6,SE,1148
2019,A,6,SP,3481
2019,A,6,TO,674
2019,A,6,AC,936
2019,A,6,AL,1015
2019,A,6,AM,2230
2019,A,6,AP,937
2019,A,6,BA,3648
2019,A,6,CE,2192
2019,A,6,DF,671
2019,A,6,ES,538
2019,A,6,GO,1035
2019,A,6,MA,3601
2019,A,6,MG,3120
2019,A,6,MS,568
2019,A,6,MT,768
2019,A,6,PA,5782
2019,A,6,PB,1323
2019,A,6,PE,1611
2019,A,6,PI,1781
2019,A,6,PR,816
2019,A,6,RJ,1787
2019,A,6,RN,1272
2019,A,6,RO,712
2019,A,6,RR,201
2019,A,6,RS,1252
2019,A,6,SC,343
2019,A,6,SE,911
2019,A,6,SP,2905
2019,A,6,TO,570
2019,A,6,AC,763
2019,A,6,AL,801
2019,A,6,AM,1860
2019,A,6,AP,811
2019,A,6,BA,2941
2019,A,6,CE,1731
2019,A,6,DF,581
2019,A,6,ES,426
2019,A,6,GO,909
2019,A,6,MA,2766
2019,A,6,MG,2583
2019,A,6,MS,530
2019,A,6,MT,641
2019,A,6,PA,5039
2019,A,6,PB,1095
2019,A,6,PE,1299
2019,A,6,PI,1359
2019,A,6,PR,733
2019,A,6,RJ,1404
2019,A,6,RN,993
2019,A,6,RO,618
2019,A,6,RR,164
2019,A,6,RS,1151
2019,A,6,SC,274
2019,A,6,SE,789
2019,A,6,SP,2454
2019,A,6,TO,450
2019,A,6,AC,2455
2019,A,6,AL,2430
2019,A,6,AM,6281
2019,A,6,AP,2770
2019,A,6,BA,8618
2019,A,6,CE,5533
2019,A,6,DF,1900
2019,A,6,ES,1478
2019,A,6,GO,2856
2019,A,6,MA,8126
2019,A,6,MG,8147
2019,A,6,MS,1881
2019,A,6,MT,2188
2019,A,6,PA,16063
2019,A,6,PB,3499
2019,A,6,PE,4260
2019,A,6,PI,4332
2019,A,6,PR,2316
2019,A,6,RJ,4541
2019,A,6,RN,3020
2019,A,6,RO,2151
2019,A,6,RR,478
2019,A,6,RS,3522
2019,A,6,SC,939
2019,A,6,SE,2284
2019,A,6,SP,7950
2019,A,6,TO,1256
2019,A,6,AC,1415
2019,A,6,AL,1353
2019,A,6,AM,3873
2019,A,6,AP,1668
2019,A,6,BA,4953
2019,A,6,CE,3349
2019,A,6,DF,1152
2019,A,6,ES,826
2019,A,6,GO,1633
2019,A,6,MA,4777
2019,A,6,MG,4458
2019,A,6,MS,1215
2019,A,6,MT,1304
2019,A,6,PA,9634
2019,A,6,PB,1938
2019,A,6,PE,2376
2019,A,6,PI,2530
2019,A,6,PR,1231
2019,A,6,RJ,2725
2019,A,6,RN,1693
2019,A,6,RO,1311
2019,A,6,RR,291
2019,A,6,RS,2090
2019,A,6,SC,516
2019,A,6,SE,1287
2019,A,6,SP,4750
2019,A,6,TO,623
2019,A,6,AC,857
2019,A,6,AL,865
2019,A,6,AM,2712
2019,A,6,AP,1160
2019,A,6,BA,3253
2019,A,6,CE,2049
2019,A,6,DF,741
2019,A,6,ES,579
2019,A,6,GO,1028
2019,A,6,MA,2778
2019,A,6,MG,3116
2019,A,6,MS,759
2019,A,6,MT,896
2019,A,6,PA,6481
2019,A,6,PB,1183
2019,A,6,PE,1542
2019,A,6,PI,1468
2019,A,6,PR,794
2019,A,6,RJ,2026
2019,A,6,RN,1072
2019,A,6,RO,862
2019,A,6,RR,201
2019,A,6,RS,1419
2019,A,6,SC,305
2019,A,6,SE,755
2019,A,6,SP,3208
2019,A,6,TO,400
2019,A,6,AC,382
2019,A,6,AL,393
2019,A,6,AM,1374
2019,A,6,AP,632
2019,A,6,BA,1679
2019,A,6,CE,1122
2019,A,6,DF,447
2019,A,6,ES,299
2019,A,6,GO,538
2019,A,6,MA,1371
2019,A,6,MG,1669
2019,A,6,MS,374
2019,A,6,MT,477
2019,A,6,PA,3570
2019,A,6,PB,581
2019,A,6,PE,893
2019,A,6,PI,781
2019,A,6,PR,408
2019,A,6,RJ,1379
2019,A,6,RN,559
2019,A,6,RO,442
2019,A,6,RR,88
2019,A,6,RS,814
2019,A,6,SC,162
2019,A,6,SE,388
2019,A,6,SP,1921
2019,A,6,TO,191
2019,A,6,AC,149
2019,A,6,AL,180
2019,A,6,AM,729
2019,A,6,AP,281
2019,A,6,BA,904
2019,A,6,CE,615
2019,A,6,DF,269
2019,A,6,ES,188
2019,A,6,GO,285
2019,A,6,MA,675
2019,A,6,MG,1009
2019,A,6,MS,206
2019,A,6,MT,256
2019,A,6,PA,1857
2019,A,6,PB,305
2019,A,6,PE,579
2019,A,6,PI,394
2019,A,6,PR,198
2019,A,6,RJ,889
2019,A,6,RN,293
2019,A,6,RO,189
2019,A,6,RR,44
