NU_ANO,TP_SEXO,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2020,M,2.0,TO,281
2021,F,1.0,AC,1668
2021,F,1.0,AL,5920
2021,F,1.0,AM,16566
2021,F,1.0,AP,1526
2021,F,1.0,BA,26628
2021,F,1.0,CE,45507
2021,F,1.0,DF,9580
2021,F,1.0,ES,9633
2021,F,1.0,GO,23629
2021,F,1.0,MA,11232
2021,F,1.0,MG,36161
2021,F,1.0,MS,5911
2021,F,1.0,MT,7054
2021,F,1.0,PA,14824
2021,F,1.0,PB,9175
2021,F,1.0,PE,21702
2021,F,1.0,PI,7425
2021,F,1.0,PR,23915
2021,F,1.0,RJ,31204
2021,F,1.0,RN,7125
2021,F,1.0,RO,4281
2021,F,1.0,RR,1006
2021,F,1.0,RS,20566
2021,F,1.0,SC,15261
2021,F,1.0,SE,4732
2021,F,1.0,SP,78860
2021,F,1.0,TO,3482
2021,F,2.0,AC,117
2021,F,2.0,AL,228
2021,F,2.0,AM,1183
2021,F,2.0,AP,70
2021,F,2.0,BA,1323
2021,F,2.0,CE,2620
2021,F,2.0,DF,252
2021,F,2.0,ES,363
2021,F,2.0,GO,519
2021,F,2.0,MA,951
2021,F,2.0,MG,1079
2021,F,2.0,MS,293
2021,F,2.0,MT,507
2021,F,2.0,PA,709
2021,F,2.0,PB,338
2021,F,2.0,PE,1016
2021,F,2.0,PI,239
2021,F,2.0,PR,639
2021,F,2.0,RJ,638
2021,F,2.0,RN,258
2021,F,2.0,RO,231
2021,F,2.0,RR,76
2021,F,2.0,RS,654
2021,F,2.0,SC,363
2021,F,2.0,SE,220
2021,F,2.0,SP,842
2021,F,2.0,TO,215
2021,M,1.0,AC,1250
2021,M,1.0,AL,4207
2021,M,1.0,AM,14469
2021,M,1.0,AP,1272
2021,M,1.0,BA,19108
2021,M,1.0,CE,41733
2021,M,1.0,DF,7137
2021,M,1.0,ES,7269
2021,M,1.0,GO,20018
2021,M,1.0,MA,8336
2021,M,1.0,MG,26131
2021,M,1.0,MS,4344
2021,M,1.0,MT,4821
2021,M,1.0,PA,10851
2021,M,1.0,PB,7445
2021,M,1.0,PE,17337
2021,M,1.0,PI,5591
2021,M,1.0,PR,17289
2021,M,1.0,RJ,22293
2021,M,1.0,RN,5656
2021,M,1.0,RO,2979
2021,M,1.0,RR,660
2021,M,1.0,RS,14011
2021,M,1.0,SC,10797
2021,M,1.0,SE,3641
2021,M,1.0,SP,59657
2021,M,1.0,TO,2556
2021,M,2.0,AC,62
2021,M,2.0,AL,118
2021,M,2.0,AM,1124
2021,M,2.0,AP,49
2021,M,2.0,BA,761
2021,M,2.0,CE,2739
2021,M,2.0,DF,124
2021,M,2.0,ES,299
2021,M,2.0,GO,442
2021,M,2.0,MA,635
2021,M,2.0,MG,856
2021,M,2.0,MS,227
2021,M,2.0,MT,371
2021,M,2.0,PA,381
2021,M,2.0,PB,238
2021,M,2.0,PE,769
2021,M,2.0,PI,172
2021,M,2.0,PR,440
2021,M,2.0,RJ,391
2021,M,2.0,RN,159
