NU_ANO,Q025,Q006,SG_UF_PROVA,QTD
2019,A,A,AC,2433
2019,A,A,AL,3885
2019,A,A,AM,6219
2019,A,A,AP,2154
2019,A,A,BA,15524
2019,A,A,CE,12100
2019,A,A,DF,1142
2019,A,A,ES,1153
2019,A,A,GO,1796
2019,A,A,MA,15008
2019,A,A,MG,6132
2019,A,A,MS,1005
2019,A,A,MT,977
2019,A,A,PA,14502
2019,A,A,PB,5944
2019,A,A,PE,9336
2019,A,A,PI,9291
2019,A,A,PR,1111
2019,A,A,RJ,4364
2019,A,A,RN,3859
2019,A,A,RO,1247
2019,A,A,RR,406
2019,A,A,RS,1587
2019,A,A,SC,388
2019,A,A,SE,3777
2019,A,A,SP,5476
2019,A,A,TO,1510
2019,A,B,AC,9823
2019,A,B,AL,13827
2019,A,B,AM,25460
2019,A,B,AP,11195
2019,A,B,BA,52269
2019,A,B,CE,58984
2019,A,B,DF,5074
2019,A,B,ES,5673
2019,A,B,GO,11479
2019,A,B,MA,56236
2019,A,B,MG,34421
2019,A,B,MS,5748
2019,A,B,MT,6698
2019,A,B,PA,71252
2019,A,B,PB,19104
2019,A,B,PE,30772
2019,A,B,PI,28173
2019,A,B,PR,6041
2019,A,B,RJ,16926
2019,A,B,RN,14186
2019,A,B,RO,6084
2019,A,B,RR,2115
2019,A,B,RS,8905
2019,A,B,SC,2092
2019,A,B,SE,13650
2019,A,B,SP,23019
2019,A,B,TO,7533
2019,A,C,AC,4883
2019,A,C,AL,4649
2019,A,C,AM,16151
2019,A,C,AP,5674
2019,A,C,BA,18893
2019,A,C,CE,21404
2019,A,C,DF,5165
2019,A,C,ES,4802
2019,A,C,GO,10869
2019,A,C,MA,24226
2019,A,C,MG,26890
2019,A,C,MS,5469
2019,A,C,MT,7755
2019,A,C,PA,38151
2019,A,C,PB,6388
2019,A,C,PE,9605
2019,A,C,PI,10003
2019,A,C,PR,8495
2019,A,C,RJ,14892
2019,A,C,RN,5647
2019,A,C,RO,5617
2019,A,C,RR,1469
2019,A,C,RS,10687
2019,A,C,SC,3048
2019,A,C,SE,4919
2019,A,C,SP,31407
2019,A,C,TO,4499
2019,A,C,AC,765
2019,A,C,AL,639
2019,A,C,AM,2706
2019,A,C,AP,804
2019,A,C,BA,2992
2019,A,C,CE,2017
2019,A,C,DF,1137
2019,A,C,ES,1111
2019,A,C,GO,2717
2019,A,C,MA,3547
2019,A,C,MG,6977
2019,A,C,MS,1355
2019,A,C,MT,2207
2019,A,C,PA,6593
2019,A,C,PB,949
2019,A,C,PE,1503
2019,A,C,PI,1729
2019,A,C,PR,2842
2019,A,C,RJ,3690
2019,A,C,RN,1082
2019,A,C,RO,1180
2019,A,C,RR,255
2019,A,C,RS,3363
2019,A,C,SC,1195
2019,A,C,SE,798
2019,A,C,SP,9895
2019,A,C,TO,904
2019,A,D,AC,618
2019,A,D,AL,375
2019,A,D,AM,2152
2019,A,D,AP,670
2019,A,D,BA,1841
2019,A,D,CE,1363
2019,A,D,DF,791
