NU_ANO,Q024,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,A,1.0,AC,3451
2019,A,1.0,AL,11090
2019,A,1.0,AM,16760
2019,A,1.0,AP,4146
2019,A,1.0,BA,40124
2019,A,1.0,CE,83042
2019,A,1.0,DF,6352
2019,A,1.0,ES,10329
2019,A,1.0,GO,16770
2019,A,1.0,MA,31817
2019,A,1.0,MG,39818
2019,A,1.0,MS,6694
2019,A,1.0,MT,7795
2019,A,1.0,PA,32911
2019,A,1.0,PB,16937
2019,A,1.0,PE,37310
2019,A,1.0,PI,16646
2019,A,1.0,PR,16894
2019,A,1.0,RJ,27897
2019,A,1.0,RN,11114
2019,A,1.0,RO,6487
2019,A,1.0,RR,1125
2019,A,1.0,RS,14512
2019,A,1.0,SC,9701
2019,A,1.0,SE,9106
2019,A,1.0,SP,69213
2019,A,1.0,TO,5254
2019,A,2.0,AC,324
2019,A,2.0,AL,599
2019,A,2.0,AM,885
2019,A,2.0,AP,348
2019,A,2.0,BA,3004
2019,A,2.0,CE,5113
2019,A,2.0,DF,245
2019,A,2.0,ES,392
2019,A,2.0,GO,383
2019,A,2.0,MA,3068
2019,A,2.0,MG,1585
2019,A,2.0,MS,523
2019,A,2.0,MT,706
2019,A,2.0,PA,1576
2019,A,2.0,PB,644
2019,A,2.0,PE,2057
2019,A,2.0,PI,824
2019,A,2.0,PR,1116
2019,A,2.0,RJ,1062
2019,A,2.0,RN,416
2019,A,2.0,RO,260
2019,A,2.0,RR,77
2019,A,2.0,RS,571
2019,A,2.0,SC,300
2019,A,2.0,SE,636
2019,A,2.0,SP,1295
2019,A,2.0,TO,377
2019,B,1.0,AC,1354
2019,B,1.0,AL,4538
2019,B,1.0,AM,6790
2019,B,1.0,AP,1410
2019,B,1.0,BA,22414
2019,B,1.0,CE,19605
2019,B,1.0,DF,9720
2019,B,1.0,ES,11394
2019,B,1.0,GO,15396
2019,B,1.0,MA,7229
2019,B,1.0,MG,52418
2019,B,1.0,MS,6485
2019,B,1.0,MT,7394
2019,B,1.0,PA,9749
2019,B,1.0,PB,7604
2019,B,1.0,PE,18402
2019,B,1.0,PI,5453
2019,B,1.0,PR,25382
2019,B,1.0,RJ,33093
2019,B,1.0,RN,7325
2019,B,1.0,RO,4268
2019,B,1.0,RR,735
2019,B,1.0,RS,22978
2019,B,1.0,SC,18310
2019,B,1.0,SE,3487
2019,B,1.0,SP,112239
2019,B,1.0,TO,2658
2019,B,2.0,AC,49
2019,B,2.0,AL,135
2019,B,2.0,AM,94
2019,B,2.0,AP,40
2019,B,2.0,BA,848
2019,B,2.0,CE,561
2019,B,2.0,DF,161
2019,B,2.0,ES,482
2019,B,2.0,GO,383
2019,B,2.0,MA,344
2019,B,2.0,MG,1239
2019,B,2.0,MS,242
2019,B,2.0,MT,527
2019,B,2.0,PA,202
2019,B,2.0,PB,232
2019,B,2.0,PE,601
2019,B,2.0,PI,110
2019,B,2.0,PR,718
2019,B,2.0,RJ,785
2019,B,2.0,RN,257
2019,B,2.0,RO,221
2019,B,2.0,RR,36
2019,B,2.0,RS,940
2019,B,2.0,SC,537
2019,B,2.0,SE,142
2019,B,2.0,SP,1358
2019,B,2.0,TO,127
2019,C,1.0,AC,197
2019,C,1.0,AL,546
2019,C,1.0,AM,935
2019,C,1.0,AP,220
2019,C,1.0,BA,2537
2019,C,1.0,CE,2433
2019,C,1.0,DF,2608
2019,C,1.0,ES,1966
2019,C,1.0,GO,2257
2019,C,1.0,MA,775
2019,C,1.0,MG,8700
2019,C,1.0,MS,1087
2019,C,1.0,MT,1071
2019,C,1.0,PA,1409
2019,C,1.0,PB,1040
2019,C,1.0,PE,2407
2019,C,1.0,PI,711
2019,C,1.0,PR,5748
2019,C,1.0,RJ,6647
2019,C,1.0,RN,1048
2019,C,1.0,RO,570
2019,C,1.0,RR,149
2019,C,1.0,RS,4840
2019,C,1.0,SC,4302
2019,C,1.0,SE,485
2019,C,1.0,SP,24020
