NU_ANO,TP_ESCOLA,Q006,SG_UF_PROVA,QTD
2019,1,A,AC,2663
2019,1,A,AL,4824
2019,1,A,AM,6301
2019,1,A,AP,2261
2019,1,A,BA,21818
2019,1,A,CE,10291
2019,1,A,DF,1992
2019,1,A,ES,2048
2019,1,A,GO,2707
2019,1,A,MA,12663
2019,1,A,MG,9016
2019,1,A,MS,1352
2019,1,A,MT,1473
2019,1,A,PA,14326
2019,1,A,PB,8392
2019,1,A,PE,14004
2019,1,A,PI,9003
2019,1,A,PR,2179
2019,1,A,RJ,7815
2019,1,A,RN,5562
2019,1,A,RO,1640
2019,1,A,RR,470
2019,1,A,RS,2999
2019,1,A,SC,910
2019,1,A,SE,4536
2019,1,A,SP,11010
2019,1,A,TO,1556
2019,1,B,AC,12026
2019,1,B,AL,25919
2019,1,B,AM,29691
2019,1,B,AP,13721
2019,1,B,BA,111192
2019,1,B,CE,67416
2019,1,B,DF,10819
2019,1,B,ES,12162
2019,1,B,GO,21601
2019,1,B,MA,65253
2019,1,B,MG,67883
2019,1,B,MS,8870
2019,1,B,MT,10329
2019,1,B,PA,81754
2019,1,B,PB,41411
2019,1,B,PE,72420
2019,1,B,PI,36970
2019,1,B,PR,12400
2019,1,B,RJ,39191
2019,1,B,RN,31045
2019,1,B,RO,9938
2019,1,B,RR,2773
2019,1,B,RS,18453
2019,1,B,SC,4979
2019,1,B,SE,22907
2019,1,B,SP,51508
2019,1,B,TO,10050
2019,1,C,AC,8554
2019,1,C,AL,18023
2019,1,C,AM,27195
2019,1,C,AP,9478
2019,1,C,BA,83284
2019,1,C,CE,47743
2019,1,C,DF,17946
2019,1,C,ES,20500
2019,1,C,GO,34823
2019,1,C,MA,45355
2019,1,C,MG,103448
2019,1,C,MS,14697
2019,1,C,MT,18117
2019,1,C,PA,62791
2019,1,C,PB,29973
2019,1,C,PE,53650
2019,1,C,PI,22300
2019,1,C,PR,31913
2019,1,C,RJ,63942
2019,1,C,RN,24269
2019,1,C,RO,13917
2019,1,C,RR,2821
2019,1,C,RS,39712
2019,1,C,SC,13667
2019,1,C,SE,15400
2019,1,C,SP,120848
2019,1,C,TO,9621
2019,1,C,AC,2089
2019,1,C,AL,5342
2019,1,C,AM,6813
2019,1,C,AP,2113
2019,1,C,BA,23626
2019,1,C,CE,13499
2019,1,C,DF,6936
2019,1,C,ES,8859
2019,1,C,GO,15369
2019,1,C,MA,11283
2019,1,C,MG,48195
2019,1,C,MS,6229
2019,1,C,MT,8153
2019,1,C,PA,16918
2019,1,C,PB,9182
2019,1,C,PE,16048
2019,1,C,PI,6537
2019,1,C,PR,19757
2019,1,C,RJ,27648
2019,1,C,RN,8058
2019,1,C,RO,4916
2019,1,C,RR,781
2019,1,C,RS,21878
2019,1,C,SC,9251
2019,1,C,SE,4590
2019,1,C,SP,67071
2019,1,C,TO,3086
2019,1,D,AC,1904
2019,1,D,AL,3903
2019,1,D,AM,5982
2019,1,D,AP,1893
2019,1,D,BA,20221
2019,1,D,CE,11281
2019,1,D,DF,6435
2019,1,D,ES,8530
2019,1,D,GO,13284
2019,1,D,MA,9891
2019,1,D,MG,45175
2019,1,D,MS,5451
2019,1,D,MT,7256
2019,1,D,PA,14061
2019,1,D,PB,7475
2019,1,D,PE,13470
2019,1,D,PI,5086
2019,1,D,PR,17998
2019,1,D,RJ,24373
2019,1,D,RN,6897
2019,1,D,RO,4414
2019,1,D,RR,794
2019,1,D,RS,19242
2019,1,D,SC,8266
2019,1,D,SE,3581
2019,1,D,SP,66541
2019,1,D,TO,2813
2019,1,D,AC,744
2019,1,D,AL,1867
2019,1,D,AM,2047
2019,1,D,AP,749
2019,1,D,BA,8179
2019,1,D,CE,4905
2019,1,D,DF,2802
2019,1,D,ES,3954
2019,1,D,GO,6269
2019,1,D,MA,3750
2019,1,D,MG,22082
2019,1,D,MS,2472
2019,1,D,MT,3333
2019,1,D,PA,5858
2019,1,D,PB,3306
2019,1,D,PE,5729
2019,1,D,PI,2415
2019,1,D,PR,10459
2019,1,D,RJ,12284
2019,1,D,RN,3181
2019,1,D,RO,1956
2019,1,D,RR,317
2019,1,D,RS,10832
2019,1,D,SC,5366
2019,1,D,SE,1678
2019,1,D,SP,35424
2019,1,D,TO,1279
2019,1,E,AC,980
2019,1,E,AL,2221
2019,1,E,AM,2747
2019,1,E,AP,1059
2019,1,E,BA,10448
2019,1,E,CE,6205
2019,1,E,DF,3540
2019,1,E,ES,5048
2019,1,E,GO,7303
2019,1,E,MA,4738
2019,1,E,MG,29083
2019,1,E,MS,2872
2019,1,E,MT,4189
2019,1,E,PA,7192
2019,1,E,PB,4239
2019,1,E,PE,7252
2019,1,E,PI,2938
2019,1,E,PR,12573
2019,1,E,RJ,15168
2019,1,E,RN,3946
2019,1,E,RO,2369
2019,1,E,RR,443
2019,1,E,RS,13415
2019,1,E,SC,6942
2019,1,E,SE,2007
2019,1,E,SP,46982
2019,1,E,TO,1560
2019,1,F,AC,650
2019,1,F,AL,1615
2019,1,F,AM,1723
2019,1,F,AP,730
2019,1,F,BA,6594
2019,1,F,CE,3841
2019,1,F,DF,2751
2019,1,F,ES,2973
2019,1,F,GO,4927
2019,1,F,MA,3183
2019,1,F,MG,18147
2019,1,F,MS,2050
2019,1,F,MT,2809
2019,1,F,PA,4460
2019,1,F,PB,2565
2019,1,F,PE,4887
2019,1,F,PI,1958
2019,1,F,PR,8659
2019,1,F,RJ,10787
2019,1,F,RN,2696
2019,1,F,RO,1444
2019,1,F,RR,324
2019,1,F,RS,8716
2019,1,F,SC,4793
2019,1,F,SE,1514
2019,1,F,SP,31381
2019,1,F,TO,1058
2019,1,G,AC,484
2019,1,G,AL,1088
2019,1,G,AM,1196
2019,1,G,AP,601
2019,1,G,BA,4590
2019,1,G,CE,2842
2019,1,G,DF,2319
2019,1,G,ES,2141
2019,1,G,GO,3485
2019,1,G,MA,2234
2019,1,G,MG,12958
2019,1,G,MS,1402
2019,1,G,MT,2172
2019,1,G,PA,3262
2019,1,G,PB,1856
2019,1,G,PE,3499
2019,1,G,PI,1258
2019,1,G,PR,5870
2019,1,G,RJ,7912
2019,1,G,RN,1888
2019,1,G,RO,1026
2019,1,G,RR,268
2019,1,G,RS,5850
2019,1,G,SC,3266
2019,1,G,SE,1091
2019,1,G,SP,22329
2019,1,G,TO,762
2019,1,G,AC,322
2019,1,G,AL,668
2019,1,G,AM,690
2019,1,G,AP,335
2019,1,G,BA,2646
2019,1,G,CE,1644
2019,1,G,DF,1578
2019,1,G,ES,1220
2019,1,G,GO,2087
2019,1,G,MA,1239
2019,1,G,MG,7163
2019,1,G,MS,810
2019,1,G,MT,1203
2019,1,G,PA,1845
2019,1,G,PB,1028
2019,1,G,PE,1980
2019,1,G,PI,773
2019,1,G,PR,3534
2019,1,G,RJ,5049
2019,1,G,RN,1045
2019,1,G,RO,539
2019,1,G,RR,156
2019,1,G,RS,3251
2019,1,G,SC,1823
2019,1,G,SE,702
2019,1,G,SP,12782
2019,1,G,TO,471
2019,1,G,AC,200
2019,1,G,AL,485
2019,1,G,AM,503
2019,1,G,AP,266
2019,1,G,BA,1810
2019,1,G,CE,1136
2019,1,G,DF,1374
2019,1,G,ES,820
2019,1,G,GO,1391
2019,1,G,MA,829
2019,1,G,MG,5124
