NU_ANO,TP_LOCALIZACAO_ESC,Q025,SG_UF_PROVA,QTD
2019,1.0,A,AC,2412
2019,1.0,A,AL,4944
2019,1.0,A,AM,11865
2019,1.0,A,AP,2803
2019,1.0,A,BA,17222
2019,1.0,A,CE,48162
2019,1.0,A,DF,2274
2019,1.0,A,ES,3645
2019,1.0,A,GO,6193
2019,1.0,A,MA,22059
2019,1.0,A,MG,16107
2019,1.0,A,MS,2793
2019,1.0,A,MT,3736
2019,1.0,A,PA,23257
2019,1.0,A,PB,7067
2019,1.0,A,PE,13324
2019,1.0,A,PI,10810
2019,1.0,A,PR,5161
2019,1.0,A,RJ,9104
2019,1.0,A,RN,4642
2019,1.0,A,RO,3107
2019,1.0,A,RR,759
2019,1.0,A,RS,5206
2019,1.0,A,SC,2115
2019,1.0,A,SE,4595
2019,1.0,A,SP,20119
2019,1.0,A,TO,3134
2019,1.0,B,AC,2645
2019,1.0,B,AL,11445
2019,1.0,B,AM,13001
2019,1.0,B,AP,3069
2019,1.0,B,BA,48914
2019,1.0,B,CE,57971
2019,1.0,B,DF,18045
2019,1.0,B,ES,20790
2019,1.0,B,GO,29081
2019,1.0,B,MA,18079
2019,1.0,B,MG,88400
2019,1.0,B,MS,11908
2019,1.0,B,MT,12950
2019,1.0,B,PA,21364
2019,1.0,B,PB,19004
2019,1.0,B,PE,45976
2019,1.0,B,PI,12267
2019,1.0,B,PR,45439
2019,1.0,B,RJ,62107
2019,1.0,B,RN,15273
2019,1.0,B,RO,8384
2019,1.0,B,RR,1327
2019,1.0,B,RS,39184
2019,1.0,B,SC,31955
2019,1.0,B,SE,8717
2019,1.0,B,SP,196706
2019,1.0,B,TO,5230
2019,2.0,A,AC,298
2019,2.0,A,AL,296
2019,2.0,A,AM,850
2019,2.0,A,AP,318
2019,2.0,A,BA,1524
2019,2.0,A,CE,3506
2019,2.0,A,DF,130
2019,2.0,A,ES,219
2019,2.0,A,GO,190
2019,2.0,A,MA,2469
2019,2.0,A,MG,979
2019,2.0,A,MS,360
2019,2.0,A,MT,443
2019,2.0,A,PA,1254
2019,2.0,A,PB,293
2019,2.0,A,PE,906
2019,2.0,A,PI,621
2019,2.0,A,PR,580
2019,2.0,A,RJ,411
2019,2.0,A,RN,155
2019,2.0,A,RO,170
2019,2.0,A,RR,63
2019,2.0,A,RS,335
2019,2.0,A,SC,99
2019,2.0,A,SE,415
2019,2.0,A,SP,651
2019,2.0,A,TO,279
2019,2.0,B,AC,77
2019,2.0,B,AL,442
2019,2.0,B,AM,147
2019,2.0,B,AP,74
2019,2.0,B,BA,2392
2019,2.0,B,CE,2210
2019,2.0,B,DF,292
2019,2.0,B,ES,723
2019,2.0,B,GO,638
2019,2.0,B,MA,980
2019,2.0,B,MG,2128
2019,2.0,B,MS,445
2019,2.0,B,MT,879
2019,2.0,B,PA,528
2019,2.0,B,PB,601
2019,2.0,B,PE,1814
2019,2.0,B,PI,316
2019,2.0,B,PR,1364
2019,2.0,B,RJ,1561
2019,2.0,B,RN,555
2019,2.0,B,RO,338
2019,2.0,B,RR,59
2019,2.0,B,RS,1382
2019,2.0,B,SC,865
2019,2.0,B,SE,374
2019,2.0,B,SP,2307
2019,2.0,B,TO,236
2020,1.0,A,AC,1185
2020,1.0,A,AL,2460
2020,1.0,A,AM,12884
2020,1.0,A,AP,1008
2020,1.0,A,BA,7562
2020,1.0,A,CE,40781
2020,1.0,A,DF,1124
2020,1.0,A,ES,1616
2020,1.0,A,GO,6484
2020,1.0,A,MA,9026
2020,1.0,A,MG,5288
2020,1.0,A,MS,1202
2020,1.0,A,MT,1799
2020,1.0,A,PA,11310
2020,1.0,A,PB,3302
2020,1.0,A,PE,8875
2020,1.0,A,PI,4603
2020,1.0,A,PR,1871
2020,1.0,A,RJ,4264
2020,1.0,A,RN,1835
2020,1.0,A,RO,1614
2020,1.0,A,RR,497
2020,1.0,A,RS,2028
2020,1.0,A,SC,814
2020,1.0,A,SE,3347
2020,1.0,A,SP,7468
2020,1.0,A,TO,2219
2020,1.0,B,AC,2133
2020,1.0,B,AL,10490
2020,1.0,B,AM,14931
2020,1.0,B,AP,2428
2020,1.0,B,BA,37069
2020,1.0,B,CE,57620
2020,1.0,B,DF,17663
2020,1.0,B,ES,15909
2020,1.0,B,GO,32399
2020,1.0,B,MA,14678
2020,1.0,B,MG,63553
2020,1.0,B,MS,9974
2020,1.0,B,MT,11713
2020,1.0,B,PA,20084
2020,1.0,B,PB,15550
2020,1.0,B,PE,36638
2020,1.0,B,PI,10209
2020,1.0,B,PR,39218
2020,1.0,B,RJ,55899
2020,1.0,B,RN,12223
2020,1.0,B,RO,7712
2020,1.0,B,RR,1762
2020,1.0,B,RS,33085
2020,1.0,B,SC,25492
2020,1.0,B,SE,7185
2020,1.0,B,SP,153924
2020,1.0,B,TO,5413
2020,2.0,A,AC,148
2020,2.0,A,AL,180
2020,2.0,A,AM,1408
2020,2.0,A,AP,141
2020,2.0,A,BA,718
2020,2.0,A,CE,3336
2020,2.0,A,DF,100
2020,2.0,A,ES,73
2020,2.0,A,GO,179
2020,2.0,A,MA,1377
2020,2.0,A,MG,329
2020,2.0,A,MS,147
2020,2.0,A,MT,237
2020,2.0,A,PA,878
2020,2.0,A,PB,145
2020,2.0,A,PE,674
2020,2.0,A,PI,374
2020,2.0,A,PR,217
2020,2.0,A,RJ,154
2020,2.0,A,RN,73
2020,2.0,A,RO,122
2020,2.0,A,RR,72
2020,2.0,A,RS,123
2020,2.0,A,SC,29
2020,2.0,A,SE,292
2020,2.0,A,SP,307
2020,2.0,A,TO,289
2020,2.0,B,AC,78
2020,2.0,B,AL,420
2020,2.0,B,AM,362
2020,2.0,B,AP,44
2020,2.0,B,BA,1548
2020,2.0,B,CE,2428
2020,2.0,B,DF,294
2020,2.0,B,ES,547
2020,2.0,B,GO,622
2020,2.0,B,MA,1024
2020,2.0,B,MG,1597
2020,2.0,B,MS,378
2020,2.0,B,MT,702
2020,2.0,B,PA,565
2020,2.0,B,PB,398
2020,2.0,B,PE,1399
2020,2.0,B,PI,265
2020,2.0,B,PR,771
2020,2.0,B,RJ,1132
2020,2.0,B,RN,376
2020,2.0,B,RO,334
2020,2.0,B,RR,115
2020,2.0,B,RS,882
2020,2.0,B,SC,561
2020,2.0,B,SE,299
2020,2.0,B,SP,1591
2020,2.0,B,TO,247
2021,1.0,A,AC,614
2021,1.0,A,AL,798
2021,1.0,A,AM,11553
2021,1.0,A,AP,428
2021,1.0,A,BA,3533
2021,1.0,A,CE,24097
2021,1.0,A,DF,444
2021,1.0,A,ES,754
2021,1.0,A,GO,5013
2021,1.0,A,MA,3905
2021,1.0,A,MG,2103
2021,1.0,A,MS,525
2021,1.0,A,MT,747
2021,1.0,A,PA,5382
2021,1.0,A,PB,1669
2021,1.0,A,PE,4594
2021,1.0,A,PI,2034
2021,1.0,A,PR,734
2021,1.0,A,RJ,2027
2021,1.0,A,RN,633
2021,1.0,A,RO,578
