NU_ANO,Q006,TP_COR_RACA,SG_UF_PROVA,QTD
2019,A,0,AC,61
2019,A,0,AL,172
2019,A,0,AM,184
2019,A,0,AP,55
2019,A,0,BA,916
2019,A,0,CE,657
2019,A,0,DF,93
2019,A,0,ES,64
2019,A,0,GO,147
2019,A,0,MA,404
2019,A,0,MG,285
2019,A,0,MS,40
2019,A,0,MT,64
2019,A,0,PA,329
2019,A,0,PB,250
2019,A,0,PE,633
2019,A,0,PI,244
2019,A,0,PR,83
2019,A,0,RJ,313
2019,A,0,RN,131
2019,A,0,RO,44
2019,A,0,RR,6
2019,A,0,RS,122
2019,A,0,SC,45
2019,A,0,SE,154
2019,A,0,SP,386
2019,A,0,TO,47
2019,A,1,AC,371
2019,A,1,AL,1042
2019,A,1,AM,844
2019,A,1,AP,360
2019,A,1,BA,3394
2019,A,1,CE,2736
2019,A,1,DF,515
2019,A,1,ES,652
2019,A,1,GO,810
2019,A,1,MA,2644
2019,A,1,MG,3002
2019,A,1,MS,506
2019,A,1,MT,401
2019,A,1,PA,2127
2019,A,1,PB,2591
2019,A,1,PE,4279
2019,A,1,PI,1607
2019,A,1,PR,1581
2019,A,1,RJ,3208
2019,A,1,RN,2106
2019,A,1,RO,313
2019,A,1,RR,66
2019,A,1,RS,2618
2019,A,1,SC,727
2019,A,1,SE,720
2019,A,1,SP,6622
2019,A,1,TO,276
2019,A,2,AC,386
2019,A,2,AL,874
2019,A,2,AM,461
2019,A,2,AP,398
2019,A,2,BA,8904
2019,A,2,CE,1519
2019,A,2,DF,479
2019,A,2,ES,557
2019,A,2,GO,584
2019,A,2,MA,2809
2019,A,2,MG,2296
2019,A,2,MS,159
2019,A,2,MT,313
2019,A,2,PA,2473
2019,A,2,PB,1167
2019,A,2,PE,2622
2019,A,2,PI,2097
2019,A,2,PR,245
2019,A,2,RJ,2575
2019,A,2,RN,807
2019,A,2,RO,249
2019,A,2,RR,54
2019,A,2,RS,426
2019,A,2,SC,125
2019,A,2,SE,1028
2019,A,2,SP,2267
2019,A,2,TO,482
2019,A,3,AC,2219
2019,A,3,AL,4345
2019,A,3,AM,6455
2019,A,3,AP,1971
2019,A,3,BA,15561
2019,A,3,CE,13621
2019,A,3,DF,1335
2019,A,3,ES,1503
2019,A,3,GO,1950
2019,A,3,MA,13035
2019,A,3,MG,6584
2019,A,3,MS,744
2019,A,3,MT,994
2019,A,3,PA,13710
2019,A,3,PB,6901
2019,A,3,PE,11308
2019,A,3,PI,8442
2019,A,3,PR,1043
2019,A,3,RJ,4510
2019,A,3,RN,4052
2019,A,3,RO,1404
2019,A,3,RR,423
2019,A,3,RS,697
2019,A,3,SC,345
2019,A,3,SE,4013
2019,A,3,SP,6019
2019,A,3,TO,1329
2019,A,4,AC,131
2019,A,4,AL,279
2019,A,4,AM,138
2019,A,4,AP,34
2019,A,4,BA,770
2019,A,4,CE,443
2019,A,4,DF,82
2019,A,4,ES,48
2019,A,4,GO,165
2019,A,4,MA,301
2019,A,4,MG,294
2019,A,4,MS,38
2019,A,4,MT,44
2019,A,4,PA,343
2019,A,4,PB,362
2019,A,4,PE,657
2019,A,4,PI,410
2019,A,4,PR,80
2019,A,4,RJ,223
2019,A,4,RN,203
2019,A,4,RO,60
2019,A,4,RR,7
2019,A,4,RS,24
2019,A,4,SC,17
2019,A,4,SE,191
2019,A,4,SP,300
2019,A,4,TO,74
2019,A,5,AC,56
2019,A,5,AL,79
2019,A,5,AM,651
2019,A,5,AP,22
2019,A,5,BA,313
2019,A,5,CE,141
2019,A,5,DF,32
2019,A,5,ES,20
2019,A,5,GO,31
2019,A,5,MA,134
2019,A,5,MG,123
2019,A,5,MS,290
2019,A,5,MT,72
2019,A,5,PA,178
2019,A,5,PB,220
2019,A,5,PE,445
2019,A,5,PI,77
2019,A,5,PR,29
2019,A,5,RJ,69
2019,A,5,RN,44
2019,A,5,RO,84
2019,A,5,RR,55
2019,A,5,RS,40
2019,A,5,SC,12
2019,A,5,SE,62
2019,A,5,SP,116
2019,A,5,TO,41
2019,B,0,AC,248
2019,B,0,AL,740
2019,B,0,AM,798
2019,B,0,AP,274
2019,B,0,BA,3342
2019,B,0,CE,3884
2019,B,0,DF,339
2019,B,0,ES,239
2019,B,0,GO,826
2019,B,0,MA,1538
2019,B,0,MG,1504
2019,B,0,MS,228
2019,B,0,MT,303
2019,B,0,PA,1518
2019,B,0,PB,962
2019,B,0,PE,2236
2019,B,0,PI,782
2019,B,0,PR,372
2019,B,0,RJ,1277
2019,B,0,RN,634
2019,B,0,RO,261
2019,B,0,RR,48
2019,B,0,RS,599
2019,B,0,SC,216
2019,B,0,SE,649
2019,B,0,SP,1360
2019,B,0,TO,223
2019,B,1,AC,1790
2019,B,1,AL,6078
2019,B,1,AM,4136
2019,B,1,AP,2175
2019,B,1,BA,16798
2019,B,1,CE,19121
2019,B,1,DF,2878
2019,B,1,ES,4385
2019,B,1,GO,6878
2019,B,1,MA,12995
2019,B,1,MG,24882
2019,B,1,MS,3867
2019,B,1,MT,2812
2019,B,1,PA,12456
2019,B,1,PB,12784
2019,B,1,PE,23848
2019,B,1,PI,6925
2019,B,1,PR,10156
2019,B,1,RJ,16405
2019,B,1,RN,12320
2019,B,1,RO,2354
2019,B,1,RR,403
2019,B,1,RS,17798
2019,B,1,SC,4470
2019,B,1,SE,3582
2019,B,1,SP,31369
2019,B,1,TO,1800
2019,B,2,AC,1803
2019,B,2,AL,4322
2019,B,2,AM,2176
2019,B,2,AP,2355
2019,B,2,BA,46727
2019,B,2,CE,11225
2019,B,2,DF,2750
2019,B,2,ES,3523
2019,B,2,GO,4583
2019,B,2,MA,13944
2019,B,2,MG,17916
2019,B,2,MS,1240
2019,B,2,MT,2325
2019,B,2,PA,14069
2019,B,2,PB,5855
2019,B,2,PE,13736
2019,B,2,PI,8321
2019,B,2,PR,1449
2019,B,2,RJ,13994
2019,B,2,RN,4540
2019,B,2,RO,1684
2019,B,2,RR,303
2019,B,2,RS,3035
2019,B,2,SC,690
2019,B,2,SE,5303
2019,B,2,SP,12050
2019,B,2,TO,2649
2019,B,3,AC,10442
2019,B,3,AL,22289
2019,B,3,AM,31884
2019,B,3,AP,11967
2019,B,3,BA,76445
2019,B,3,CE,89759
2019,B,3,DF,8117
2019,B,3,ES,9465
2019,B,3,GO,17194
2019,B,3,MA,59926
2019,B,3,MG,49235
2019,B,3,MS,6437
2019,B,3,MT,8310
2019,B,3,PA,76479
2019,B,3,PB,33796
2019,B,3,PE,59325
2019,B,3,PI,32698
2019,B,3,PR,6778
2019,B,3,RJ,24432
2019,B,3,RN,22443
2019,B,3,RO,8672
2019,B,3,RR,2630
2019,B,3,RS,4478
2019,B,3,SC,2221
2019,B,3,SE,19916
2019,B,3,SP,32015
2019,B,3,TO,8633
2019,B,4,AC,518
2019,B,4,AL,1521
2019,B,4,AM,738
2019,B,4,AP,207
2019,B,4,BA,3912
2019,B,4,CE,2674
2019,B,4,DF,466
2019,B,4,ES,362
2019,B,4,GO,1440
2019,B,4,MA,1523
2019,B,4,MG,2570
2019,B,4,MS,266
2019,B,4,MT,368
2019,B,4,PA,2119
2019,B,4,PB,1838
2019,B,4,PE,3189
2019,B,4,PI,1503
2019,B,4,PR,362
2019,B,4,RJ,1163
2019,B,4,RN,1051
2019,B,4,RO,434
2019,B,4,RR,47
2019,B,4,RS,174
2019,B,4,SC,158
2019,B,4,SE,902
2019,B,4,SP,1582
2019,B,4,TO,532
2019,B,5,AC,126
2019,B,5,AL,344
2019,B,5,AM,1436
2019,B,5,AP,106
2019,B,5,BA,1303
2019,B,5,CE,814
2019,B,5,DF,112
2019,B,5,ES,141
2019,B,5,GO,228
2019,B,5,MA,424
2019,B,5,MG,643
2019,B,5,MS,695
2019,B,5,MT,182
2019,B,5,PA,770
2019,B,5,PB,744
2019,B,5,PE,1797
2019,B,5,PI,294
2019,B,5,PR,98
2019,B,5,RJ,294
2019,B,5,RN,223
2019,B,5,RO,152
2019,B,5,RR,211
2019,B,5,RS,100
2019,B,5,SC,43
2019,B,5,SE,222
2019,B,5,SP,557
2019,B,5,TO,129
2019,C,0,AC,169
2019,C,0,AL,472
2019,C,0,AM,749
2019,C,0,AP,185
2019,C,0,BA,2135
2019,C,0,CE,2014
2019,C,0,DF,503
2019,C,0,ES,405
2019,C,0,GO,1300
2019,C,0,MA,803
2019,C,0,MG,2434
2019,C,0,MS,364
2019,C,0,MT,441
2019,C,0,PA,1140
2019,C,0,PB,721
2019,C,0,PE,1645
2019,C,0,PI,455
2019,C,0,PR,883
2019,C,0,RJ,1899
2019,C,0,RN,491
2019,C,0,RO,335
2019,C,0,RR,58
2019,C,0,RS,1101
2019,C,0,SC,507
2019,C,0,SE,376
2019,C,0,SP,2850
2019,C,0,TO,212
2019,C,1,AC,1351
2019,C,1,AL,4538
2019,C,1,AM,4451
2019,C,1,AP,1692
2019,C,1,BA,13024
2019,C,1,CE,14555
2019,C,1,DF,5348
2019,C,1,ES,7774
2019,C,1,GO,12667
2019,C,1,MA,10048
2019,C,1,MG,44055
2019,C,1,MS,7285
2019,C,1,MT,5687
2019,C,1,PA,10693
2019,C,1,PB,9689
2019,C,1,PE,18320
2019,C,1,PI,4475
2019,C,1,PR,27294
2019,C,1,RJ,29120
2019,C,1,RN,9941
2019,C,1,RO,3805
2019,C,1,RR,482
2019,C,1,RS,38854
2019,C,1,SC,13969
2019,C,1,SE,2621
2019,C,1,SP,82891
2019,C,1,TO,1974
2019,C,2,AC,1176
2019,C,2,AL,2852
2019,C,2,AM,1967
2019,C,2,AP,1643
2019,C,2,BA,32373
2019,C,2,CE,7158
2019,C,2,DF,4339
2019,C,2,ES,5093
2019,C,2,GO,6630
2019,C,2,MA,8851
2019,C,2,MG,24227
2019,C,2,MS,1874
2019,C,2,MT,3888
2019,C,2,PA,9976
2019,C,2,PB,3961
2019,C,2,PE,9359
2019,C,2,PI,4648
2019,C,2,PR,3209
2019,C,2,RJ,19788
2019,C,2,RN,3295
2019,C,2,RO,2177
2019,C,2,RR,250
2019,C,2,RS,5103
2019,C,2,SC,1546
2019,C,2,SE,3458
2019,C,2,SP,25669
2019,C,2,TO,2119
2019,C,3,AC,7198
2019,C,3,AL,14081
2019,C,3,AM,27234
2019,C,3,AP,7851
2019,C,3,BA,53928
2019,C,3,CE,52755
2019,C,3,DF,13082
2019,C,3,ES,14742
2019,C,3,GO,26248
2019,C,3,MA,37018
2019,C,3,MG,66186
2019,C,3,MS,10179
2019,C,3,MT,13861
2019,C,3,PA,54227
2019,C,3,PB,21662
2019,C,3,PE,38667
2019,C,3,PI,17739
2019,C,3,PR,15868
2019,C,3,RJ,36927
