NU_ANO,Q022,TP_SEXO,SG_UF_PROVA,QTD
2019,A,F,AC,775
2019,A,F,AL,1336
2019,A,F,AM,2416
2019,A,F,AP,902
2019,A,F,BA,6717
2019,A,F,CE,6807
2019,A,F,DF,1100
2019,A,F,ES,871
2019,A,F,GO,1725
2019,A,F,MA,5442
2019,A,F,MG,4138
2019,A,F,MS,885
2019,A,F,MT,1068
2019,A,F,PA,5786
2019,A,F,PB,1611
2019,A,F,PE,3826
2019,A,F,PI,1933
2019,A,F,PR,1457
2019,A,F,RJ,3813
2019,A,F,RN,1148
2019,A,F,RO,829
2019,A,F,RR,212
2019,A,F,RS,1832
2019,A,F,SC,772
2019,A,F,SE,882
2019,A,F,SP,6814
2019,A,F,TO,689
2019,A,M,AC,544
2019,A,M,AL,841
2019,A,M,AM,1905
2019,A,M,AP,623
2019,A,M,BA,3378
2019,A,M,CE,5742
2019,A,M,DF,739
2019,A,M,ES,645
2019,A,M,GO,1238
2019,A,M,MA,3212
2019,A,M,MG,2751
2019,A,M,MS,621
2019,A,M,MT,774
2019,A,M,PA,3611
2019,A,M,PB,1108
2019,A,M,PE,2396
2019,A,M,PI,1169
2019,A,M,PR,1046
2019,A,M,RJ,2301
2019,A,M,RN,805
2019,A,M,RO,474
2019,A,M,RR,149
2019,A,M,RS,1247
2019,A,M,SC,545
2019,A,M,SE,523
2019,A,M,SP,4671
2019,A,M,TO,495
2019,B,F,AC,7360
2019,B,F,AL,15591
2019,B,F,AM,19799
2019,B,F,AP,7801
2019,B,F,BA,69760
2019,B,F,CE,53365
2019,B,F,DF,10037
2019,B,F,ES,9945
2019,B,F,GO,17925
2019,B,F,MA,44021
2019,B,F,MG,52098
2019,B,F,MS,9097
2019,B,F,MT,11016
2019,B,F,PA,57168
2019,B,F,PB,23433
2019,B,F,PE,39375
2019,B,F,PI,22375
2019,B,F,PR,18443
2019,B,F,RJ,38376
2019,B,F,RN,16057
2019,B,F,RO,9300
2019,B,F,RR,1817
2019,B,F,RS,23502
2019,B,F,SC,9861
2019,B,F,SE,13119
2019,B,F,SP,67534
2019,B,F,TO,6720
2019,B,M,AC,4445
2019,B,M,AL,8518
2019,B,M,AM,13220
2019,B,M,AP,4946
2019,B,M,BA,34292
2019,B,M,CE,38549
2019,B,M,DF,6430
2019,B,M,ES,6416
2019,B,M,GO,11252
2019,B,M,MA,25226
2019,B,M,MG,31335
2019,B,M,MS,5949
2019,B,M,MT,6866
2019,B,M,PA,32708
2019,B,M,PB,14385
2019,B,M,PE,22999
2019,B,M,PI,12861
2019,B,M,PR,12894
2019,B,M,RJ,23169
2019,B,M,RN,10017
2019,B,M,RO,5438
2019,B,M,RR,1102
2019,B,M,RS,14904
2019,B,M,SC,6979
2019,B,M,SE,7029
2019,B,M,SP,44632
2019,B,M,TO,3942
2019,C,F,AC,8084
2019,C,F,AL,19215
2019,C,F,AM,23677
2019,C,F,AP,8739
2019,C,F,BA,87265
2019,C,F,CE,54657
2019,C,F,DF,16129
2019,C,F,ES,19330
2019,C,F,GO,32296
2019,C,F,MA,44513
2019,C,F,MG,100468
2019,C,F,MS,13663
2019,C,F,MT,16881
2019,C,F,PA,57383
2019,C,F,PB,30973
2019,C,F,PE,55827
2019,C,F,PI,25037
2019,C,F,PR,35990
2019,C,F,RJ,62112
2019,C,F,RN,24361
2019,C,F,RO,12855
2019,C,F,RR,2537
2019,C,F,RS,43814
2019,C,F,SC,19032
2019,C,F,SE,17385
2019,C,F,SP,128996
2019,C,F,TO,9491
2019,C,M,AC,5450
2019,C,M,AL,12282
2019,C,M,AM,16404
2019,C,M,AP,5931
2019,C,M,BA,49469
2019,C,M,CE,41836
2019,C,M,DF,10252
2019,C,M,ES,12265
2019,C,M,GO,19549
2019,C,M,MA,29555
2019,C,M,MG,60845
2019,C,M,MS,9084
2019,C,M,MT,10460
2019,C,M,PA,36817
2019,C,M,PB,22115
2019,C,M,PE,37368
2019,C,M,PI,16698
2019,C,M,PR,24290
2019,C,M,RJ,38694
2019,C,M,RN,17568
2019,C,M,RO,7836
2019,C,M,RR,1562
2019,C,M,RS,27116
2019,C,M,SC,11661
2019,C,M,SE,10874
2019,C,M,SP,82605
2019,C,M,TO,5708
2019,D,F,AC,4518
2019,D,F,AL,11385
2019,D,F,AM,14508
2019,D,F,AP,4964
2019,D,F,BA,57724
2019,D,F,CE,31433
2019,D,F,DF,15549
2019,D,F,ES,18636
2019,D,F,GO,30237
2019,D,F,MA,24813
2019,D,F,MG,100069
2019,D,F,MS,11106
2019,D,F,MT,14704
2019,D,F,PA,31525
2019,D,F,PB,18314
2019,D,F,PE,39747
2019,D,F,PI,14912
2019,D,F,PR,40483
2019,D,F,RJ,59948
2019,D,F,RN,17237
2019,D,F,RO,8358
2019,D,F,RR,1872
2019,D,F,RS,40966
2019,D,F,SC,22529
2019,D,F,SE,10541
2019,D,F,SP,158554
2019,D,F,TO,6912
2019,D,M,AC,3523
2019,D,M,AL,8608
2019,D,M,AM,10916
2019,D,M,AP,3853
2019,D,M,BA,38185
2019,D,M,CE,27019
2019,D,M,DF,10720
2019,D,M,ES,13233
2019,D,M,GO,20723
2019,D,M,MA,18817
2019,D,M,MG,65989
2019,D,M,MS,8108
2019,D,M,MT,10477
2019,D,M,PA,23444
2019,D,M,PB,15122
2019,D,M,PE,29903
2019,D,M,PI,11536
2019,D,M,PR,28256
2019,D,M,RJ,41368
2019,D,M,RN,13712
2019,D,M,RO,5680
2019,D,M,RR,1311
2019,D,M,RS,27585
2019,D,M,SC,14848
2019,D,M,SE,7887
2019,D,M,SP,108968
2019,D,M,TO,4887
2019,E,F,AC,2090
2019,E,F,AL,6535
2019,E,F,AM,8113
2019,E,F,AP,2566
2019,E,F,BA,27387
2019,E,F,CE,17936
2019,E,F,DF,13773
2019,E,F,ES,11571
2019,E,F,GO,19649
2019,E,F,MA,11978
2019,E,F,MG,66837
2019,E,F,MS,6504
2019,E,F,MT,8776
2019,E,F,PA,16814
2019,E,F,PB,10310
2019,E,F,PE,23476
2019,E,F,PI,8424
2019,E,F,PR,27132
2019,E,F,RJ,38910
2019,E,F,RN,9648
2019,E,F,RO,4404
2019,E,F,RR,1317
2019,E,F,RS,21336
2019,E,F,SC,14099
2019,E,F,SE,5370
2019,E,F,SP,119709
2019,E,F,TO,4161
2019,E,M,AC,1856
2019,E,M,AL,5513
2019,E,M,AM,7186
2019,E,M,AP,2278
2019,E,M,BA,21250
2019,E,M,CE,17640
2019,E,M,DF,11120
2019,E,M,ES,9361
2019,E,M,GO,15386
2019,E,M,MA,10497
2019,E,M,MG,50095
2019,E,M,MS,5376
2019,E,M,MT,7099
2019,E,M,PA,14337
2019,E,M,PB,9805
2019,E,M,PE,20400
2019,E,M,PI,7367
2019,E,M,PR,21315
2019,E,M,RJ,31025
2019,E,M,RN,8766
2019,E,M,RO,3465
2019,E,M,RR,1077
2019,E,M,RS,16167
2019,E,M,SC,10373
2019,E,M,SE,4878
2019,E,M,SP,93507
2019,E,M,TO,3244
2020,A,F,AC,831
2020,A,F,AL,1631
2020,A,F,AM,3628
2020,A,F,AP,851
2020,A,F,BA,7467
2020,A,F,CE,5654
2020,A,F,DF,1245
2020,A,F,ES,860
2020,A,F,GO,2300
2020,A,F,MA,5118
2020,A,F,MG,4161
2020,A,F,MS,1099
2020,A,F,MT,1275
2020,A,F,PA,6036
2020,A,F,PB,1718
2020,A,F,PE,4357
2020,A,F,PI,1778
2020,A,F,PR,1411
2020,A,F,RJ,4024
2020,A,F,RN,1230
2020,A,F,RO,823
2020,A,F,RR,319
2020,A,F,RS,2070
2020,A,F,SC,828
2020,A,F,SE,1089
2020,A,F,SP,6574
2020,A,F,TO,920
2020,A,M,AC,571
2020,A,M,AL,942
2020,A,M,AM,3061
2020,A,M,AP,617
2020,A,M,BA,3756
2020,A,M,CE,4622
2020,A,M,DF,864
2020,A,M,ES,605
2020,A,M,GO,1668
2020,A,M,MA,2933
2020,A,M,MG,2529
2020,A,M,MS,765
2020,A,M,MT,872
2020,A,M,PA,3647
2020,A,M,PB,1092
2020,A,M,PE,2685
2020,A,M,PI,1065
2020,A,M,PR,1012
2020,A,M,RJ,2499
2020,A,M,RN,752
2020,A,M,RO,552
2020,A,M,RR,202
2020,A,M,RS,1399
2020,A,M,SC,541
2020,A,M,SE,685
2020,A,M,SP,4696
2020,A,M,TO,619
2020,B,F,AC,7699
2020,B,F,AL,18348
2020,B,F,AM,28223
2020,B,F,AP,8880
2020,B,F,BA,83956
2020,B,F,CE,59069
2020,B,F,DF,14128
2020,B,F,ES,11718
2020,B,F,GO,25518
2020,B,F,MA,48885
2020,B,F,MG,61604
2020,B,F,MS,12077
2020,B,F,MT,14352
2020,B,F,PA,69961
2020,B,F,PB,27101
2020,B,F,PE,48648
2020,B,F,PI,25283
2020,B,F,PR,23714
2020,B,F,RJ,51043
2020,B,F,RN,18518
2020,B,F,RO,11792
2020,B,F,RR,2525
2020,B,F,RS,31588
2020,B,F,SC,12462
2020,B,F,SE,15690
2020,B,F,SP,86554
2020,B,F,TO,9290
2020,B,M,AC,4902
2020,B,M,AL,10206
2020,B,M,AM,20008
2020,B,M,AP,5727
2020,B,M,BA,41866
2020,B,M,CE,43675
2020,B,M,DF,8456
2020,B,M,ES,7371
2020,B,M,GO,16576
2020,B,M,MA,27074
2020,B,M,MG,36702
2020,B,M,MS,7635
2020,B,M,MT,8501
2020,B,M,PA,39556
2020,B,M,PB,16342
2020,B,M,PE,28640
2020,B,M,PI,14093
2020,B,M,PR,16054
2020,B,M,RJ,30121
2020,B,M,RN,11279
2020,B,M,RO,6512
2020,B,M,RR,1529
2020,B,M,RS,19381
2020,B,M,SC,8364
2020,B,M,SE,8545
2020,B,M,SP,56183
2020,B,M,TO,5445
2020,C,F,AC,8455
2020,C,F,AL,21619
2020,C,F,AM,31178
2020,C,F,AP,9076
2020,C,F,BA,97440
2020,C,F,CE,63356
2020,C,F,DF,19761
2020,C,F,ES,20104
2020,C,F,GO,40467
2020,C,F,MA,49035
2020,C,F,MG,108958
2020,C,F,MS,16243
2020,C,F,MT,19622
2020,C,F,PA,67642
2020,C,F,PB,34471
2020,C,F,PE,63752
2020,C,F,PI,27567
2020,C,F,PR,41334
2020,C,F,RJ,71980
2020,C,F,RN,26805
2020,C,F,RO,15180
2020,C,F,RR,3202
2020,C,F,RS,50242
2020,C,F,SC,20948
2020,C,F,SE,18943
2020,C,F,SP,146177
2020,C,F,TO,11777
2020,C,M,AC,5755
2020,C,M,AL,13993
2020,C,M,AM,22390
2020,C,M,AP,6557
2020,C,M,BA,56331
2020,C,M,CE,49250
2020,C,M,DF,12145
2020,C,M,ES,12348
2020,C,M,GO,25101
2020,C,M,MA,32018
2020,C,M,MG,64770
2020,C,M,MS,10595
2020,C,M,MT,11669
2020,C,M,PA,44544
2020,C,M,PB,24573
2020,C,M,PE,43525
2020,C,M,PI,18376
2020,C,M,PR,26459
2020,C,M,RJ,44585
2020,C,M,RN,19148
2020,C,M,RO,8999
2020,C,M,RR,2071
2020,C,M,RS,30185
2020,C,M,SC,12796
2020,C,M,SE,12079
2020,C,M,SP,91935
2020,C,M,TO,7244
2020,D,F,AC,4671
2020,D,F,AL,12653
2020,D,F,AM,18649
2020,D,F,AP,5276
2020,D,F,BA,62820
2020,D,F,CE,34571
2020,D,F,DF,17891
2020,D,F,ES,18549
2020,D,F,GO,34701
2020,D,F,MA,27494
2020,D,F,MG,104688
2020,D,F,MS,12437
2020,D,F,MT,15805
2020,D,F,PA,37316
2020,D,F,PB,20327
2020,D,F,PE,44024
2020,D,F,PI,16780
2020,D,F,PR,43322
2020,D,F,RJ,63277
2020,D,F,RN,18411
2020,D,F,RO,9619
2020,D,F,RR,2483
2020,D,F,RS,43522
2020,D,F,SC,23119
2020,D,F,SE,11448
2020,D,F,SP,163975
2020,D,F,TO,8559
2020,D,M,AC,3622
2020,D,M,AL,9259
2020,D,M,AM,14474
2020,D,M,AP,4256
2020,D,M,BA,40906
2020,D,M,CE,28948
2020,D,M,DF,12138
2020,D,M,ES,12488
2020,D,M,GO,24015
2020,D,M,MA,20296
2020,D,M,MG,66113
2020,D,M,MS,8786
2020,D,M,MT,10389
2020,D,M,PA,27353
2020,D,M,PB,16103
2020,D,M,PE,32736
2020,D,M,PI,12245
2020,D,M,PR,28302
2020,D,M,RJ,42178
2020,D,M,RN,14348
2020,D,M,RO,6558
2020,D,M,RR,1660
2020,D,M,RS,27969
2020,D,M,SC,14317
2020,D,M,SE,8368
2020,D,M,SP,109194
2020,D,M,TO,6019
2020,E,F,AC,2287
2020,E,F,AL,6626
2020,E,F,AM,9942
2020,E,F,AP,2777
2020,E,F,BA,28391
2020,E,F,CE,17359
2020,E,F,DF,14875
2020,E,F,ES,11648
2020,E,F,GO,21987
2020,E,F,MA,12809
2020,E,F,MG,69343
2020,E,F,MS,7228
2020,E,F,MT,9302
2020,E,F,PA,18559
2020,E,F,PB,10324
2020,E,F,PE,24159
2020,E,F,PI,8645
2020,E,F,PR,29722
2020,E,F,RJ,40270
2020,E,F,RN,9907
2020,E,F,RO,4869
2020,E,F,RR,1624
2020,E,F,RS,22986
2020,E,F,SC,14559
2020,E,F,SE,5467
2020,E,F,SP,123276
2020,E,F,TO,4682
2020,E,M,AC,1878
2020,E,M,AL,5440
2020,E,M,AM,8977
2020,E,M,AP,2465
2020,E,M,BA,21803
2020,E,M,CE,16066
2020,E,M,DF,11667
2020,E,M,ES,8838
2020,E,M,GO,17011
2020,E,M,MA,11172
2020,E,M,MG,49655
2020,E,M,MS,5759
2020,E,M,MT,7124
2020,E,M,PA,15693
2020,E,M,PB,9435
2020,E,M,PE,20346
2020,E,M,PI,7455
2020,E,M,PR,21881
2020,E,M,RJ,30710
2020,E,M,RN,8703
2020,E,M,RO,3737
2020,E,M,RR,1221
2020,E,M,RS,16532
2020,E,M,SC,10250
2020,E,M,SE,4579
2020,E,M,SP,93318
2020,E,M,TO,3686
2021,A,F,AC,436
2021,A,F,AL,937
2021,A,F,AM,2452
2021,A,F,AP,373
2021,A,F,BA,4062
2021,A,F,CE,3528
2021,A,F,DF,712
2021,A,F,ES,518
2021,A,F,GO,1803
2021,A,F,MA,2441
2021,A,F,MG,2320
2021,A,F,MS,588
2021,A,F,MT,752
2021,A,F,PA,3370
2021,A,F,PB,1103
2021,A,F,PE,2738
2021,A,F,PI,891
2021,A,F,PR,992
2021,A,F,RJ,2603
2021,A,F,RN,738
2021,A,F,RO,416
2021,A,F,RR,150
2021,A,F,RS,1337
2021,A,F,SC,599
2021,A,F,SE,714
2021,A,F,SP,3519
2021,A,F,TO,484
2021,A,M,AC,255
2021,A,M,AL,493
2021,A,M,AM,1960
2021,A,M,AP,262
2021,A,M,BA,1948
2021,A,M,CE,3266
2021,A,M,DF,446
2021,A,M,ES,332
2021,A,M,GO,1185
2021,A,M,MA,1241
2021,A,M,MG,1310
2021,A,M,MS,365
2021,A,M,MT,447
2021,A,M,PA,1755
2021,A,M,PB,599
2021,A,M,PE,1616
2021,A,M,PI,509
2021,A,M,PR,638
2021,A,M,RJ,1506
2021,A,M,RN,447
2021,A,M,RO,290
2021,A,M,RR,81
2021,A,M,RS,775
2021,A,M,SC,357
2021,A,M,SE,376
2021,A,M,SP,2309
2021,A,M,TO,268
2021,B,F,AC,3031
2021,B,F,AL,7755
2021,B,F,AM,13639
2021,B,F,AP,3095
2021,B,F,BA,38654
2021,B,F,CE,34660
2021,B,F,DF,5848
2021,B,F,ES,5129
2021,B,F,GO,12527
2021,B,F,MA,21005
2021,B,F,MG,25237
2021,B,F,MS,4308
2021,B,F,MT,5727
2021,B,F,PA,33143
2021,B,F,PB,13955
2021,B,F,PE,24113
2021,B,F,PI,11665
2021,B,F,PR,9774
2021,B,F,RJ,23725
2021,B,F,RN,8954
2021,B,F,RO,3908
2021,B,F,RR,915
2021,B,F,RS,14143
2021,B,F,SC,5773
2021,B,F,SE,7700
2021,B,F,SP,34143
2021,B,F,TO,3754
2021,B,M,AC,1726
2021,B,M,AL,4097
2021,B,M,AM,9388
2021,B,M,AP,1848
2021,B,M,BA,17980
2021,B,M,CE,26699
2021,B,M,DF,3554
2021,B,M,ES,3157
2021,B,M,GO,8048
2021,B,M,MA,10618
2021,B,M,MG,14479
2021,B,M,MS,2564
2021,B,M,MT,3293
2021,B,M,PA,16836
2021,B,M,PB,8061
2021,B,M,PE,13701
2021,B,M,PI,5825
2021,B,M,PR,6549
2021,B,M,RJ,13760
2021,B,M,RN,5491
2021,B,M,RO,2128
2021,B,M,RR,485
2021,B,M,RS,8052
2021,B,M,SC,3768
2021,B,M,SE,3951
2021,B,M,SP,21776
2021,B,M,TO,1854
2021,C,F,AC,4016
2021,C,F,AL,11532
2021,C,F,AM,16043
2021,C,F,AP,4227
2021,C,F,BA,56845
2021,C,F,CE,41620
2021,C,F,DF,10152
2021,C,F,ES,10957
2021,C,F,GO,22932
2021,C,F,MA,26042
2021,C,F,MG,55838
2021,C,F,MS,7422
2021,C,F,MT,9871
2021,C,F,PA,37752
2021,C,F,PB,21062
2021,C,F,PE,38499
2021,C,F,PI,16324
2021,C,F,PR,22142
2021,C,F,RJ,40992
2021,C,F,RN,15739
2021,C,F,RO,6845
2021,C,F,RR,1385
2021,C,F,RS,28471
2021,C,F,SC,12452
2021,C,F,SE,11404
2021,C,F,SP,73086
2021,C,F,TO,5732
2021,C,M,AC,2395
2021,C,M,AL,6634
2021,C,M,AM,10819
2021,C,M,AP,2624
2021,C,M,BA,28930
2021,C,M,CE,30584
2021,C,M,DF,5908
2021,C,M,ES,6308
2021,C,M,GO,13565
2021,C,M,MA,15074
2021,C,M,MG,30078
2021,C,M,MS,4222
2021,C,M,MT,5250
2021,C,M,PA,22028
2021,C,M,PB,13563
