NU_ANO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA,QTD
2019,2,1,TO,1988
2019,2,2,AC,804
2019,2,2,AL,2152
2019,2,2,AM,1343
2019,2,2,AP,1038
2019,2,2,BA,21782
2019,2,2,CE,8659
2019,2,2,DF,3250
2019,2,2,ES,4006
2019,2,2,GO,5082
2019,2,2,MA,6854
2019,2,2,MG,17509
2019,2,2,MS,1372
2019,2,2,MT,2922
2019,2,2,PA,6898
2019,2,2,PB,2914
2019,2,2,PE,7831
2019,2,2,PI,4026
2019,2,2,PR,3009
2019,2,2,RJ,15006
2019,2,2,RN,2437
2019,2,2,RO,1418
2019,2,2,RR,178
2019,2,2,RS,3487
2019,2,2,SC,1487
2019,2,2,SE,2320
2019,2,2,SP,24819
2019,2,2,TO,1830
2019,2,3,AC,4408
2019,2,3,AL,10923
2019,2,3,AM,21939
2019,2,3,AP,5116
2019,2,3,BA,40443
2019,2,3,CE,78449
2019,2,3,DF,10704
2019,2,3,ES,13100
2019,2,3,GO,21888
2019,2,3,MA,33436
2019,2,3,MG,57626
2019,2,3,MS,8578
2019,2,3,MT,11619
2019,2,3,PA,36426
2019,2,3,PB,16253
2019,2,3,PE,35640
2019,2,3,PI,16239
2019,2,3,PR,18202
2019,2,3,RJ,29591
2019,2,3,RN,11708
2019,2,3,RO,8426
2019,2,3,RR,2042
2019,2,3,RS,7724
2019,2,3,SC,6839
2019,2,3,SE,8989
2019,2,3,SP,79160
2019,2,3,TO,6628
2019,2,4,AC,264
2019,2,4,AL,775
2019,2,4,AM,553
2019,2,4,AP,122
2019,2,4,BA,2348
2019,2,4,CE,1860
2019,2,4,DF,592
2019,2,4,ES,514
2019,2,4,GO,1870
2019,2,4,MA,826
2019,2,4,MG,2947
2019,2,4,MS,422
2019,2,4,MT,557
2019,2,4,PA,1257
2019,2,4,PB,882
2019,2,4,PE,1899
2019,2,4,PI,919
2019,2,4,PR,1151
2019,2,4,RJ,1440
2019,2,4,RN,604
2019,2,4,RO,430
2019,2,4,RR,34
2019,2,4,RS,277
2019,2,4,SC,380
2019,2,4,SE,429
2019,2,4,SP,4480
2019,2,4,TO,397
2019,2,5,AC,78
2019,2,5,AL,175
2019,2,5,AM,803
2019,2,5,AP,48
2019,2,5,BA,733
2019,2,5,CE,726
2019,2,5,DF,118
2019,2,5,ES,211
2019,2,5,GO,226
2019,2,5,MA,236
2019,2,5,MG,715
