NU_ANO,TP_ESTADO_CIVIL,Q025,SG_UF_PROVA,QTD
2019,0,A,AC,1118
2019,0,A,AL,867
2019,0,A,AM,2592
2019,0,A,AP,1402
2019,0,A,BA,3773
2019,0,A,CE,3690
2019,0,A,DF,688
2019,0,A,ES,537
2019,0,A,GO,1350
2019,0,A,MA,3679
2019,0,A,MG,2689
2019,0,A,MS,892
2019,0,A,MT,1158
2019,0,A,PA,7530
2019,0,A,PB,1278
2019,0,A,PE,1621
2019,0,A,PI,2075
2019,0,A,PR,1318
2019,0,A,RJ,1442
2019,0,A,RN,1063
2019,0,A,RO,919
2019,0,A,RR,217
2019,0,A,RS,1757
2019,0,A,SC,572
2019,0,A,SE,908
2019,0,A,SP,3576
2019,0,A,TO,743
2019,0,B,AC,1224
2019,0,B,AL,2468
2019,0,B,AM,3438
2019,0,B,AP,1573
2019,0,B,BA,13053
2019,0,B,CE,7923
2019,0,B,DF,3483
2019,0,B,ES,2915
2019,0,B,GO,5357
2019,0,B,MA,4830
2019,0,B,MG,13380
2019,0,B,MS,2947
2019,0,B,MT,3460
2019,0,B,PA,8208
2019,0,B,PB,4380
2019,0,B,PE,7794
2019,0,B,PI,2850
2019,0,B,PR,8031
2019,0,B,RJ,8910
2019,0,B,RN,4283
2019,0,B,RO,2342
2019,0,B,RR,443
2019,0,B,RS,10615
2019,0,B,SC,5403
2019,0,B,SE,2442
2019,0,B,SP,24189
2019,0,B,TO,1401
2019,1,A,AC,15047
2019,1,A,AL,19755
2019,1,A,AM,46700
2019,1,A,AP,17943
2019,1,A,BA,80981
2019,1,A,CE,87666
2019,1,A,DF,11607
2019,1,A,ES,11747
2019,1,A,GO,25188
2019,1,A,MA,92159
2019,1,A,MG,71488
2019,1,A,MS,11969
2019,1,A,MT,16918
2019,1,A,PA,118637
2019,1,A,PB,28356
2019,1,A,PE,46219
2019,1,A,PI,44666
2019,1,A,PR,18472
2019,1,A,RJ,37281
2019,1,A,RN,22043
2019,1,A,RO,12077
2019,1,A,RR,4046
2019,1,A,RS,24285
2019,1,A,SC,7086
2019,1,A,SE,21142
2019,1,A,SP,71123
2019,1,A,TO,13514
2019,1,B,AC,15308
2019,1,B,AL,55212
2019,1,B,AM,53044
2019,1,B,AP,17819
2019,1,B,BA,258782
2019,1,B,CE,174326
2019,1,B,DF,69062
2019,1,B,ES,74090
2019,1,B,GO,121385
2019,1,B,MA,98208
2019,1,B,MG,395312
2019,1,B,MS,45449
2019,1,B,MT,56468
2019,1,B,PA,116853
2019,1,B,PB,94934
2019,1,B,PE,192896
2019,1,B,PI,61326
2019,1,B,PR,164691
2019,1,B,RJ,257317
2019,1,B,RN,77914
2019,1,B,RO,33075
2019,1,B,RR,6965
2019,1,B,RS,163470
2019,1,B,SC,90302
2019,1,B,SE,47008
2019,1,B,SP,652757
2019,1,B,TO,26308
2019,2,A,AC,2397
2019,2,A,AL,2483
2019,2,A,AM,4165
2019,2,A,AP,1491
2019,2,A,BA,6573
2019,2,A,CE,4336
2019,2,A,DF,1371
2019,2,A,ES,1484
2019,2,A,GO,2857
2019,2,A,MA,6044
2019,2,A,MG,7229
2019,2,A,MS,1754
2019,2,A,MT,1942
2019,2,A,PA,10717
2019,2,A,PB,3091
2019,2,A,PE,3866
2019,2,A,PI,3598
2019,2,A,PR,1958
2019,2,A,RJ,4383
2019,2,A,RN,2308
2019,2,A,RO,2337
2019,2,A,RR,377
2019,2,A,RS,2165
2019,2,A,SC,641
2019,2,A,SE,1538
2019,2,A,SP,6950
2019,2,A,TO,1097
2019,2,B,AC,2583
2019,2,B,AL,7135
2019,2,B,AM,6107
2019,2,B,AP,1694
2019,2,B,BA,25820
2019,2,B,CE,13407
2019,2,B,DF,7354
2019,2,B,ES,9134
2019,2,B,GO,10395
2019,2,B,MA,9856
2019,2,B,MG,34186
2019,2,B,MS,5587
2019,2,B,MT,6127
2019,2,B,PA,13345
2019,2,B,PB,12005
2019,2,B,PE,18079
2019,2,B,PI,5894
2019,2,B,PR,13046
2019,2,B,RJ,23253
2019,2,B,RN,9413
2019,2,B,RO,6179
2019,2,B,RR,612
2019,2,B,RS,11612
2019,2,B,SC,5027
2019,2,B,SE,4023
2019,2,B,SP,42410
2019,2,B,TO,2416
2019,3,A,AC,455
2019,3,A,AL,517
2019,3,A,AM,809
2019,3,A,AP,276
2019,3,A,BA,1393
2019,3,A,CE,964
2019,3,A,DF,439
2019,3,A,ES,438
2019,3,A,GO,795
2019,3,A,MA,1323
2019,3,A,MG,2032
2019,3,A,MS,455
2019,3,A,MT,547
2019,3,A,PA,1973
2019,3,A,PB,645
2019,3,A,PE,981
2019,3,A,PI,722
2019,3,A,PR,628
2019,3,A,RJ,1290
2019,3,A,RN,496
2019,3,A,RO,518
2019,3,A,RR,99
2019,3,A,RS,908
2019,3,A,SC,203
2019,3,A,SE,379
2019,3,A,SP,2646
2019,3,A,TO,260
2019,3,B,AC,469
2019,3,B,AL,1247
2019,3,B,AM,1140
2019,3,B,AP,363
2019,3,B,BA,4576
2019,3,B,CE,2402
2019,3,B,DF,1723
2019,3,B,ES,1782
2019,3,B,GO,2468
2019,3,B,MA,1742
2019,3,B,MG,7606
2019,3,B,MS,1238
2019,3,B,MT,1371
2019,3,B,PA,1995
2019,3,B,PB,2292
2019,3,B,PE,3556
2019,3,B,PI,1023
2019,3,B,PR,2955
2019,3,B,RJ,5242
2019,3,B,RN,1644
2019,3,B,RO,1101
2019,3,B,RR,179
2019,3,B,RS,3339
2019,3,B,SC,1384
2019,3,B,SE,954
2019,3,B,SP,11437
2019,3,B,TO,473
2019,4,A,AC,18
2019,4,A,AL,31
2019,4,A,AM,74
2019,4,A,AP,17
2019,4,A,BA,119
2019,4,A,CE,77
2019,4,A,DF,27
2019,4,A,ES,22
2019,4,A,GO,36
2019,4,A,MA,89
2019,4,A,MG,137
2019,4,A,MS,26
2019,4,A,MT,41
2019,4,A,PA,177
2019,4,A,PB,41
2019,4,A,PE,72
2019,4,A,PI,57
2019,4,A,PR,35
2019,4,A,RJ,119
2019,4,A,RN,32
2019,4,A,RO,27
2019,4,A,RR,8
2019,4,A,RS,52
2019,4,A,SC,11
2019,4,A,SE,26
2019,4,A,SP,142
2019,4,A,TO,13
2019,4,B,AC,26
2019,4,B,AL,109
2019,4,B,AM,75
2019,4,B,AP,25
2019,4,B,BA,357
2019,4,B,CE,193
2019,4,B,DF,95
2019,4,B,ES,124
2019,4,B,GO,149
2019,4,B,MA,144
2019,4,B,MG,566
2019,4,B,MS,76
2019,4,B,MT,89
2019,4,B,PA,158
2019,4,B,PB,154
2019,4,B,PE,233
2019,4,B,PI,101
2019,4,B,PR,172
2019,4,B,RJ,479
2019,4,B,RN,123
2019,4,B,RO,64
2019,4,B,RR,10
2019,4,B,RS,266
2019,4,B,SC,70
2019,4,B,SE,68
2019,4,B,SP,760
2019,4,B,TO,24
2020,0,A,AC,1019
2020,0,A,AL,691
2020,0,A,AM,3268
2020,0,A,AP,1103
2020,0,A,BA,3646
2020,0,A,CE,3886
2020,0,A,DF,705
2020,0,A,ES,464
2020,0,A,GO,1674
2020,0,A,MA,3468
2020,0,A,MG,2622
2020,0,A,MS,998
2020,0,A,MT,1199
2020,0,A,PA,7544
2020,0,A,PB,1136
2020,0,A,PE,1801
2020,0,A,PI,1945
2020,0,A,PR,1280
2020,0,A,RJ,1650
2020,0,A,RN,878
2020,0,A,RO,825
2020,0,A,RR,229
2020,0,A,RS,1716
2020,0,A,SC,581
2020,0,A,SE,1225
2020,0,A,SP,3783
2020,0,A,TO,887
2020,0,B,AC,1498
2020,0,B,AL,3188
