NU_ANO,TP_SEXO,Q024,SG_UF_PROVA,QTD
2019,F,A,AC,16377
2019,F,A,AL,34715
2019,F,A,AM,46430
2019,F,A,AP,18165
2019,F,A,BA,148775
2019,F,A,CE,110325
2019,F,A,DF,20546
2019,F,A,ES,24704
2019,F,A,GO,48869
2019,F,A,MA,97896
2019,F,A,MG,125014
2019,F,A,MS,20606
2019,F,A,MT,25235
2019,F,A,PA,123386
2019,F,A,PB,50299
2019,F,A,PE,96231
2019,F,A,PI,49737
2019,F,A,PR,42699
2019,F,A,RJ,80734
2019,F,A,RN,37902
2019,F,A,RO,19866
2019,F,A,RR,4404
2019,F,A,RS,47022
2019,F,A,SC,20841
2019,F,A,SE,30817
2019,F,A,SP,164549
2019,F,A,TO,17073
2019,F,B,AC,5744
2019,F,B,AL,16761
2019,F,B,AM,19097
2019,F,B,AP,5839
2019,F,B,BA,88952
2019,F,B,CE,45779
2019,F,B,DF,26349
2019,F,B,ES,29739
2019,F,B,GO,44814
2019,F,B,MA,29073
2019,F,B,MG,164576
2019,F,B,MS,17141
2019,F,B,MT,23061
2019,F,B,PA,39542
2019,F,B,PB,29413
2019,F,B,PE,56343
2019,F,B,PI,19828
2019,F,B,PR,62840
2019,F,B,RJ,97057
2019,F,B,RN,25884
2019,F,B,RO,13973
2019,F,B,RR,2688
2019,F,B,RS,67498
2019,F,B,SC,35012
2019,F,B,SE,14166
2019,F,B,SP,247494
2019,F,B,TO,9413
2019,F,C,AC,542
2019,F,C,AL,1868
2019,F,C,AM,2192
2019,F,C,AP,705
2019,F,C,BA,8196
2019,F,C,CE,5866
2019,F,C,DF,6110
2019,F,C,ES,4353
2019,F,C,GO,6110
2019,F,C,MA,2882
2019,F,C,MG,24676
2019,F,C,MS,2657
2019,F,C,MT,3111
2019,F,C,PA,4358
2019,F,C,PB,3563
2019,F,C,PE,6776
2019,F,C,PI,2296
2019,F,C,PR,12795
2019,F,C,RJ,17402
2019,F,C,RN,3344
2019,F,C,RO,1502
2019,F,C,RR,466
2019,F,C,RS,12421
2019,F,C,SC,7593
2019,F,C,SE,1678
2019,F,C,SP,48098
2019,F,C,TO,1094
2019,F,D,AC,129
2019,F,D,AL,533
2019,F,D,AM,585
2019,F,D,AP,195
2019,F,D,BA,2215
2019,F,D,CE,1615
2019,F,D,DF,2388
2019,F,D,ES,1178
2019,F,D,GO,1536
2019,F,D,MA,688
2019,F,D,MG,6702
2019,F,D,MS,657
2019,F,D,MT,802
2019,F,D,PA,1030
2019,F,D,PB,971
2019,F,D,PE,2086
2019,F,D,PI,619
2019,F,D,PR,3756
2019,F,D,RJ,5584
2019,F,D,RN,953
2019,F,D,RO,324
2019,F,D,RR,133
2019,F,D,RS,3307
2019,F,D,SC,2097
2019,F,D,SE,461
2019,F,D,SP,14861
2019,F,D,TO,300
2019,F,E,AC,35
2019,F,E,AL,185
2019,F,E,AM,209
2019,F,E,AP,68
2019,F,E,BA,715
2019,F,E,CE,613
2019,F,E,DF,1195
2019,F,E,ES,379
2019,F,E,GO,503
2019,F,E,MA,228
2019,F,E,MG,2642
2019,F,E,MS,194
2019,F,E,MT,236
2019,F,E,PA,360
2019,F,E,PB,395
2019,F,E,PE,815
2019,F,E,PI,201
2019,F,E,PR,1415
2019,F,E,RJ,2382
2019,F,E,RN,368
2019,F,E,RO,81
2019,F,E,RR,64
2019,F,E,RS,1202
2019,F,E,SC,750
2019,F,E,SE,175
2019,F,E,SP,6605
2019,F,E,TO,93
2019,M,A,AC,9764
2019,M,A,AL,18528
2019,M,A,AM,29116
2019,M,A,AP,11176
2019,M,A,BA,68011
2019,M,A,CE,78010
2019,M,A,DF,10103
2019,M,A,ES,13097
2019,M,A,GO,25271
2019,M,A,MA,57027
2019,M,A,MG,59214
2019,M,A,MS,11220
2019,M,A,MT,13739
2019,M,A,PA,70634
2019,M,A,PB,29574
2019,M,A,PE,52901
2019,M,A,PI,28981
2019,M,A,PR,22181
2019,M,A,RJ,38132
2019,M,A,RN,22140
2019,M,A,RO,10412
2019,M,A,RR,2342
2019,M,A,RS,22548
2019,M,A,SC,10447
2019,M,A,SE,16079
2019,M,A,SP,82051
2019,M,A,TO,9508
2019,M,B,AC,5169
2019,M,B,AL,14565
2019,M,B,AM,17057
2019,M,B,AP,5302
2019,M,B,BA,67047
2019,M,B,CE,43269
2019,M,B,DF,19657
2019,M,B,ES,22532
2019,M,B,GO,34262
2019,M,B,MA,26072
2019,M,B,MG,118264
2019,M,B,MS,14219
2019,M,B,MT,17645
2019,M,B,PA,34036
2019,M,B,PB,26987
2019,M,B,PE,49289
2019,M,B,PI,17290
2019,M,B,PR,47733
2019,M,B,RJ,72861
2019,M,B,RN,23261
2019,M,B,RO,10547
2019,M,B,RR,2182
2019,M,B,RS,48033
2019,M,B,SC,24296
2019,M,B,SE,12475
2019,M,B,SP,183594
2019,M,B,TO,7222
2019,M,C,AC,670
2019,M,C,AL,1938
2019,M,C,AM,2532
2019,M,C,AP,833
2019,M,C,BA,8471
2019,M,C,CE,6757
2019,M,C,DF,5845
2019,M,C,ES,4489
2019,M,C,GO,6258
2019,M,C,MA,3166
2019,M,C,MG,23727
2019,M,C,MS,2588
2019,M,C,MT,3100
2019,M,C,PA,4619
2019,M,C,PB,4265
2019,M,C,PE,7555
2019,M,C,PI,2463
2019,M,C,PR,12263
2019,M,C,RJ,17248
2019,M,C,RN,3942
2019,M,C,RO,1491
2019,M,C,RR,443
2019,M,C,RS,11537
2019,M,C,SC,6687
2019,M,C,SE,1867
2019,M,C,SP,46054
2019,M,C,TO,1134
2019,M,D,AC,169
2019,M,D,AL,526
2019,M,D,AM,653
2019,M,D,AP,247
2019,M,D,BA,2249
2019,M,D,CE,1936
2019,M,D,DF,2359
2019,M,D,ES,1305
2019,M,D,GO,1677
2019,M,D,MA,788
2019,M,D,MG,6875
2019,M,D,MS,818
2019,M,D,MT,864
2019,M,D,PA,1209
2019,M,D,PB,1222
2019,M,D,PE,2315
2019,M,D,PI,667
2019,M,D,PR,3990
2019,M,D,RJ,5643
2019,M,D,RN,1087
2019,M,D,RO,340
2019,M,D,RR,167
2019,M,D,RS,3419
2019,M,D,SC,2138
2019,M,D,SE,571
2019,M,D,SP,15415
2019,M,D,TO,299
2019,M,E,AC,46
2019,M,E,AL,205
2019,M,E,AM,273
2019,M,E,AP,73
2019,M,E,BA,796
2019,M,E,CE,814
2019,M,E,DF,1297
2019,M,E,ES,497
2019,M,E,GO,680
2019,M,E,MA,254
2019,M,E,MG,2935
2019,M,E,MS,293
2019,M,E,MT,328
2019,M,E,PA,419
2019,M,E,PB,487
2019,M,E,PE,1006
2019,M,E,PI,230
2019,M,E,PR,1634
2019,M,E,RJ,2673
2019,M,E,RN,438
2019,M,E,RO,103
2019,M,E,RR,67
2019,M,E,RS,1482
2019,M,E,SC,838
2019,M,E,SE,199
2019,M,E,SP,7269
2019,M,E,TO,113
2020,F,A,AC,17307
2020,F,A,AL,40999
2020,F,A,AM,64714
2020,F,A,AP,19854
2020,F,A,BA,179161
2020,F,A,CE,125897
2020,F,A,DF,27654
2020,F,A,ES,28401
2020,F,A,GO,66855
2020,F,A,MA,109129
2020,F,A,MG,146906
2020,F,A,MS,26305
2020,F,A,MT,31525
2020,F,A,PA,150042
2020,F,A,PB,58754
2020,F,A,PE,117173
2020,F,A,PI,55877
2020,F,A,PR,53020
2020,F,A,RJ,102287
2020,F,A,RN,43456
2020,F,A,RO,24955
2020,F,A,RR,6159
2020,F,A,RS,60694
2020,F,A,SC,25072
2020,F,A,SE,35712
2020,F,A,SP,199737
2020,F,A,TO,22975
2020,F,B,AC,5871
2020,F,B,AL,17133
2020,F,B,AM,23246
2020,F,B,AP,5914
2020,F,B,BA,89111
2020,F,B,CE,45561
2020,F,B,DF,29337
2020,F,B,ES,28429
2020,F,B,GO,49404
2020,F,B,MA,30050
2020,F,B,MG,165938
2020,F,B,MS,18916
2020,F,B,MT,24454
2020,F,B,PA,43234
2020,F,B,PB,29991
2020,F,B,PE,57276
2020,F,B,PI,20887
2020,F,B,PR,66985
2020,F,B,RJ,101350
2020,F,B,RN,26375
2020,F,B,RO,15348
2020,F,B,RR,3274
2020,F,B,RS,71521
2020,F,B,SC,35684
2020,F,B,SE,14396
2020,F,B,SP,250251
2020,F,B,TO,10476
2020,F,C,AC,569
2020,F,C,AL,1962
2020,F,C,AM,2673
2020,F,C,AP,783
2020,F,C,BA,8638
2020,F,C,CE,5995
2020,F,C,DF,6573
2020,F,C,ES,4371
2020,F,C,GO,6336
2020,F,C,MA,3164
2020,F,C,MG,25618
2020,F,C,MS,2750
2020,F,C,MT,3225
2020,F,C,PA,4678
2020,F,C,PB,3653
2020,F,C,PE,7165
2020,F,C,PI,2425
2020,F,C,PR,13464
2020,F,C,RJ,17880
2020,F,C,RN,3564
2020,F,C,RO,1542
2020,F,C,RR,518
2020,F,C,RS,12828
2020,F,C,SC,7837
2020,F,C,SE,1764
2020,F,C,SP,50068
2020,F,C,TO,1331
2020,F,D,AC,157
2020,F,D,AL,575
2020,F,D,AM,699
2020,F,D,AP,214
2020,F,D,BA,2317
2020,F,D,CE,1844
2020,F,D,DF,2807
2020,F,D,ES,1213
2020,F,D,GO,1724
2020,F,D,MA,744
2020,F,D,MG,7320
2020,F,D,MS,834
2020,F,D,MT,862
2020,F,D,PA,1135
2020,F,D,PB,1111
2020,F,D,PE,2331
2020,F,D,PI,660
2020,F,D,PR,4232
2020,F,D,RJ,6153
2020,F,D,RN,1068
2020,F,D,RO,344
2020,F,D,RR,147
2020,F,D,RS,3812
2020,F,D,SC,2414
2020,F,D,SE,546
2020,F,D,SP,17440
2020,F,D,TO,335
2020,F,E,AC,39
2020,F,E,AL,208
2020,F,E,AM,288
2020,F,E,AP,95
2020,F,E,BA,847
2020,F,E,CE,712
2020,F,E,DF,1529
2020,F,E,ES,465
2020,F,E,GO,654
2020,F,E,MA,254
2020,F,E,MG,2972
2020,F,E,MS,279
2020,F,E,MT,290
2020,F,E,PA,425
2020,F,E,PB,432
2020,F,E,PE,995
2020,F,E,PI,204
2020,F,E,PR,1802
2020,F,E,RJ,2924
2020,F,E,RN,408
2020,F,E,RO,94
2020,F,E,RR,55
2020,F,E,RS,1553
2020,F,E,SC,909
2020,F,E,SE,219
2020,F,E,SP,9060
2020,F,E,TO,111
2020,M,A,AC,10633
2020,M,A,AL,22291
2020,M,A,AM,43816
2020,M,A,AP,12742
2020,M,A,BA,84337
2020,M,A,CE,89744
2020,M,A,DF,13542
2020,M,A,ES,14501
2020,M,A,GO,37301
2020,M,A,MA,62378
2020,M,A,MG,69180
2020,M,A,MS,14638
2020,M,A,MT,16514
2020,M,A,PA,86534
2020,M,A,PB,34459
2020,M,A,PE,66605
2020,M,A,PI,32103
2020,M,A,PR,26884
2020,M,A,RJ,49378
2020,M,A,RN,25162
2020,M,A,RO,13214
2020,M,A,RR,3458
2020,M,A,RS,29369
2020,M,A,SC,12669
2020,M,A,SE,19341
2020,M,A,SP,100419
2020,M,A,TO,13150
2020,M,B,AC,5231
2020,M,B,AL,14775
2020,M,B,AM,21069
2020,M,B,AP,5726
2020,M,B,BA,68764
2020,M,B,CE,43547
2020,M,B,DF,21762
2020,M,B,ES,21216
2020,M,B,GO,38479
2020,M,B,MA,26753
2020,M,B,MG,117290
2020,M,B,MS,15144
2020,M,B,MT,17635
2020,M,B,PA,37716
2020,M,B,PB,27361
2020,M,B,PE,50407
2020,M,B,PI,17828
2020,M,B,PR,48914
2020,M,B,RJ,75538
2020,M,B,RN,23624
2020,M,B,RO,11223
2020,M,B,RR,2499
2020,M,B,RS,49898
2020,M,B,SC,23985
2020,M,B,SE,12433
2020,M,B,SP,184566
2020,M,B,TO,8194
2020,M,C,AC,658
2020,M,C,AL,1983
2020,M,C,AM,2916
2020,M,C,AP,840
2020,M,C,BA,8282
2020,M,C,CE,6478
2020,M,C,DF,5964
2020,M,C,ES,4141
2020,M,C,GO,6085
2020,M,C,MA,3242
2020,M,C,MG,23263
2020,M,C,MS,2630
2020,M,C,MT,3128
2020,M,C,PA,4814
2020,M,C,PB,4009
2020,M,C,PE,7337
2020,M,C,PI,2348
2020,M,C,PR,12074
2020,M,C,RJ,16459
2020,M,C,RN,3858
2020,M,C,RO,1469
2020,M,C,RR,496
2020,M,C,RS,11194
2020,M,C,SC,6590
2020,M,C,SE,1795
2020,M,C,SP,45096
2020,M,C,TO,1213
2020,M,D,AC,157
2020,M,D,AL,574
2020,M,D,AM,789
2020,M,D,AP,223
2020,M,D,BA,2368
2020,M,D,CE,1972
2020,M,D,DF,2473
2020,M,D,ES,1267
2020,M,D,GO,1784
2020,M,D,MA,823
2020,M,D,MG,6964
2020,M,D,MS,809
2020,M,D,MT,914
