NU_ANO,TP_FAIXA_ETARIA,Q025,SG_UF_PROVA,QTD
2019,1,A,AC,497
2019,1,A,AL,737
2019,1,A,AM,1523
2019,1,A,AP,657
2019,1,A,BA,4426
2019,1,A,CE,6459
2019,1,A,DF,248
2019,1,A,ES,329
2019,1,A,GO,1925
2019,1,A,MA,6933
2019,1,A,MG,3842
2019,1,A,MS,524
2019,1,A,MT,934
2019,1,A,PA,5938
2019,1,A,PB,1776
2019,1,A,PE,3700
2019,1,A,PI,3468
2019,1,A,PR,898
2019,1,A,RJ,816
2019,1,A,RN,683
2019,1,A,RO,422
2019,1,A,RR,214
2019,1,A,RS,564
2019,1,A,SC,235
2019,1,A,SE,1393
2019,1,A,SP,2263
2019,1,A,TO,999
2019,1,B,AC,1382
2019,1,B,AL,4865
2019,1,B,AM,3546
2019,1,B,AP,1722
2019,1,B,BA,23552
2019,1,B,CE,20192
2019,1,B,DF,5168
2019,1,B,ES,5422
2019,1,B,GO,17914
2019,1,B,MA,11165
2019,1,B,MG,37978
2019,1,B,MS,5869
2019,1,B,MT,7018
2019,1,B,PA,13637
2019,1,B,PB,11198
2019,1,B,PE,23277
2019,1,B,PI,7798
2019,1,B,PR,19593
2019,1,B,RJ,19243
2019,1,B,RN,5204
2019,1,B,RO,2812
2019,1,B,RR,735
2019,1,B,RS,10690
2019,1,B,SC,9416
2019,1,B,SE,5969
2019,1,B,SP,69281
2019,1,B,TO,3612
2019,2,A,AC,1631
2019,2,A,AL,2469
2019,2,A,AM,5651
2019,2,A,AP,1696
2019,2,A,BA,10222
2019,2,A,CE,18691
2019,2,A,DF,977
2019,2,A,ES,1636
2019,2,A,GO,4393
2019,2,A,MA,14278
2019,2,A,MG,10854
2019,2,A,MS,1775
2019,2,A,MT,2769
2019,2,A,PA,12786
2019,2,A,PB,3681
2019,2,A,PE,7850
2019,2,A,PI,6367
2019,2,A,PR,4210
2019,2,A,RJ,3760
2019,2,A,RN,2114
2019,2,A,RO,1221
2019,2,A,RR,465
2019,2,A,RS,2276
2019,2,A,SC,1082
2019,2,A,SE,2535
2019,2,A,SP,17390
2019,2,A,TO,2306
2019,2,B,AC,2177
2019,2,B,AL,8596
2019,2,B,AM,7549
2019,2,B,AP,2453
2019,2,B,BA,38734
2019,2,B,CE,34493
2019,2,B,DF,12497
2019,2,B,ES,13080
2019,2,B,GO,27081
2019,2,B,MA,15126
2019,2,B,MG,71514
2019,2,B,MS,10050
2019,2,B,MT,12224
2019,2,B,PA,17288
2019,2,B,PB,14203
2019,2,B,PE,35318
2019,2,B,PI,10018
