NU_ANO,Q022,Q024,SG_UF_PROVA,QTD
2019,A,A,AC,1103
2019,A,A,AL,1697
2019,A,A,AM,3452
2019,A,A,AP,1288
2019,A,A,BA,7740
2019,A,A,CE,11180
2019,A,A,DF,946
2019,A,A,ES,808
2019,A,A,GO,1841
2019,A,A,MA,7854
2019,A,A,MG,4098
2019,A,A,MS,988
2019,A,A,MT,1181
2019,A,A,PA,8275
2019,A,A,PB,2100
2019,A,A,PE,4695
2019,A,A,PI,2791
2019,A,A,PR,1259
2019,A,A,RJ,3460
2019,A,A,RN,1361
2019,A,A,RO,894
2019,A,A,RR,246
2019,A,A,RS,1610
2019,A,A,SC,661
2019,A,A,SE,1077
2019,A,A,SP,5888
2019,A,A,TO,922
2019,A,B,AC,203
2019,A,B,AL,431
2019,A,B,AM,796
2019,A,B,AP,213
2019,A,B,BA,2202
2019,A,B,CE,1198
2019,A,B,DF,751
2019,A,B,ES,624
2019,A,B,GO,1018
2019,A,B,MA,729
2019,A,B,MG,2503
2019,A,B,MS,464
2019,A,B,MT,591
2019,A,B,PA,1026
2019,A,B,PB,559
2019,A,B,PE,1356
2019,A,B,PI,289
2019,A,B,PR,1056
2019,A,B,RJ,2347
2019,A,B,RN,524
2019,A,B,RO,379
2019,A,B,RR,98
2019,A,B,RS,1282
2019,A,B,SC,563
2019,A,B,SE,290
2019,A,B,SP,4849
2019,A,B,TO,229
2019,A,C,AC,11
2019,A,C,AL,37
2019,A,C,AM,56
2019,A,C,AP,17
2019,A,C,BA,105
2019,A,C,CE,114
2019,A,C,DF,108
2019,A,C,ES,63
2019,A,C,GO,73
2019,A,C,MA,46
2019,A,C,MG,201
2019,A,C,MS,42
2019,A,C,MT,59
2019,A,C,PA,76
2019,A,C,PB,36
2019,A,C,PE,112
2019,A,C,PI,16
2019,A,C,PR,145
2019,A,C,RJ,227
2019,A,C,RN,51
2019,A,C,RO,23
2019,A,C,RR,10
2019,A,C,RS,147
2019,A,C,SC,70
2019,A,C,SE,30
2019,A,C,SP,535
2019,A,C,TO,20
2019,A,D,AC,2
2019,A,D,AL,8
2019,A,D,AM,12
2019,A,D,AP,6
2019,A,D,BA,38
2019,A,D,CE,38
2019,A,D,DF,25
2019,A,D,ES,18
2019,A,D,GO,22
2019,A,D,MA,13
2019,A,D,MG,72
2019,A,D,MS,9
2019,A,D,MT,10
2019,A,D,PA,9
2019,A,D,PB,16
