NU_ANO,TP_ESCOLA,Q022,SG_UF_PROVA,QTD
2019,2,E,AL,1838
2019,2,E,AM,4016
2019,2,E,AP,874
2019,2,E,BA,8501
2019,2,E,CE,8603
2019,2,E,DF,5491
2019,2,E,ES,5802
2019,2,E,GO,8501
2019,2,E,MA,3923
2019,2,E,MG,27795
2019,2,E,MS,3444
2019,2,E,MT,4209
2019,2,E,PA,4926
2019,2,E,PB,2948
2019,2,E,PE,8494
2019,2,E,PI,2392
2019,2,E,PR,14308
2019,2,E,RJ,14522
2019,2,E,RN,3082
2019,2,E,RO,2269
2019,2,E,RR,574
2019,2,E,RS,10123
2019,2,E,SC,9239
2019,2,E,SE,1367
2019,2,E,SP,63205
2019,2,E,TO,1771
2019,3,A,AC,6
2019,3,A,AL,83
2019,3,A,AM,46
2019,3,A,AP,21
2019,3,A,BA,215
2019,3,A,CE,141
2019,3,A,DF,107
2019,3,A,ES,46
2019,3,A,GO,97
2019,3,A,MA,61
2019,3,A,MG,171
2019,3,A,MS,36
2019,3,A,MT,44
2019,3,A,PA,135
2019,3,A,PB,74
2019,3,A,PE,184
2019,3,A,PI,43
2019,3,A,PR,132
2019,3,A,RJ,389
2019,3,A,RN,54
2019,3,A,RO,19
2019,3,A,RR,5
2019,3,A,RS,108
2019,3,A,SC,67
2019,3,A,SE,74
2019,3,A,SP,653
2019,3,A,TO,24
2019,3,B,AC,35
2019,3,B,AL,357
2019,3,B,AM,122
2019,3,B,AP,33
2019,3,B,BA,962
2019,3,B,CE,573
2019,3,B,DF,303
2019,3,B,ES,150
2019,3,B,GO,416
2019,3,B,MA,366
2019,3,B,MG,634
2019,3,B,MS,132
2019,3,B,MT,111
2019,3,B,PA,653
2019,3,B,PB,360
2019,3,B,PE,696
2019,3,B,PI,281
2019,3,B,PR,381
2019,3,B,RJ,1917
2019,3,B,RN,239
2019,3,B,RO,51
2019,3,B,RR,20
2019,3,B,RS,413
2019,3,B,SC,231
2019,3,B,SE,291
2019,3,B,SP,2690
2019,3,B,TO,71
2019,3,C,AC,70
