NU_ANO,TP_FAIXA_ETARIA,Q022,SG_UF_PROVA,QTD
2019,2,D,AL,2962
2019,2,D,AM,3305
2019,2,D,AP,1015
2019,2,D,BA,14208
2019,2,D,CE,10734
2019,2,D,DF,4426
2019,2,D,ES,5614
2019,2,D,GO,11075
2019,2,D,MA,6040
2019,2,D,MG,29305
2019,2,D,MS,4081
2019,2,D,MT,5254
2019,2,D,PA,7337
2019,2,D,PB,4682
2019,2,D,PE,11854
2019,2,D,PI,3947
2019,2,D,PR,18948
2019,2,D,RJ,17251
2019,2,D,RN,3909
2019,2,D,RO,2085
2019,2,D,RR,496
2019,2,D,RS,11747
2019,2,D,SC,9775
2019,2,D,SE,2604
2019,2,D,SP,81705
2019,2,D,TO,2197
2019,2,E,AC,583
2019,2,E,AL,2069
2019,2,E,AM,2401
2019,2,E,AP,676
2019,2,E,BA,8038
2019,2,E,CE,7368
2019,2,E,DF,5176
2019,2,E,ES,4014
2019,2,E,GO,8074
2019,2,E,MA,3429
2019,2,E,MG,22468
2019,2,E,MS,2865
2019,2,E,MT,3729
2019,2,E,PA,4823
2019,2,E,PB,3345
2019,2,E,PE,8484
2019,2,E,PI,2695
2019,2,E,PR,14205
2019,2,E,RJ,13512
2019,2,E,RN,2757
2019,2,E,RO,1325
2019,2,E,RR,459
2019,2,E,RS,7266
2019,2,E,SC,6800
2019,2,E,SE,1759
2019,2,E,SP,69803
2019,2,E,TO,1549
2019,3,A,AC,227
2019,3,A,AL,419
2019,3,A,AM,830
2019,3,A,AP,241
2019,3,A,BA,1664
2019,3,A,CE,3537
2019,3,A,DF,331
2019,3,A,ES,281
2019,3,A,GO,723
2019,3,A,MA,1699
2019,3,A,MG,1342
2019,3,A,MS,314
2019,3,A,MT,375
2019,3,A,PA,1347
2019,3,A,PB,457
2019,3,A,PE,1275
2019,3,A,PI,509
2019,3,A,PR,496
2019,3,A,RJ,1293
2019,3,A,RN,309
2019,3,A,RO,252
2019,3,A,RR,73
2019,3,A,RS,662
2019,3,A,SC,349
2019,3,A,SE,216
2019,3,A,SP,2197
2019,3,A,TO,240
2019,3,B,AC,1251
2019,3,B,AL,3334
2019,3,B,AM,4479
2019,3,B,AP,1284
2019,3,B,BA,13046
2019,3,B,CE,19984
2019,3,B,DF,1695
2019,3,B,ES,1993
2019,3,B,GO,4483
2019,3,B,MA,11028
2019,3,B,MG,11249
2019,3,B,MS,1703
2019,3,B,MT,2341
2019,3,B,PA,10423
2019,3,B,PB,4798
2019,3,B,PE,9988
2019,3,B,PI,5091
2019,3,B,PR,3925
2019,3,B,RJ,8045
2019,3,B,RN,2806
2019,3,B,RO,1606
2019,3,B,RR,414
2019,3,B,RS,4522
2019,3,B,SC,2864
2019,3,B,SE,2531
2019,3,B,SP,14159
2019,3,B,TO,1508
2019,3,C,AC,1625
2019,3,C,AL,4322
2019,3,C,AM,5640
2019,3,C,AP,1681
2019,3,C,BA,18311
2019,3,C,CE,18855
2019,3,C,DF,3528
2019,3,C,ES,4721
2019,3,C,GO,9029
2019,3,C,MA,10888
2019,3,C,MG,25335
2019,3,C,MS,3054
2019,3,C,MT,4153
2019,3,C,PA,11428
2019,3,C,PB,6712
2019,3,C,PE,15191
2019,3,C,PI,6228
2019,3,C,PR,9198
2019,3,C,RJ,15829
2019,3,C,RN,5043
2019,3,C,RO,2787
2019,3,C,RR,603
2019,3,C,RS,11586
2019,3,C,SC,6713
2019,3,C,SE,3670
2019,3,C,SP,33940
2019,3,C,TO,2378
2019,3,D,AC,1157
2019,3,D,AL,3320
2019,3,D,AM,4293
2019,3,D,AP,1194
2019,3,D,BA,15504
2019,3,D,CE,11674
2019,3,D,DF,5216
2019,3,D,ES,6601
2019,3,D,GO,10865
2019,3,D,MA,6605
2019,3,D,MG,32956
2019,3,D,MS,3555
2019,3,D,MT,5130
2019,3,D,PA,8080
2019,3,D,PB,4988
2019,3,D,PE,12504
2019,3,D,PI,4313
2019,3,D,PR,13757
2019,3,D,RJ,20856
2019,3,D,RN,4873
2019,3,D,RO,2730
2019,3,D,RR,613
2019,3,D,RS,15936
2019,3,D,SC,10736
2019,3,D,SE,2719
2019,3,D,SP,53708
2019,3,D,TO,2228
2019,3,E,AC,646
2019,3,E,AL,2097
2019,3,E,AM,2819
2019,3,E,AP,658
2019,3,E,BA,8039
2019,3,E,CE,7069
2019,3,E,DF,5137
2019,3,E,ES,4560
2019,3,E,GO,7540
2019,3,E,MA,3528
2019,3,E,MG,24030
2019,3,E,MS,2255
2019,3,E,MT,3341
2019,3,E,PA,4810
2019,3,E,PB,3102
2019,3,E,PE,7755
2019,3,E,PI,2677
2019,3,E,PR,9719
2019,3,E,RJ,15230
2019,3,E,RN,2982
2019,3,E,RO,1637
2019,3,E,RR,494
2019,3,E,RS,9203
2019,3,E,SC,7096
2019,3,E,SE,1482
2019,3,E,SP,44050
2019,3,E,TO,1443
2019,4,A,AC,157
2019,4,A,AL,348
2019,4,A,AM,593
2019,4,A,AP,191
2019,4,A,BA,1529
2019,4,A,CE,1682
2019,4,A,DF,283
2019,4,A,ES,225
2019,4,A,GO,329
2019,4,A,MA,1318
2019,4,A,MG,908
2019,4,A,MS,202
2019,4,A,MT,229
2019,4,A,PA,1201
2019,4,A,PB,353
2019,4,A,PE,876
2019,4,A,PI,441
2019,4,A,PR,296
2019,4,A,RJ,981
2019,4,A,RN,277
2019,4,A,RO,175
2019,4,A,RR,60
2019,4,A,RS,476
2019,4,A,SC,152
2019,4,A,SE,205
2019,4,A,SP,1340
