NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,M,4,AP,11
2019,M,4,BA,61
2019,M,4,CE,71
2019,M,4,DF,22
2019,M,4,ES,23
2019,M,4,GO,33
2019,M,4,MA,52
2019,M,4,MG,123
2019,M,4,MS,17
2019,M,4,MT,19
2019,M,4,PA,60
2019,M,4,PB,27
2019,M,4,PE,45
2019,M,4,PI,23
2019,M,4,PR,42
2019,M,4,RJ,90
2019,M,4,RN,24
2019,M,4,RO,13
2019,M,4,RR,1
2019,M,4,RS,56
2019,M,4,SC,12
2019,M,4,SE,14
2019,M,4,SP,184
2019,M,4,TO,6
2020,F,0,AC,1476
2020,F,0,AL,2280
2020,F,0,AM,5130
2020,F,0,AP,1711
2020,F,0,BA,12658
2020,F,0,CE,8164
2020,F,0,DF,3017
2020,F,0,ES,2445
2020,F,0,GO,5545
2020,F,0,MA,6065
2020,F,0,MG,11781
2020,F,0,MS,2874
2020,F,0,MT,3667
2020,F,0,PA,11656
2020,F,0,PB,3802
2020,F,0,PE,6677
2020,F,0,PI,3725
2020,F,0,PR,7358
2020,F,0,RJ,8261
2020,F,0,RN,3446
2020,F,0,RO,2493
2020,F,0,RR,583
2020,F,0,RS,8991
2020,F,0,SC,4519
2020,F,0,SE,2565
2020,F,0,SP,20504
2020,F,0,TO,1910
2020,F,1,AC,19058
2020,F,1,AL,50351
2020,F,1,AM,78191
2020,F,1,AP,22963
2020,F,1,BA,237395
2020,F,1,CE,157295
2020,F,1,DF,57534
2020,F,1,ES,51419
2020,F,1,GO,104359
2020,F,1,MA,124217
2020,F,1,MG,298369
2020,F,1,MS,39388
2020,F,1,MT,49553
2020,F,1,PA,164351
2020,F,1,PB,78377
2020,F,1,PE,158447
2020,F,1,PI,67853
2020,F,1,PR,119325
2020,F,1,RJ,195152
2020,F,1,RN,62509
2020,F,1,RO,31774
2020,F,1,RR,8500
2020,F,1,RS,128085
2020,F,1,SC,62594
2020,F,1,SE,45398
2020,F,1,SP,462155
2020,F,1,TO,29880
2020,F,2,AC,3223
2020,F,2,AL,7212
2020,F,2,AM,7799
2020,F,2,AP,2103
2020,F,2,BA,25319
2020,F,2,CE,12698
2020,F,2,DF,7144
2020,F,2,ES,7496
2020,F,2,GO,12278
2020,F,2,MA,11048
2020,F,2,MG,33213
2020,F,2,MS,6060
2020,F,2,MT,6775
2020,F,2,PA,19443
2020,F,2,PB,10577
2020,F,2,PE,16417
2020,F,2,PI,7358
2020,F,2,PR,12632
2020,F,2,RJ,23853
2020,F,2,RN,7951
2020,F,2,RO,6776
2020,F,2,RR,846
2020,F,2,RS,10945
2020,F,2,SC,4847
2020,F,2,SE,4027
2020,F,2,SP,44796
2020,F,2,TO,3135
2020,F,3,AC,781
2020,F,3,AL,1815
2020,F,3,AM,1947
2020,F,3,AP,466
2020,F,3,BA,5902
2020,F,3,CE,3146
2020,F,3,DF,2205
2020,F,3,ES,2079
2020,F,3,GO,3491
2020,F,3,MA,2587
2020,F,3,MG,9657
2020,F,3,MS,1781
2020,F,3,MT,1887
2020,F,3,PA,3965
2020,F,3,PB,2756
2020,F,3,PE,4451
2020,F,3,PI,1690
2020,F,3,PR,3689
2020,F,3,RJ,6654
2020,F,3,RN,1936
2020,F,3,RO,1717
2020,F,3,RR,239
2020,F,3,RS,4054
2020,F,3,SC,1595
2020,F,3,SE,1259
2020,F,3,SP,15150
2020,F,3,TO,808
2020,F,4,AC,49
2020,F,4,AL,173
2020,F,4,AM,187
2020,F,4,AP,38
2020,F,4,BA,562
2020,F,4,CE,314
2020,F,4,DF,144
2020,F,4,ES,145
2020,F,4,GO,269
2020,F,4,MA,236
2020,F,4,MG,759
2020,F,4,MS,121
2020,F,4,MT,164
2020,F,4,PA,418
2020,F,4,PB,239
2020,F,4,PE,369
2020,F,4,PI,167
2020,F,4,PR,282
2020,F,4,RJ,742
2020,F,4,RN,159
2020,F,4,RO,117
2020,F,4,RR,15
2020,F,4,RS,356
2020,F,4,SC,97
2020,F,4,SE,87
2020,F,4,SP,1057
2020,F,4,TO,66
2020,M,0,AC,1130
2020,M,0,AL,1684
2020,M,0,AM,4162
2020,M,0,AP,1507
2020,M,0,BA,7874
2020,M,0,CE,6386
2020,M,0,DF,2318
2020,M,0,ES,1582
2020,M,0,GO,3667
2020,M,0,MA,4134
2020,M,0,MG,7981
2020,M,0,MS,2067
2020,M,0,MT,2362
2020,M,0,PA,8149
2020,M,0,PB,2909
2020,M,0,PE,5322
2020,M,0,PI,2497
2020,M,0,PR,5240
2020,M,0,RJ,6111
2020,M,0,RN,2878
2020,M,0,RO,1601
2020,M,0,RR,419
2020,M,0,RS,6514
2020,M,0,SC,3077
2020,M,0,SE,1831
2020,M,0,SP,16056
2020,M,0,TO,1087
2020,M,1,AC,13478
2020,M,1,AL,33215
2020,M,1,AM,58554
2020,M,1,AP,16541
2020,M,1,BA,139769
2020,M,1,CE,125059
2020,M,1,DF,38689
2020,M,1,ES,34890
2020,M,1,GO,72815
2020,M,1,MA,80610
2020,M,1,MG,191119
2020,M,1,MS,27208
2020,M,1,MT,32357
2020,M,1,PA,107883
2020,M,1,PB,56407
2020,M,1,PE,108762
2020,M,1,PI,45726
2020,M,1,PR,80604
2020,M,1,RJ,128572
2020,M,1,RN,44743
2020,M,1,RO,20576
2020,M,1,RR,5518
2020,M,1,RS,80770
2020,M,1,SC,39993
2020,M,1,SE,29461
2020,M,1,SP,313389
2020,M,1,TO,20110
2020,M,2,AC,2158
2020,M,2,AL,4945
2020,M,2,AM,6233
2020,M,2,AP,1599
2020,M,2,BA,15367
2020,M,2,CE,10605
2020,M,2,DF,4707
2020,M,2,ES,4745
2020,M,2,GO,6926
2020,M,2,MA,7844
2020,M,2,MG,19964
2020,M,2,MS,4152
2020,M,2,MT,4070
2020,M,2,PA,12922
2020,M,2,PB,8316
2020,M,2,PE,12636
2020,M,2,PI,4764
2020,M,2,PR,8560
2020,M,2,RJ,14831
2020,M,2,RN,6453
2020,M,2,RO,3826
2020,M,2,RR,606
2020,M,2,RS,7336
2020,M,2,SC,3536
2020,M,2,SE,2939
2020,M,2,SP,29912
2020,M,2,TO,1811
2020,M,3,AC,455
2020,M,3,AL,847
2020,M,3,AM,1183
2020,M,3,AP,323
2020,M,3,BA,2748
2020,M,3,CE,1943
2020,M,3,DF,1148
2020,M,3,ES,991
2020,M,3,GO,1666
2020,M,3,MA,1493
2020,M,3,MG,4215
2020,M,3,MS,874
2020,M,3,MT,865
2020,M,3,PA,2011
2020,M,3,PB,1528
2020,M,3,PE,2397
2020,M,3,PI,861
2020,M,3,PR,1892
2020,M,3,RJ,3151
2020,M,3,RN,1105
2020,M,3,RO,700
2020,M,3,RR,154
2020,M,3,RS,2009
2020,M,3,SC,872
2020,M,3,SE,623
2020,M,3,SP,7267
2020,M,3,TO,395
2020,M,4,AC,16
2020,M,4,AL,29
2020,M,4,AM,40
2020,M,4,AP,12
2020,M,4,BA,97
2020,M,4,CE,70
2020,M,4,DF,26
2020,M,4,ES,20
2020,M,4,GO,53
