NU_ANO,TP_FAIXA_ETARIA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,3,0,AL,392
2019,3,0,AM,391
2019,3,0,AP,121
2019,3,0,BA,1550
2019,3,0,CE,1766
2019,3,0,DF,365
2019,3,0,ES,372
2019,3,0,GO,905
2019,3,0,MA,967
2019,3,0,MG,1694
2019,3,0,MS,292
2019,3,0,MT,415
2019,3,0,PA,905
2019,3,0,PB,500
2019,3,0,PE,1096
2019,3,0,PI,531
2019,3,0,PR,780
2019,3,0,RJ,971
2019,3,0,RN,349
2019,3,0,RO,222
2019,3,0,RR,69
2019,3,0,RS,1142
2019,3,0,SC,777
2019,3,0,SE,312
2019,3,0,SP,3018
2019,3,0,TO,206
2019,3,1,AC,4635
2019,3,1,AL,12914
2019,3,1,AM,17491
2019,3,1,AP,4878
2019,3,1,BA,54461
2019,3,1,CE,58737
2019,3,1,DF,15368
2019,3,1,ES,17572
2019,3,1,GO,31298
2019,3,1,MA,32350
2019,3,1,MG,92274
2019,3,1,MS,10424
2019,3,1,MT,14704
2019,3,1,PA,34857
2019,3,1,PB,19286
2019,3,1,PE,45078
2019,3,1,PI,18086
2019,3,1,PR,35803
2019,3,1,RJ,59657
2019,3,1,RN,15509
2019,3,1,RO,8602
2019,3,1,RR,2100
2019,3,1,RS,40265
2019,3,1,SC,26568
2019,3,1,SE,10198
2019,3,1,SP,143325
2019,3,1,TO,7455
2019,3,2,AC,55
2019,3,2,AL,125
2019,3,2,AM,76
2019,3,2,AP,19
2019,3,2,BA,307
2019,3,2,CE,369
2019,3,2,DF,58
2019,3,2,ES,122
2019,3,2,GO,246
2019,3,2,MA,233
2019,3,2,MG,502
2019,3,2,MS,109
2019,3,2,MT,130
2019,3,2,PA,163
2019,3,2,PB,195
2019,3,2,PE,319
2019,3,2,PI,126
2019,3,2,PR,300
2019,3,2,RJ,239
2019,3,2,RN,102
2019,3,2,RO,139
2019,3,2,RR,7
2019,3,2,RS,231
2019,3,2,SC,239
2019,3,2,SE,57
2019,3,2,SP,853
2019,3,2,TO,71
2019,3,3,AC,29
2019,3,3,AL,59
2019,3,3,AM,101
2019,3,3,AP,38
2019,3,3,BA,242
2019,3,3,CE,237
2019,3,3,DF,116
2019,3,3,ES,89
2019,3,3,GO,189
2019,3,3,MA,190
2019,3,3,MG,435
2019,3,3,MS,53
2019,3,3,MT,88
2019,3,3,PA,157
2019,3,3,PB,76
2019,3,3,PE,215
2019,3,3,PI,75
2019,3,3,PR,207
2019,3,3,RJ,378
2019,3,3,RN,53
2019,3,3,RO,47
2019,3,3,RR,21
2019,3,3,RS,263
2019,3,3,SC,174
2019,3,3,SE,49
2019,3,3,SP,838
2019,3,3,TO,64
2019,3,4,AC,1
2019,3,4,AL,2
2019,3,4,AM,2
2019,3,4,AP,2
2019,3,4,BA,4
2019,3,4,CE,10
2019,3,4,ES,1
2019,3,4,GO,2
2019,3,4,MA,8
2019,3,4,MG,7
2019,3,4,MS,3
2019,3,4,MT,3
2019,3,4,PA,6
2019,3,4,PE,5
2019,3,4,PR,5
2019,3,4,RJ,8
2019,3,4,RO,2
2019,3,4,RS,8
