NU_ANO,TP_SEXO,Q025,SG_UF_PROVA,QTD
2019,F,A,AC,11910
2019,F,A,AL,15727
2019,F,A,AM,32923
2019,F,A,AP,13010
2019,F,A,BA,64596
2019,F,A,CE,55707
2019,F,A,DF,9440
2019,F,A,ES,9337
2019,F,A,GO,19942
2019,F,A,MA,65783
2019,F,A,MG,56776
2019,F,A,MS,9867
2019,F,A,MT,13410
2019,F,A,PA,88471
2019,F,A,PB,21230
2019,F,A,PE,34253
2019,F,A,PI,32151
2019,F,A,PR,14666
2019,F,A,RJ,30292
2019,F,A,RN,16387
2019,F,A,RO,10386
2019,F,A,RR,3084
2019,F,A,RS,19720
2019,F,A,SC,5542
2019,F,A,SE,16143
2019,F,A,SP,56551
2019,F,A,TO,9983
2019,F,B,AC,10917
2019,F,B,AL,38335
2019,F,B,AM,35590
2019,F,B,AP,11962
2019,F,B,BA,184257
2019,F,B,CE,108491
2019,F,B,DF,47148
2019,F,B,ES,51016
2019,F,B,GO,81890
2019,F,B,MA,64984
2019,F,B,MG,266834
2019,F,B,MS,31388
2019,F,B,MT,39035
2019,F,B,PA,80205
2019,F,B,PB,63411
2019,F,B,PE,127998
2019,F,B,PI,40530
2019,F,B,PR,108839
2019,F,B,RJ,172867
2019,F,B,RN,52064
2019,F,B,RO,25360
2019,F,B,RR,4671
2019,F,B,RS,111730
2019,F,B,SC,60751
2019,F,B,SE,31154
2019,F,B,SP,425056
2019,F,B,TO,17990
2019,M,A,AC,7125
2019,M,A,AL,7926
2019,M,A,AM,21417
2019,M,A,AP,8119
2019,M,A,BA,28243
2019,M,A,CE,41026
2019,M,A,DF,4692
2019,M,A,ES,4891
2019,M,A,GO,10284
2019,M,A,MA,37511
2019,M,A,MG,26799
2019,M,A,MS,5229
2019,M,A,MT,7196
2019,M,A,PA,50563
2019,M,A,PB,12181
2019,M,A,PE,18506
2019,M,A,PI,18967
2019,M,A,PR,7745
2019,M,A,RJ,14223
2019,M,A,RN,9555
2019,M,A,RO,5492
2019,M,A,RR,1663
2019,M,A,RS,9447
2019,M,A,SC,2971
2019,M,A,SE,7850
2019,M,A,SP,27886
2019,M,A,TO,5644
2019,M,B,AC,8693
2019,M,B,AL,27836
2019,M,B,AM,28214
2019,M,B,AP,9512
2019,M,B,BA,118331
2019,M,B,CE,89760
2019,M,B,DF,34569
2019,M,B,ES,37029
2019,M,B,GO,57864
2019,M,B,MA,49796
2019,M,B,MG,184216
2019,M,B,MS,23909
2019,M,B,MT,28480
2019,M,B,PA,60354
2019,M,B,PB,50354
2019,M,B,PE,94560
2019,M,B,PI,30664
2019,M,B,PR,80056
2019,M,B,RJ,122334
2019,M,B,RN,41313
2019,M,B,RO,17401
2019,M,B,RR,3538
2019,M,B,RS,77572
2019,M,B,SC,41435
2019,M,B,SE,23341
2019,M,B,SP,306497
2019,M,B,TO,12632
2020,F,A,AC,10779
2020,F,A,AL,13366
2020,F,A,AM,37466
2020,F,A,AP,10929
2020,F,A,BA,58195
2020,F,A,CE,48244
2020,F,A,DF,9605
2020,F,A,ES,7713
2020,F,A,GO,20555
2020,F,A,MA,58094
