NU_ANO,TP_FAIXA_ETARIA,Q024,SG_UF_PROVA,QTD
2019,1,A,AC,788
2019,1,A,AL,2141
2019,1,A,AM,2110
2019,1,A,AP,1046
2019,1,A,BA,11682
2019,1,A,CE,14158
2019,1,A,DF,649
2019,1,A,ES,1051
2019,1,A,GO,6228
2019,1,A,MA,11042
2019,1,A,MG,10126
2019,1,A,MS,1536
2019,1,A,MT,2299
2019,1,A,PA,9743
2019,1,A,PB,5167
2019,1,A,PE,11644
2019,1,A,PI,5988
2019,1,A,PR,3559
2019,1,A,RJ,3507
2019,1,A,RN,1968
2019,1,A,RO,1034
2019,1,A,RR,308
2019,1,A,RS,1851
2019,1,A,SC,1325
2019,1,A,SE,3242
2019,1,A,SP,9588
2019,1,A,TO,1954
2019,1,B,AC,820
2019,1,B,AL,2460
2019,1,B,AM,1998
2019,1,B,AP,907
2019,1,B,BA,12583
2019,1,B,CE,9259
2019,1,B,DF,2361
2019,1,B,ES,2985
2019,1,B,GO,10079
2019,1,B,MA,5583
2019,1,B,MG,22330
2019,1,B,MS,3286
2019,1,B,MT,4011
2019,1,B,PA,7407
2019,1,B,PB,5575
2019,1,B,PE,11260
2019,1,B,PI,4050
2019,1,B,PR,10507
2019,1,B,RJ,10177
2019,1,B,RN,2586
2019,1,B,RO,1599
2019,1,B,RR,408
2019,1,B,RS,6088
2019,1,B,SC,5030
2019,1,B,SE,3028
2019,1,B,SP,37362
2019,1,B,TO,1978
2019,1,C,AC,200
2019,1,C,AL,659
2019,1,C,AM,600
2019,1,C,AP,281
2019,1,C,BA,2507
2019,1,C,CE,2145
2019,1,C,DF,1319
2019,1,C,ES,1100
2019,1,C,GO,2443
2019,1,C,MA,1007
2019,1,C,MG,6287
2019,1,C,MS,1107
2019,1,C,MT,1103
2019,1,C,PA,1648
2019,1,C,PB,1476
2019,1,C,PE,2563
2019,1,C,PI,870
2019,1,C,PR,4021
2019,1,C,RJ,3913
2019,1,C,RN,874
2019,1,C,RO,426
2019,1,C,RR,139
2019,1,C,RS,2213
2019,1,C,SC,2148
2019,1,C,SE,727
2019,1,C,SP,15245
2019,1,C,TO,450
2019,1,D,AC,58
2019,1,D,AL,248
2019,1,D,AM,260
2019,1,D,AP,103
2019,1,D,BA,885
2019,1,D,CE,748
2019,1,D,DF,694
2019,1,D,ES,449
2019,1,D,GO,753
2019,1,D,MA,340
2019,1,D,MG,2146
2019,1,D,MS,329
2019,1,D,MT,397
2019,1,D,PA,577
2019,1,D,PB,531
2019,1,D,PE,1046
2019,1,D,PI,273
2019,1,D,PR,1665
2019,1,D,RJ,1691
2019,1,D,RN,324
2019,1,D,RO,129
2019,1,D,RR,64
2019,1,D,RS,794
2019,1,D,SC,812
2019,1,D,SE,262
2019,1,D,SP,6189
2019,1,D,TO,174
2019,1,E,AC,13
2019,1,E,AL,94
2019,1,E,AM,101
2019,1,E,AP,42
2019,1,E,BA,321
2019,1,E,CE,341
2019,1,E,DF,393
2019,1,E,ES,166
2019,1,E,GO,336
2019,1,E,MA,126
2019,1,E,MG,931
2019,1,E,MS,135
2019,1,E,MT,142
2019,1,E,PA,200
2019,1,E,PB,225
2019,1,E,PE,464
2019,1,E,PI,85
2019,1,E,PR,739
2019,1,E,RJ,771
2019,1,E,RN,135
2019,1,E,RO,46
2019,1,E,RR,30
2019,1,E,RS,308
2019,1,E,SC,336
2019,1,E,SE,103
2019,1,E,SP,3160
2019,1,E,TO,55
2019,2,A,AC,2357
2019,2,A,AL,6232
2019,2,A,AM,7792
2019,2,A,AP,2618
2019,2,A,BA,25699
2019,2,A,CE,36028
2019,2,A,DF,3094
2019,2,A,ES,4831
2019,2,A,GO,12958
2019,2,A,MA,21556
2019,2,A,MG,27432
2019,2,A,MS,4802
2019,2,A,MT,6073
2019,2,A,PA,19226
2019,2,A,PB,9773
2019,2,A,PE,23960
2019,2,A,PI,10511
2019,2,A,PR,14672
2019,2,A,RJ,13399
2019,2,A,RN,5792
2019,2,A,RO,2749
2019,2,A,RR,766
2019,2,A,RS,7010
2019,2,A,SC,5386
2019,2,A,SE,5427
2019,2,A,SP,62456
2019,2,A,TO,4210
2019,2,B,AC,1176
2019,2,B,AL,3893
2019,2,B,AM,4303
2019,2,B,AP,1220
2019,2,B,BA,19102
2019,2,B,CE,13665
2019,2,B,DF,6458
2019,2,B,ES,7489
2019,2,B,GO,14767
2019,2,B,MA,6599
2019,2,B,MG,42517
2019,2,B,MS,5406
2019,2,B,MT,7090
2019,2,B,PA,8666
2019,2,B,PB,6438
2019,2,B,PE,15369
2019,2,B,PI,4811
2019,2,B,PR,25205
2019,2,B,RJ,23882
2019,2,B,RN,5106
2019,2,B,RO,2854
2019,2,B,RR,657
2019,2,B,RS,15753
2019,2,B,SC,12885
2019,2,B,SE,3244
2019,2,B,SP,115424
2019,2,B,TO,2627
2019,2,C,AC,205
2019,2,C,AL,654
2019,2,C,AM,755
2019,2,C,AP,216
2019,2,C,BA,2882
2019,2,C,CE,2358
2019,2,C,DF,2283
2019,2,C,ES,1679
2019,2,C,GO,2724
2019,2,C,MA,917
2019,2,C,MG,8579
2019,2,C,MS,1149
2019,2,C,MT,1308
2019,2,C,PA,1557
2019,2,C,PB,1132
2019,2,C,PE,2579
2019,2,C,PI,750
2019,2,C,PR,6557
2019,2,C,RJ,6509
2019,2,C,RN,1034
2019,2,C,RO,509
2019,2,C,RR,174
2019,2,C,RS,4368
2019,2,C,SC,3788
2019,2,C,SE,606
2019,2,C,SP,27914
2019,2,C,TO,413
2019,2,D,AC,57
2019,2,D,AL,202
2019,2,D,AM,240
2019,2,D,AP,72
2019,2,D,BA,905
2019,2,D,CE,832
2019,2,D,DF,1099
2019,2,D,ES,521
2019,2,D,GO,754
2019,2,D,MA,249
2019,2,D,MG,2704
2019,2,D,MS,354
2019,2,D,MT,396
2019,2,D,PA,457
2019,2,D,PB,374
2019,2,D,PE,858
2019,2,D,PI,228
2019,2,D,PR,2151
2019,2,D,RJ,2524
2019,2,D,RN,364
2019,2,D,RO,134
2019,2,D,RR,64
2019,2,D,RS,1407
2019,2,D,SC,1217
2019,2,D,SE,205
2019,2,D,SP,9431
2019,2,D,TO,105
2019,2,E,AC,13
2019,2,E,AL,84
2019,2,E,AM,110
2019,2,E,AP,23
2019,2,E,BA,368
2019,2,E,CE,301
2019,2,E,DF,540
2019,2,E,ES,196
2019,2,E,GO,271
2019,2,E,MA,83
2019,2,E,MG,1136
2019,2,E,MS,114
2019,2,E,MT,126
2019,2,E,PA,168
2019,2,E,PB,167
2019,2,E,PE,402
2019,2,E,PI,85
2019,2,E,PR,868
2019,2,E,RJ,1237
2019,2,E,RN,167
2019,2,E,RO,43
2019,2,E,RR,34
2019,2,E,RS,674
2019,2,E,SC,527
2019,2,E,SE,79
2019,2,E,SP,4498
2019,2,E,TO,52
2019,3,A,AC,3417
2019,3,A,AL,8706
2019,3,A,AM,11928
2019,3,A,AP,3507
2019,3,A,BA,32537
2019,3,A,CE,44214
2019,3,A,DF,4895
2019,3,A,ES,6969
2019,3,A,GO,15319
2019,3,A,MA,25727
2019,3,A,MG,34685
2019,3,A,MS,4900
2019,3,A,MT,7142
2019,3,A,PA,25432
2019,3,A,PB,12214
2019,3,A,PE,28399
2019,3,A,PI,12722
2019,3,A,PR,12035
2019,3,A,RJ,21939
2019,3,A,RN,8408
2019,3,A,RO,4673
2019,3,A,RR,1173
2019,3,A,RS,12583
2019,3,A,SC,7967
2019,3,A,SE,6877
2019,3,A,SP,44561
2019,3,A,TO,4639
2019,3,B,AC,1292
2019,3,B,AL,4091
2019,3,B,AM,5118
2019,3,B,AP,1266
2019,3,B,BA,20592
2019,3,B,CE,14274
2019,3,B,DF,7626
2019,3,B,ES,8978
2019,3,B,GO,14436
2019,3,B,MA,6963
2019,3,B,MG,48386
2019,3,B,MS,4835
2019,3,B,MT,6896
2019,3,B,PA,9042
2019,3,B,PB,6540
2019,3,B,PE,15382
2019,3,B,PI,5159
2019,3,B,PR,19058
2019,3,B,RJ,29409
2019,3,B,RN,6300
2019,3,B,RO,3708
2019,3,B,RR,803
2019,3,B,RS,22010
2019,3,B,SC,14989
2019,3,B,SE,3159
2019,3,B,SP,76854
2019,3,B,TO,2670
2019,3,C,AC,151
2019,3,C,AL,502
2019,3,C,AM,737
2019,3,C,AP,214
2019,3,C,BA,2468
2019,3,C,CE,1878
2019,3,C,DF,2102
2019,3,C,ES,1602
2019,3,C,GO,2165
2019,3,C,MA,774
2019,3,C,MG,8371
2019,3,C,MS,822
2019,3,C,MT,972
2019,3,C,PA,1202
2019,3,C,PB,931
2019,3,C,PE,1972
2019,3,C,PI,675
2019,3,C,PR,4245
2019,3,C,RJ,6591
2019,3,C,RN,928
2019,3,C,RO,474
2019,3,C,RR,151
2019,3,C,RS,5063
2019,3,C,SC,3492
2019,3,C,SE,414
2019,3,C,SP,17880
2019,3,C,TO,362
2019,3,D,AC,35
2019,3,D,AL,138
2019,3,D,AM,193
2019,3,D,AP,54
2019,3,D,BA,727
2019,3,D,CE,518
2019,3,D,DF,816
2019,3,D,ES,449
2019,3,D,GO,535
2019,3,D,MA,208
2019,3,D,MG,2429
2019,3,D,MS,246
2019,3,D,MT,239
2019,3,D,PA,290
2019,3,D,PB,265
2019,3,D,PE,682
2019,3,D,PI,181
2019,3,D,PR,1261
2019,3,D,RJ,2234
2019,3,D,RN,270
2019,3,D,RO,118
2019,3,D,RR,49
2019,3,D,RS,1575
2019,3,D,SC,967
2019,3,D,SE,130
2019,3,D,SP,5992
2019,3,D,TO,102
2019,3,E,AC,11
2019,3,E,AL,55
2019,3,E,AM,85
2019,3,E,AP,17
2019,3,E,BA,240
2019,3,E,CE,235
2019,3,E,DF,468
2019,3,E,ES,158
2019,3,E,GO,185
2019,3,E,MA,76
2019,3,E,MG,1041
2019,3,E,MS,78
2019,3,E,MT,91
2019,3,E,PA,122
2019,3,E,PB,107
2019,3,E,PE,278
2019,3,E,PI,81
2019,3,E,PR,496
2019,3,E,RJ,1080
2019,3,E,RN,107
2019,3,E,RO,39
2019,3,E,RR,21
2019,3,E,RS,678
2019,3,E,SC,343
2019,3,E,SE,38
2019,3,E,SP,2767
2019,3,E,TO,24
2019,4,A,AC,2852
2019,4,A,AL,6948
2019,4,A,AM,8704
2019,4,A,AP,3102
2019,4,A,BA,28338
2019,4,A,CE,24928
2019,4,A,DF,3790
2019,4,A,ES,5033
2019,4,A,GO,8100
2019,4,A,MA,20511
2019,4,A,MG,23162
2019,4,A,MS,3274
2019,4,A,MT,4163
2019,4,A,PA,21619
2019,4,A,PB,9797
2019,4,A,PE,18824
2019,4,A,PI,10363
2019,4,A,PR,6764
2019,4,A,RJ,16623
2019,4,A,RN,7719
2019,4,A,RO,3293
2019,4,A,RR,826
2019,4,A,RS,8238
2019,4,A,SC,3500
2019,4,A,SE,6127
2019,4,A,SP,25568
2019,4,A,TO,3325
2019,4,B,AC,1071
2019,4,B,AL,3244
2019,4,B,AM,3617
2019,4,B,AP,1038
2019,4,B,BA,17255
2019,4,B,CE,9825
2019,4,B,DF,5310
2019,4,B,ES,6446
2019,4,B,GO,8153
2019,4,B,MA,5670
2019,4,B,MG,33077
2019,4,B,MS,2994
2019,4,B,MT,3847
2019,4,B,PA,7006
2019,4,B,PB,5287
2019,4,B,PE,10924
2019,4,B,PI,3937
2019,4,B,PR,11130
2019,4,B,RJ,21624
2019,4,B,RN,5385
2019,4,B,RO,2394
2019,4,B,RR,571
2019,4,B,RS,13562
2019,4,B,SC,6328
