NU_ANO,TP_COR_RACA,Q006,SG_UF_PROVA,QTD
2019,0,A,AC,61
2019,0,A,AL,172
2019,0,A,AM,184
2019,0,A,AP,55
2019,0,A,BA,916
2019,0,A,CE,657
2019,0,A,DF,93
2019,0,A,ES,64
2019,0,A,GO,147
2019,0,A,MA,404
2019,0,A,MG,285
2019,0,A,MS,40
2019,0,A,MT,64
2019,0,A,PA,329
2019,0,A,PB,250
2019,0,A,PE,633
2019,0,A,PI,244
2019,0,A,PR,83
2019,0,A,RJ,313
2019,0,A,RN,131
2019,0,A,RO,44
2019,0,A,RR,6
2019,0,A,RS,122
2019,0,A,SC,45
2019,0,A,SE,154
2019,0,A,SP,386
2019,0,A,TO,47
2019,0,B,AC,248
2019,0,B,AL,740
2019,0,B,AM,798
2019,0,B,AP,274
2019,0,B,BA,3342
2019,0,B,CE,3884
2019,0,B,DF,339
2019,0,B,ES,239
2019,0,B,GO,826
2019,0,B,MA,1538
2019,0,B,MG,1504
2019,0,B,MS,228
2019,0,B,MT,303
2019,0,B,PA,1518
2019,0,B,PB,962
2019,0,B,PE,2236
2019,0,B,PI,782
2019,0,B,PR,372
2019,0,B,RJ,1277
2019,0,B,RN,634
2019,0,B,RO,261
2019,0,B,RR,48
2019,0,B,RS,599
2019,0,B,SC,216
2019,0,B,SE,649
2019,0,B,SP,1360
2019,0,B,TO,223
2019,0,C,AC,169
2019,0,C,AL,472
2019,0,C,AM,749
2019,0,C,AP,185
2019,0,C,BA,2135
2019,0,C,CE,2014
2019,0,C,DF,503
2019,0,C,ES,405
2019,0,C,GO,1300
2019,0,C,MA,803
2019,0,C,MG,2434
2019,0,C,MS,364
2019,0,C,MT,441
2019,0,C,PA,1140
2019,0,C,PB,721
2019,0,C,PE,1645
2019,0,C,PI,455
2019,0,C,PR,883
2019,0,C,RJ,1899
2019,0,C,RN,491
2019,0,C,RO,335
2019,0,C,RR,58
2019,0,C,RS,1101
2019,0,C,SC,507
2019,0,C,SE,376
2019,0,C,SP,2850
2019,0,C,TO,212
2019,0,C,AC,40
2019,0,C,AL,157
2019,0,C,AM,173
2019,0,C,AP,43
2019,0,C,BA,706
2019,0,C,CE,359
2019,0,C,DF,212
2019,0,C,ES,177
2019,0,C,GO,577
2019,0,C,MA,196
2019,0,C,MG,1198
2019,0,C,MS,163
2019,0,C,MT,226
2019,0,C,PA,303
2019,0,C,PB,205
2019,0,C,PE,461
2019,0,C,PI,123
2019,0,C,PR,502
2019,0,C,RJ,831
2019,0,C,RN,190
2019,0,C,RO,115
2019,0,C,RR,18
2019,0,C,RS,594
2019,0,C,SC,340
2019,0,C,SE,119
2019,0,C,SP,1427
2019,0,C,TO,78
2019,0,D,AC,54
2019,0,D,AL,131
2019,0,D,AM,165
2019,0,D,AP,45
2019,0,D,BA,575
2019,0,D,CE,349
2019,0,D,DF,219
2019,0,D,ES,175
2019,0,D,GO,497
