NU_ANO,TP_ESTADO_CIVIL,Q022,SG_UF_PROVA,QTD
2019,0,A,AC,70
2019,0,A,AL,98
2019,0,A,AM,201
2019,0,A,AP,90
2019,0,A,BA,406
2019,0,A,CE,528
2019,0,A,DF,82
2019,0,A,ES,52
2019,0,A,GO,121
2019,0,A,MA,336
2019,0,A,MG,191
2019,0,A,MS,68
2019,0,A,MT,101
2019,0,A,PA,483
2019,0,A,PB,115
2019,0,A,PE,216
2019,0,A,PI,141
2019,0,A,PR,116
2019,0,A,RJ,192
2019,0,A,RN,79
2019,0,A,RO,62
2019,0,A,RR,12
2019,0,A,RS,128
2019,0,A,SC,73
2019,0,A,SE,63
2019,0,A,SP,450
2019,0,A,TO,61
2019,0,B,AC,779
2019,0,B,AL,968
2019,0,B,AM,1817
2019,0,B,AP,916
2019,0,B,BA,4515
2019,0,B,CE,3976
2019,0,B,DF,754
2019,0,B,ES,651
2019,0,B,GO,1331
2019,0,B,MA,2655
2019,0,B,MG,3087
2019,0,B,MS,964
2019,0,B,MT,948
2019,0,B,PA,5326
2019,0,B,PB,1490
2019,0,B,PE,2271
2019,0,B,PI,1567
2019,0,B,PR,1755
2019,0,B,RJ,2077
2019,0,B,RN,1216
2019,0,B,RO,896
2019,0,B,RR,163
2019,0,B,RS,2210
2019,0,B,SC,1102
2019,0,B,SE,864
2019,0,B,SP,4811
2019,0,B,TO,558
2019,0,C,AC,927
2019,0,C,AL,1357
2019,0,C,AM,2433
2019,0,C,AP,1175
2019,0,C,BA,7097
2019,0,C,CE,4030
2019,0,C,DF,1733
2019,0,C,ES,1560
2019,0,C,GO,2837
2019,0,C,MA,3271
2019,0,C,MG,6842
2019,0,C,MS,1740
2019,0,C,MT,2183
2019,0,C,PA,6233
2019,0,C,PB,2508
2019,0,C,PE,3734
2019,0,C,PI,1919
2019,0,C,PR,4336
2019,0,C,RJ,4497
2019,0,C,RN,2480
2019,0,C,RO,1520
2019,0,C,RR,263
2019,0,C,RS,6288
2019,0,C,SC,2756
2019,0,C,SE,1439
2019,0,C,SP,10723
2019,0,C,TO,946
2019,0,D,AC,374
2019,0,D,AL,591
2019,0,D,AM,955
2019,0,D,AP,529
2019,0,D,BA,3184
2019,0,D,CE,1883
2019,0,D,DF,855
2019,0,D,ES,707
2019,0,D,GO,1437
2019,0,D,MA,1456
2019,0,D,MG,3514
2019,0,D,MS,688
2019,0,D,MT,861
2019,0,D,PA,2314
2019,0,D,PB,972
2019,0,D,PE,1930
2019,0,D,PI,814
2019,0,D,PR,1907
2019,0,D,RJ,2144
2019,0,D,RN,1019
2019,0,D,RO,533
2019,0,D,RR,129
2019,0,D,RS,2508
2019,0,D,SC,1238
2019,0,D,SE,607
2019,0,D,SP,6518
2019,0,D,TO,375
2019,0,E,AC,192
2019,0,E,AL,321
2019,0,E,AM,624
2019,0,E,AP,265
2019,0,E,BA,1624
2019,0,E,CE,1196
2019,0,E,DF,747
2019,0,E,ES,482
2019,0,E,GO,981
2019,0,E,MA,791
2019,0,E,MG,2435
2019,0,E,MS,379
2019,0,E,MT,525
2019,0,E,PA,1382
2019,0,E,PB,573
2019,0,E,PE,1264
2019,0,E,PI,484
