NU_ANO,TP_ESCOLA,Q024,SG_UF_PROVA,QTD
2019,1,A,AC,21146
2019,1,A,AL,38987
2019,1,A,AM,54552
2019,1,A,AP,23354
2019,1,A,BA,161356
2019,1,A,CE,97353
2019,1,A,DF,21961
2019,1,A,ES,25264
2019,1,A,GO,50565
2019,1,A,MA,112266
2019,1,A,MG,128982
2019,1,A,MS,22031
2019,1,A,MT,27435
2019,1,A,PA,149209
2019,1,A,PB,58852
2019,1,A,PE,103584
2019,1,A,PI,57391
2019,1,A,PR,40279
2019,1,A,RJ,79844
2019,1,A,RN,45625
2019,1,A,RO,22016
2019,1,A,RR,5106
2019,1,A,RS,49281
2019,1,A,SC,18492
2019,1,A,SE,35016
2019,1,A,SP,155412
2019,1,A,TO,19014
2019,1,B,AC,9127
2019,1,B,AL,25027
2019,1,B,AM,27927
2019,1,B,AP,9194
2019,1,B,BA,124727
2019,1,B,CE,66586
2019,1,B,DF,33205
2019,1,B,ES,38470
2019,1,B,GO,57604
2019,1,B,MA,45369
2019,1,B,MG,213173
2019,1,B,MS,22563
2019,1,B,MT,30380
2019,1,B,PA,60032
2019,1,B,PB,46467
2019,1,B,PE,82760
2019,1,B,PI,29988
2019,1,B,PR,74786
2019,1,B,RJ,122595
2019,1,B,RN,39715
2019,1,B,RO,19121
2019,1,B,RR,3770
2019,1,B,RS,84122
2019,1,B,SC,35890
2019,1,B,SE,21809
2019,1,B,SP,281724
2019,1,B,TO,12892
2019,1,C,AC,954
2019,1,C,AL,2985
2019,1,C,AM,3560
2019,1,C,AP,1245
2019,1,C,BA,12817
2019,1,C,CE,9571
2019,1,C,DF,8424
2019,1,C,ES,6412
2019,1,C,GO,9102
2019,1,C,MA,4913
2019,1,C,MG,36490
2019,1,C,MS,3728
2019,1,C,MT,4736
2019,1,C,PA,7024
2019,1,C,PB,6403
2019,1,C,PE,11072
2019,1,C,PI,3797
2019,1,C,PR,16782
2019,1,C,RJ,24693
2019,1,C,RN,5882
2019,1,C,RO,2257
2019,1,C,RR,689
2019,1,C,RS,16999
2019,1,C,SC,8598
2019,1,C,SE,2842
2019,1,C,SP,60083
2019,1,C,TO,1736
2019,1,D,AC,243
2019,1,D,AL,827
2019,1,D,AM,904
2019,1,D,AP,342
2019,1,D,BA,3363
2019,1,D,CE,2594
2019,1,D,DF,3284
2019,1,D,ES,1789
2019,1,D,GO,2324
2019,1,D,MA,1172
2019,1,D,MG,10084
2019,1,D,MS,1021
2019,1,D,MT,1217
