NU_ANO,TP_ESCOLA,Q025,SG_UF_PROVA,QTD
2019,1,A,AC,15477
2019,1,A,AL,17485
2019,1,A,AM,39385
2019,1,A,AP,17011
2019,1,A,BA,69347
2019,1,A,CE,43978
2019,1,A,DF,10972
2019,1,A,ES,9746
2019,1,A,GO,21575
2019,1,A,MA,73796
2019,1,A,MG,60981
2019,1,A,MS,10832
2019,1,A,MT,14966
2019,1,A,PA,107777
2019,1,A,PB,24770
2019,1,A,PE,36641
2019,1,A,PI,37443
2019,1,A,PR,14695
2019,1,A,RJ,31848
2019,1,A,RN,19990
2019,1,A,RO,11825
2019,1,A,RR,3618
2019,1,A,RS,21673
2019,1,A,SC,5682
2019,1,A,SE,18008
2019,1,A,SP,57837
2019,1,A,TO,11136
2019,1,B,AC,16056
2019,1,B,AL,50646
2019,1,B,AM,47903
2019,1,B,AP,17240
2019,1,B,BA,234003
2019,1,B,CE,133180
2019,1,B,DF,57627
2019,1,B,ES,62804
2019,1,B,GO,98863
2019,1,B,MA,90293
2019,1,B,MG,331884
2019,1,B,MS,38845
2019,1,B,MT,49222
2019,1,B,PA,110753
2019,1,B,PB,89393
2019,1,B,PE,165438
2019,1,B,PI,55068
2019,1,B,PR,124285
2019,1,B,RJ,206526
2019,1,B,RN,73506
2019,1,B,RO,32194
2019,1,B,RR,6269
2019,1,B,RS,135155
2019,1,B,SC,60726
2019,1,B,SE,42736
2019,1,B,SP,467073
2019,1,B,TO,23128
2019,2,A,AC,3520
2019,2,A,AL,5969
2019,2,A,AM,14827
2019,2,A,AP,4058
2019,2,A,BA,23016
2019,2,A,CE,52368
2019,2,A,DF,3039
2019,2,A,ES,4413
2019,2,A,GO,8419
2019,2,A,MA,29078
2019,2,A,MG,22291
2019,2,A,MS,4182
2019,2,A,MT,5547
2019,2,A,PA,30332
2019,2,A,PB,8409
2019,2,A,PE,15796
2019,2,A,PI,13341
2019,2,A,PR,7576
2019,2,A,RJ,11958
2019,2,A,RN,5771
2019,2,A,RO,4017
2019,2,A,RR,1104
2019,2,A,RS,7324
2019,2,A,SC,2761
2019,2,A,SE,5748
2019,2,A,SP,25835
2019,2,A,TO,4407
2019,2,B,AC,3210
2019,2,B,AL,11622
2019,2,B,AM,14373
2019,2,B,AP,3648
2019,2,B,BA,55769
2019,2,B,CE,56229
2019,2,B,DF,17669
2019,2,B,ES,22022
2019,2,B,GO,33917
2019,2,B,MA,21270
2019,2,B,MG,102620
2019,2,B,MS,14510
2019,2,B,MT,16130
2019,2,B,PA,23337
2019,2,B,PB,19092
2019,2,B,PE,47526
2019,2,B,PI,12483
2019,2,B,PR,53919
2019,2,B,RJ,62851
2019,2,B,RN,15952
2019,2,B,RO,10020
2019,2,B,RR,1725
2019,2,B,RS,46065
2019,2,B,SC,35606
2019,2,B,SE,8422
2019,2,B,SP,205387
2019,2,B,TO,6754
2019,3,A,AC,38
2019,3,A,AL,199
2019,3,A,AM,128
2019,3,A,AP,60
2019,3,A,BA,476
2019,3,A,CE,387
2019,3,A,DF,121
2019,3,A,ES,69
2019,3,A,GO,232
2019,3,A,MA,420
2019,3,A,MG,303
2019,3,A,MS,82
2019,3,A,MT,93
2019,3,A,PA,925
2019,3,A,PB,232
2019,3,A,PE,322
2019,3,A,PI,334
2019,3,A,PR,140
2019,3,A,RJ,709
2019,3,A,RN,181
2019,3,A,RO,36
2019,3,A,RR,25
2019,3,A,RS,170
2019,3,A,SC,70
2019,3,A,SE,237
2019,3,A,SP,765
2019,3,A,TO,84
2019,3,B,AC,344
2019,3,B,AL,3903
2019,3,B,AM,1528
2019,3,B,AP,586
2019,3,B,BA,12816
2019,3,B,CE,8842
2019,3,B,DF,6421
2019,3,B,ES,3219
2019,3,B,GO,6974
2019,3,B,MA,3217
2019,3,B,MG,16546
2019,3,B,MS,1942
2019,3,B,MT,2163
2019,3,B,PA,6469
2019,3,B,PB,5280
2019,3,B,PE,9594
2019,3,B,PI,3643
2019,3,B,PR,10691
2019,3,B,RJ,25824
2019,3,B,RN,3919
2019,3,B,RO,547
2019,3,B,RR,215
2019,3,B,RS,8082
2019,3,B,SC,5854
2019,3,B,SE,3337
2019,3,B,SP,59093
2019,3,B,TO,740
2020,1,A,AC,14640
2020,1,A,AL,16087
