NU_ANO,TP_COR_RACA,Q022,SG_UF_PROVA,QTD
2019,0,A,AC,41
2019,0,A,AL,64
2019,0,A,AM,102
2019,0,A,AP,26
2019,0,A,BA,307
2019,0,A,CE,730
2019,0,A,DF,59
2019,0,A,ES,26
2019,0,A,GO,108
2019,0,A,MA,223
2019,0,A,MG,171
2019,0,A,MS,37
2019,0,A,MT,50
2019,0,A,PA,172
2019,0,A,PB,78
2019,0,A,PE,237
2019,0,A,PI,54
2019,0,A,PR,80
2019,0,A,RJ,195
2019,0,A,RN,39
2019,0,A,RO,28
2019,0,A,RR,4
2019,0,A,RS,98
2019,0,A,SC,44
2019,0,A,SE,35
2019,0,A,SP,281
2019,0,A,TO,26
2019,0,B,AC,200
2019,0,B,AL,557
2019,0,B,AM,685
2019,0,B,AP,188
2019,0,B,BA,2458
2019,0,B,CE,2881
2019,0,B,DF,434
2019,0,B,ES,282
2019,0,B,GO,839
2019,0,B,MA,1178
2019,0,B,MG,1749
2019,0,B,MS,279
2019,0,B,MT,368
2019,0,B,PA,1351
2019,0,B,PB,678
2019,0,B,PE,1490
2019,0,B,PI,603
2019,0,B,PR,620
2019,0,B,RJ,1481
2019,0,B,RN,490
2019,0,B,RO,257
2019,0,B,RR,38
2019,0,B,RS,897
2019,0,B,SC,442
2019,0,B,SE,456
2019,0,B,SP,2020
2019,0,B,TO,194
2019,0,C,AC,230
2019,0,C,AL,651
2019,0,C,AM,777
2019,0,C,AP,268
2019,0,C,BA,3007
2019,0,C,CE,2338
2019,0,C,DF,698
2019,0,C,ES,477
2019,0,C,GO,1473
2019,0,C,MA,1151
2019,0,C,MG,3143
2019,0,C,MS,403
2019,0,C,MT,532
2019,0,C,PA,1335
2019,0,C,PB,988
2019,0,C,PE,2187
2019,0,C,PI,709
2019,0,C,PR,1059
2019,0,C,RJ,2334
2019,0,C,RN,717
2019,0,C,RO,386
2019,0,C,RR,66
2019,0,C,RS,1394
2019,0,C,SC,646
2019,0,C,SE,544
2019,0,C,SP,3196
2019,0,C,TO,240
2019,0,D,AC,165
2019,0,D,AL,490
2019,0,D,AM,519
2019,0,D,AP,162
2019,0,D,BA,2283
2019,0,D,CE,1343
2019,0,D,DF,692
2019,0,D,ES,477
2019,0,D,GO,1578
2019,0,D,MA,683
2019,0,D,MG,3297
2019,0,D,MS,362
2019,0,D,MT,495
2019,0,D,PA,899
2019,0,D,PB,693
2019,0,D,PE,1564
2019,0,D,PI,439
2019,0,D,PR,1109
2019,0,D,RJ,2226
2019,0,D,RN,541
2019,0,D,RO,261
2019,0,D,RR,48
2019,0,D,RS,1359
2019,0,D,SC,765
2019,0,D,SE,419
2019,0,D,SP,3933
2019,0,D,TO,208
2019,0,E,AC,81
2019,0,E,AL,302
2019,0,E,AM,370
2019,0,E,AP,105
2019,0,E,BA,1230
2019,0,E,CE,926
2019,0,E,DF,699
2019,0,E,ES,344
2019,0,E,GO,1140
2019,0,E,MA,337
2019,0,E,MG,2503
2019,0,E,MS,217
2019,0,E,MT,362
2019,0,E,PA,573
2019,0,E,PB,452
2019,0,E,PE,1180
2019,0,E,PI,311
2019,0,E,PR,828
2019,0,E,RJ,1567
2019,0,E,RN,336
2019,0,E,RO,159
2019,0,E,RR,40
2019,0,E,RS,734
2019,0,E,SC,462
2019,0,E,SE,276
2019,0,E,SP,3136
2019,0,E,TO,140
2019,1,A,AC,195
2019,1,A,AL,420
2019,1,A,AM,478
2019,1,A,AP,209
2019,1,A,BA,1377
2019,1,A,CE,1545
2019,1,A,DF,495
2019,1,A,ES,483
2019,1,A,GO,859
2019,1,A,MA,1201
2019,1,A,MG,2196
2019,1,A,MS,538
2019,1,A,MT,500
2019,1,A,PA,1105
2019,1,A,PB,652
2019,1,A,PE,1446
2019,1,A,PI,391
2019,1,A,PR,1440
2019,1,A,RJ,2219
2019,1,A,RN,567
2019,1,A,RO,249
2019,1,A,RR,58
2019,1,A,RS,2136
2019,1,A,SC,853
2019,1,A,SE,219
2019,1,A,SP,5310
2019,1,A,TO,201
2019,1,B,AC,1433
2019,1,B,AL,4273
2019,1,B,AM,3439
2019,1,B,AP,1659
2019,1,B,BA,12242
2019,1,B,CE,14009
2019,1,B,DF,3908
2019,1,B,ES,4625
2019,1,B,GO,7334
2019,1,B,MA,10196
2019,1,B,MG,25208
2019,1,B,MS,5148
2019,1,B,MT,4292
2019,1,B,PA,10220
2019,1,B,PB,8997
2019,1,B,PE,15002
2019,1,B,PI,4901
2019,1,B,PR,18279
2019,1,B,RJ,19965
2019,1,B,RN,8047
2019,1,B,RO,2943
2019,1,B,RR,352
2019,1,B,RS,27932
2019,1,B,SC,10933
2019,1,B,SE,2528
2019,1,B,SP,50920
2019,1,B,TO,1589
2019,1,C,AC,1972
2019,1,C,AL,6229
2019,1,C,AM,5326
2019,1,C,AP,2214
2019,1,C,BA,18192
2019,1,C,CE,18391
2019,1,C,DF,7147
2019,1,C,ES,9686
2019,1,C,GO,14996
2019,1,C,MA,12818
2019,1,C,MG,55477
2019,1,C,MS,8933
2019,1,C,MT,7256
2019,1,C,PA,13330
2019,1,C,PB,13977
2019,1,C,PE,24424
2019,1,C,PI,6730
2019,1,C,PR,37284
2019,1,C,RJ,37938
2019,1,C,RN,14210
2019,1,C,RO,4509
2019,1,C,RR,642
2019,1,C,RS,53771
2019,1,C,SC,21758
2019,1,C,SE,3861
2019,1,C,SP,108348
