NU_ANO,Q006,Q024,SG_UF_PROVA,QTD
2019,A,A,AC,2856
2019,A,A,AL,5878
2019,A,A,AM,7416
2019,A,A,AP,2521
2019,A,A,BA,24454
2019,A,A,CE,16802
2019,A,A,DF,1507
2019,A,A,ES,1868
2019,A,A,GO,2681
2019,A,A,MA,17941
2019,A,A,MG,8522
2019,A,A,MS,1342
2019,A,A,MT,1304
2019,A,A,PA,17356
2019,A,A,PB,9596
2019,A,A,PE,16202
2019,A,A,PI,11528
2019,A,A,PR,1727
2019,A,A,RJ,6656
2019,A,A,RN,5889
2019,A,A,RO,1669
2019,A,A,RR,490
2019,A,A,RS,2258
2019,A,A,SC,681
2019,A,A,SE,5300
2019,A,A,SP,8721
2019,A,A,TO,1909
2019,A,B,AC,354
2019,A,B,AL,888
2019,A,B,AM,1246
2019,A,B,AP,305
2019,A,B,BA,5214
2019,A,B,CE,2174
2019,A,B,DF,923
2019,A,B,ES,910
2019,A,B,GO,922
2019,A,B,MA,1322
2019,A,B,MG,3721
2019,A,B,MS,392
2019,A,B,MT,534
2019,A,B,PA,1707
2019,A,B,PB,1834
2019,A,B,PE,3577
2019,A,B,PI,1301
2019,A,B,PR,1159
2019,A,B,RJ,3855
2019,A,B,RN,1399
2019,A,B,RO,460
2019,A,B,RR,115
2019,A,B,RS,1491
2019,A,B,SC,501
2019,A,B,SE,829
2019,A,B,SP,6130
2019,A,B,TO,323
2019,A,C,AC,8
2019,A,C,AL,24
2019,A,C,AM,56
2019,A,C,AP,10
2019,A,C,BA,154
2019,A,C,CE,119
2019,A,C,DF,75
2019,A,C,ES,58
2019,A,C,GO,65
2019,A,C,MA,43
2019,A,C,MG,252
2019,A,C,MS,41
2019,A,C,MT,46
2019,A,C,PA,76
2019,A,C,PB,48
2019,A,C,PE,133
2019,A,C,PI,39
2019,A,C,PR,139
2019,A,C,RJ,288
2019,A,C,RN,50
2019,A,C,RO,23
2019,A,C,RR,6
2019,A,C,RS,125
2019,A,C,SC,68
2019,A,C,SE,33
2019,A,C,SP,584
2019,A,C,TO,13
2019,A,D,AC,6
2019,A,D,AM,12
2019,A,D,AP,4
2019,A,D,BA,21
2019,A,D,CE,16
2019,A,D,DF,21
2019,A,D,ES,6
2019,A,D,GO,13
2019,A,D,MA,14
2019,A,D,MG,70
2019,A,D,MT,4
2019,A,D,PA,15
2019,A,D,PB,8
2019,A,D,PE,20
2019,A,D,PI,6
2019,A,D,PR,26
2019,A,D,RJ,68
2019,A,D,RN,4
2019,A,D,RO,2
2019,A,D,RS,33
2019,A,D,SC,12
2019,A,D,SE,2
2019,A,D,SP,188
2019,A,D,TO,3
2019,A,E,AL,1
2019,A,E,AM,3
2019,A,E,BA,15
2019,A,E,CE,6
2019,A,E,DF,10
2019,A,E,ES,2
2019,A,E,GO,6
2019,A,E,MA,7
2019,A,E,MG,19
2019,A,E,MS,2
2019,A,E,PA,6
2019,A,E,PB,5
2019,A,E,PE,12
2019,A,E,PI,3
2019,A,E,PR,10
2019,A,E,RJ,31
2019,A,E,RN,1
2019,A,E,RS,20
2019,A,E,SC,9
2019,A,E,SE,4
2019,A,E,SP,87
2019,A,E,TO,1
2019,B,A,AC,12557
2019,B,A,AL,27653
2019,B,A,AM,33372
2019,B,A,AP,14583
2019,B,A,BA,109011
2019,B,A,CE,103241
2019,B,A,DF,9131
2019,B,A,ES,11508
2019,B,A,GO,21891
2019,B,A,MA,78319
2019,B,A,MG,61024
2019,B,A,MS,9340
2019,B,A,MT,10277
2019,B,A,PA,92914
2019,B,A,PB,41482
2019,B,A,PE,76731
2019,B,A,PI,41124
2019,B,A,PR,11714
2019,B,A,RJ,35469
2019,B,A,RN,29219
2019,B,A,RO,10015
2019,B,A,RR,2779
2019,B,A,RS,15480
2019,B,A,SC,4605
2019,B,A,SE,24176
2019,B,A,SP,47417
2019,B,A,TO,11157
2019,B,B,AC,2304
2019,B,B,AL,7455
2019,B,B,AM,7471
2019,B,B,AP,2419
2019,B,B,BA,38554
2019,B,B,CE,23283
2019,B,B,DF,5240
2019,B,B,ES,6338
2019,B,B,GO,8905
2019,B,B,MA,11649
2019,B,B,MG,34243
2019,B,B,MS,3244
2019,B,B,MT,3884
2019,B,B,PA,14004
2019,B,B,PB,14053
2019,B,B,PE,26562
2019,B,B,PI,9114
2019,B,B,PR,7057
2019,B,B,RJ,21018
2019,B,B,RN,11616
2019,B,B,RO,3416
2019,B,B,RR,805
2019,B,B,RS,10103
2019,B,B,SC,2996
2019,B,B,SE,6203
2019,B,B,SP,29731
2019,B,B,TO,2731
2019,B,C,AC,57
2019,B,C,AL,156
2019,B,C,AM,288
2019,B,C,AP,72
2019,B,C,BA,841
2019,B,C,CE,847
2019,B,C,DF,259
2019,B,C,ES,230
2019,B,C,GO,316
2019,B,C,MA,331
2019,B,C,MG,1295
2019,B,C,MS,131
2019,B,C,MT,122
2019,B,C,PA,427
2019,B,C,PB,398
2019,B,C,PE,736
2019,B,C,PI,251
2019,B,C,PR,378
2019,B,C,RJ,954
2019,B,C,RN,338
2019,B,C,RO,112
2019,B,C,RR,51
2019,B,C,RS,534
2019,B,C,SC,164
2019,B,C,SE,180
2019,B,C,SP,1550
2019,B,C,TO,67
2019,B,D,AC,7
2019,B,D,AL,24
2019,B,D,AM,26
2019,B,D,AP,9
2019,B,D,BA,95
2019,B,D,CE,89
2019,B,D,DF,25
2019,B,D,ES,31
2019,B,D,GO,30
2019,B,D,MA,29
2019,B,D,MG,140
2019,B,D,MS,11
2019,B,D,MT,13
2019,B,D,PA,48
2019,B,D,PB,34
2019,B,D,PE,75
2019,B,D,PI,24
2019,B,D,PR,53
2019,B,D,RJ,88
2019,B,D,RN,30
2019,B,D,RO,11
2019,B,D,RR,5
2019,B,D,RS,50
2019,B,D,SC,24
2019,B,D,SE,11
2019,B,D,SP,180
2019,B,D,TO,10
2019,B,E,AC,2
2019,B,E,AL,6
2019,B,E,AM,11
2019,B,E,AP,1
2019,B,E,BA,26
2019,B,E,CE,17
2019,B,E,DF,7
2019,B,E,ES,8
2019,B,E,GO,7
2019,B,E,MA,22
2019,B,E,MG,48
2019,B,E,MS,7
2019,B,E,MT,4
2019,B,E,PA,18
2019,B,E,PB,12
2019,B,E,PE,27
2019,B,E,PI,10
2019,B,E,PR,13
2019,B,E,RJ,36
2019,B,E,RN,8
2019,B,E,RO,3
2019,B,E,RR,2
2019,B,E,RS,17
2019,B,E,SC,9
2019,B,E,SE,4
2019,B,E,SP,55
2019,B,E,TO,1
2019,C,A,AC,7112
2019,C,A,AL,13271
2019,C,A,AM,23394
2019,C,A,AP,8271
2019,C,A,BA,54881
2019,C,A,CE,49154
2019,C,A,DF,11012
2019,C,A,ES,13206
2019,C,A,GO,26435
2019,C,A,MA,40041
2019,C,A,MG,60822
2019,C,A,MS,11588
2019,C,A,MT,13910
2019,C,A,PA,55164
2019,C,A,PB,19311
2019,C,A,PE,37116
2019,C,A,PI,17202
2019,C,A,PR,22367
2019,C,A,RJ,40983
2019,C,A,RN,15452
2019,C,A,RO,10799
2019,C,A,RR,2121
2019,C,A,RS,23995
2019,C,A,SC,9734
2019,C,A,SE,11550
2019,C,A,SP,84762
2019,C,A,TO,8025
2019,C,B,AC,3034
2019,C,B,AL,9315
2019,C,B,AM,11844
2019,C,B,AP,3195
2019,C,B,BA,47975
2019,C,B,CE,27810
2019,C,B,DF,12124
2019,C,B,ES,14570
2019,C,B,GO,21604
2019,C,B,MA,17077
2019,C,B,MG,74996
2019,C,B,MS,8423
2019,C,B,MT,10186
2019,C,B,PA,21790
2019,C,B,PB,17334
2019,C,B,PE,32020
2019,C,B,PI,10449
2019,C,B,PR,23844
2019,C,B,RJ,45403
2019,C,B,RN,13837
2019,C,B,RO,7381
2019,C,B,RR,1417
2019,C,B,RS,27523
2019,C,B,SC,11006
2019,C,B,SE,7432
2019,C,B,SP,94065
2019,C,B,TO,4590
2019,C,C,AC,139
2019,C,C,AL,405
2019,C,C,AM,701
2019,C,C,AP,151
2019,C,C,BA,1886
2019,C,C,CE,1674
2019,C,C,DF,918
2019,C,C,ES,933
2019,C,C,GO,1179
2019,C,C,MA,675
2019,C,C,MG,4662
2019,C,C,MS,424
2019,C,C,MT,475
2019,C,C,PA,1026
2019,C,C,PB,909
2019,C,C,PE,1690
2019,C,C,PI,592
2019,C,C,PR,1864
2019,C,C,RJ,3051
2019,C,C,RN,784
2019,C,C,RO,337
2019,C,C,RR,82
2019,C,C,RS,2084
2019,C,C,SC,865
2019,C,C,SE,334
2019,C,C,SP,6667
2019,C,C,TO,236
2019,C,D,AC,8
2019,C,D,AL,35
2019,C,D,AM,88
2019,C,D,AP,16
2019,C,D,BA,199
2019,C,D,CE,193
2019,C,D,DF,122
2019,C,D,ES,86
2019,C,D,GO,133
2019,C,D,MA,76
2019,C,D,MG,489
2019,C,D,MS,52
2019,C,D,MT,53
2019,C,D,PA,103
2019,C,D,PB,86
2019,C,D,PE,162
2019,C,D,PI,71
2019,C,D,PR,207
2019,C,D,RJ,354
2019,C,D,RN,80
2019,C,D,RO,35
2019,C,D,RR,17
2019,C,D,RS,275
2019,C,D,SC,109
2019,C,D,SE,38
2019,C,D,SP,780
2019,C,D,TO,16
2019,C,E,AC,3
2019,C,E,AL,5
2019,C,E,AM,22
2019,C,E,AP,4
2019,C,E,BA,43
2019,C,E,CE,60
2019,C,E,DF,18
2019,C,E,ES,18
2019,C,E,GO,25
2019,C,E,MA,23
2019,C,E,MG,136
2019,C,E,MS,11
2019,C,E,MT,10
2019,C,E,PA,28
2019,C,E,PB,28
2019,C,E,PE,35
2019,C,E,PI,12
2019,C,E,PR,33
2019,C,E,RJ,80
2019,C,E,RN,17
2019,C,E,RO,8
2019,C,E,RR,1
2019,C,E,RS,47
2019,C,E,SC,29
2019,C,E,SE,8
2019,C,E,SP,183
2019,C,E,TO,9
2019,C,A,AC,1332
2019,C,A,AL,2745
2019,C,A,AM,4491
2019,C,A,AP,1433
2019,C,A,BA,11953
2019,C,A,CE,7692
2019,C,A,DF,3215
2019,C,A,ES,4164
2019,C,A,GO,8864
2019,C,A,MA,7483
2019,C,A,MG,20232
2019,C,A,MS,3734
2019,C,A,MT,4831
2019,C,A,PA,11350
2019,C,A,PB,4045
2019,C,A,PE,8001
2019,C,A,PI,3657
2019,C,A,PR,9937
2019,C,A,RJ,13163
2019,C,A,RN,3907
2019,C,A,RO,2969
2019,C,A,RR,431
2019,C,A,RS,9699
2019,C,A,SC,5016
2019,C,A,SE,2385
2019,C,A,SP,34833
2019,C,A,TO,2066
2019,C,B,AC,1120
2019,C,B,AL,3486
2019,C,B,AM,3799
2019,C,B,AP,995
2019,C,B,BA,16089
2019,C,B,CE,8831
2019,C,B,DF,5369
2019,C,B,ES,6903
2019,C,B,GO,10716
2019,C,B,MA,5802
2019,C,B,MG,37956
2019,C,B,MS,4342
2019,C,B,MT,5534
2019,C,B,PA,8472
2019,C,B,PB,6134
2019,C,B,PE,11010
2019,C,B,PI,4003
2019,C,B,PR,16065
2019,C,B,RJ,21848
2019,C,B,RN,5365
2019,C,B,RO,2995
2019,C,B,RR,501
2019,C,B,RS,16697
2019,C,B,SC,7974
2019,C,B,SE,2877
2019,C,B,SP,56120
2019,C,B,TO,1768
2019,C,C,AC,76
2019,C,C,AL,290
2019,C,C,AM,381
2019,C,C,AP,107
2019,C,C,BA,1326
2019,C,C,CE,992
2019,C,C,DF,656
2019,C,C,ES,702
2019,C,C,GO,1007
2019,C,C,MA,445
2019,C,C,MG,3999
2019,C,C,MS,396
2019,C,C,MT,432
2019,C,C,PA,727
2019,C,C,PB,669
2019,C,C,PE,1105
2019,C,C,PI,360
2019,C,C,PR,1928
2019,C,C,RJ,2450
2019,C,C,RN,548
2019,C,C,RO,231
2019,C,C,RR,51
2019,C,C,RS,2016
2019,C,C,SC,999
2019,C,C,SE,276
2019,C,C,SP,6141
2019,C,C,TO,126
2019,C,D,AC,12
2019,C,D,AL,37
2019,C,D,AM,48
2019,C,D,AP,19
2019,C,D,BA,163
2019,C,D,CE,114
2019,C,D,DF,116
2019,C,D,ES,95
2019,C,D,GO,136
2019,C,D,MA,61
2019,C,D,MG,541
2019,C,D,MS,49
2019,C,D,MT,55
2019,C,D,PA,91
2019,C,D,PB,86
2019,C,D,PE,168
2019,C,D,PI,58
2019,C,D,PR,276
2019,C,D,RJ,400
2019,C,D,RN,68
2019,C,D,RO,31
2019,C,D,RR,4
2019,C,D,RS,279
2019,C,D,SC,149
2019,C,D,SE,35
2019,C,D,SP,896
2019,C,D,TO,16
2019,C,E,AC,1
2019,C,E,AL,9
2019,C,E,AM,13
2019,C,E,AP,2
2019,C,E,BA,27
2019,C,E,CE,27
2019,C,E,DF,19
2019,C,E,ES,18
2019,C,E,GO,15
2019,C,E,MA,5
2019,C,E,MG,113
2019,C,E,MS,10
2019,C,E,MT,10
2019,C,E,PA,12
2019,C,E,PB,17
2019,C,E,PE,28
2019,C,E,PI,12
2019,C,E,PR,56
2019,C,E,RJ,88
2019,C,E,RN,9
2019,C,E,RO,6
2019,C,E,RR,3
2019,C,E,RS,60
2019,C,E,SC,26
2019,C,E,SE,7
2019,C,E,SP,177
2019,C,E,TO,3
2019,D,A,AC,1048
2019,D,A,AL,1620
2019,D,A,AM,3500
2019,D,A,AP,1103
2019,D,A,BA,7848
2019,D,A,CE,5783
2019,D,A,DF,2386
2019,D,A,ES,3217
2019,D,A,GO,6421
2019,D,A,MA,5316
2019,D,A,MG,14950
2019,D,A,MS,2668
2019,D,A,MT,3700
2019,D,A,PA,8111
2019,D,A,PB,2681
2019,D,A,PE,5311
2019,D,A,PI,2306
2019,D,A,PR,7884
2019,D,A,RJ,9663
2019,D,A,RN,2543
2019,D,A,RO,2240
2019,D,A,RR,391
2019,D,A,RS,7522
2019,D,A,SC,4196
