NU_ANO,Q022,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2019,A,1.0,AC,198
2019,A,1.0,AL,445
2019,A,1.0,AM,1057
2019,A,1.0,AP,239
2019,A,1.0,BA,2028
2019,A,1.0,CE,7310
2019,A,1.0,DF,420
2019,A,1.0,ES,439
2019,A,1.0,GO,674
2019,A,1.0,MA,2042
2019,A,1.0,MG,1315
2019,A,1.0,MS,368
2019,A,1.0,MT,350
2019,A,1.0,PA,1774
2019,A,1.0,PB,630
2019,A,1.0,PE,1631
2019,A,1.0,PI,667
2019,A,1.0,PR,599
2019,A,1.0,RJ,1453
2019,A,1.0,RN,359
2019,A,1.0,RO,300
2019,A,1.0,RR,49
2019,A,1.0,RS,708
2019,A,1.0,SC,382
2019,A,1.0,SE,278
2019,A,1.0,SP,3214
2019,A,1.0,TO,249
2019,A,2.0,AC,30
2019,A,2.0,AL,18
2019,A,2.0,AM,186
2019,A,2.0,AP,88
2019,A,2.0,BA,226
2019,A,2.0,CE,906
2019,A,2.0,DF,15
2019,A,2.0,ES,22
2019,A,2.0,GO,27
2019,A,2.0,MA,635
2019,A,2.0,MG,125
2019,A,2.0,MS,58
2019,A,2.0,MT,72
2019,A,2.0,PA,183
2019,A,2.0,PB,45
2019,A,2.0,PE,215
2019,A,2.0,PI,92
2019,A,2.0,PR,40
2019,A,2.0,RJ,54
2019,A,2.0,RN,14
2019,A,2.0,RO,46
2019,A,2.0,RR,5
2019,A,2.0,RS,25
2019,A,2.0,SC,25
2019,A,2.0,SE,15
2019,A,2.0,SP,47
2019,A,2.0,TO,44
2019,B,1.0,AC,1352
2019,B,1.0,AL,4421
2019,B,1.0,AM,6398
2019,B,1.0,AP,1581
2019,B,1.0,BA,16506
2019,B,1.0,CE,39968
2019,B,1.0,DF,2335
2019,B,1.0,ES,2983
2019,B,1.0,GO,4984
2019,B,1.0,MA,14493
2019,B,1.0,MG,12922
2019,B,1.0,MS,2207
2019,B,1.0,MT,2397
2019,B,1.0,PA,14261
2019,B,1.0,PB,7100
2019,B,1.0,PE,14166
2019,B,1.0,PI,6978
2019,B,1.0,PR,5273
2019,B,1.0,RJ,10833
2019,B,1.0,RN,3960
2019,B,1.0,RO,2268
2019,B,1.0,RR,373
2019,B,1.0,RS,5138
2019,B,1.0,SC,3275
2019,B,1.0,SE,3450
