NU_ANO,TP_LOCALIZACAO_ESC,Q022,SG_UF_PROVA,QTD
2019,1.0,A,AC,198
2019,1.0,A,AL,445
2019,1.0,A,AM,1057
2019,1.0,A,AP,239
2019,1.0,A,BA,2028
2019,1.0,A,CE,7310
2019,1.0,A,DF,420
2019,1.0,A,ES,439
2019,1.0,A,GO,674
2019,1.0,A,MA,2042
2019,1.0,A,MG,1315
2019,1.0,A,MS,368
2019,1.0,A,MT,350
2019,1.0,A,PA,1774
2019,1.0,A,PB,630
2019,1.0,A,PE,1631
2019,1.0,A,PI,667
2019,1.0,A,PR,599
2019,1.0,A,RJ,1453
2019,1.0,A,RN,359
2019,1.0,A,RO,300
2019,1.0,A,RR,49
2019,1.0,A,RS,708
2019,1.0,A,SC,382
2019,1.0,A,SE,278
2019,1.0,A,SP,3214
2019,1.0,A,TO,249
2019,1.0,B,AC,1352
2019,1.0,B,AL,4421
2019,1.0,B,AM,6398
2019,1.0,B,AP,1581
2019,1.0,B,BA,16506
2019,1.0,B,CE,39968
2019,1.0,B,DF,2335
2019,1.0,B,ES,2983
2019,1.0,B,GO,4984
2019,1.0,B,MA,14493
2019,1.0,B,MG,12922
2019,1.0,B,MS,2207
2019,1.0,B,MT,2397
2019,1.0,B,PA,14261
2019,1.0,B,PB,7100
2019,1.0,B,PE,14166
2019,1.0,B,PI,6978
2019,1.0,B,PR,5273
2019,1.0,B,RJ,10833
2019,1.0,B,RN,3960
2019,1.0,B,RO,2268
2019,1.0,B,RR,373
2019,1.0,B,RS,5138
2019,1.0,B,SC,3275
2019,1.0,B,SE,3450
2019,1.0,B,SP,21656
2019,1.0,B,TO,1734
2019,1.0,C,AC,1567
2019,1.0,C,AL,5381
2019,1.0,C,AM,7813
2019,1.0,C,AP,1919
2019,1.0,C,BA,21305
2019,1.0,C,CE,30958
2019,1.0,C,DF,4526
2019,1.0,C,ES,6464
2019,1.0,C,GO,9967
2019,1.0,C,MA,12364
2019,1.0,C,MG,28297
2019,1.0,C,MS,4180
2019,1.0,C,MT,4513
2019,1.0,C,PA,14051
2019,1.0,C,PB,8572
2019,1.0,C,PE,18852
2019,1.0,C,PI,7673
2019,1.0,C,PR,12394
2019,1.0,C,RJ,18840
2019,1.0,C,RN,6387
2019,1.0,C,RO,3567
2019,1.0,C,RR,575
2019,1.0,C,RS,12531
2019,1.0,C,SC,8269
2019,1.0,C,SE,4592
2019,1.0,C,SP,48338
2019,1.0,C,TO,2548
2019,1.0,D,AC,1221
2019,1.0,D,AL,3811
2019,1.0,D,AM,5693
2019,1.0,D,AP,1328
2019,1.0,D,BA,17258
2019,1.0,D,CE,17261
2019,1.0,D,DF,6492
2019,1.0,D,ES,8631
2019,1.0,D,GO,11538
2019,1.0,D,MA,7413
2019,1.0,D,MG,35822
2019,1.0,D,MS,4813
2019,1.0,D,MT,5645
2019,1.0,D,PA,9117
2019,1.0,D,PB,5894
2019,1.0,D,PE,14784
2019,1.0,D,PI,4851
2019,1.0,D,PR,18768
2019,1.0,D,RJ,23326
2019,1.0,D,RN,5674
2019,1.0,D,RO,3323
2019,1.0,D,RR,597
2019,1.0,D,RS,16606
2019,1.0,D,SC,13198
2019,1.0,D,SE,3137
2019,1.0,D,SP,77778
2019,1.0,D,TO,2349
2019,1.0,E,AC,719
2019,1.0,E,AL,2331
2019,1.0,E,AM,3905
2019,1.0,E,AP,805
2019,1.0,E,BA,9039
2019,1.0,E,CE,10636
2019,1.0,E,DF,6546
2019,1.0,E,ES,5918
2019,1.0,E,GO,8111
2019,1.0,E,MA,3826
2019,1.0,E,MG,26151
2019,1.0,E,MS,3133
2019,1.0,E,MT,3781
2019,1.0,E,PA,5418
2019,1.0,E,PB,3875
2019,1.0,E,PE,9867
2019,1.0,E,PI,2908
2019,1.0,E,PR,13566
2019,1.0,E,RJ,16759
2019,1.0,E,RN,3535
2019,1.0,E,RO,2033
2019,1.0,E,RR,492
2019,1.0,E,RS,9407
2019,1.0,E,SC,8946
2019,1.0,E,SE,1855
2019,1.0,E,SP,65839
2019,1.0,E,TO,1484
2019,2.0,A,AC,30
2019,2.0,A,AL,18
2019,2.0,A,AM,186
2019,2.0,A,AP,88
2019,2.0,A,BA,226
2019,2.0,A,CE,906
2019,2.0,A,DF,15
2019,2.0,A,ES,22
2019,2.0,A,GO,27
2019,2.0,A,MA,635
2019,2.0,A,MG,125
2019,2.0,A,MS,58
2019,2.0,A,MT,72
2019,2.0,A,PA,183
2019,2.0,A,PB,45
2019,2.0,A,PE,215
2019,2.0,A,PI,92
2019,2.0,A,PR,40
2019,2.0,A,RJ,54
2019,2.0,A,RN,14
2019,2.0,A,RO,46
2019,2.0,A,RR,5
2019,2.0,A,RS,25
2019,2.0,A,SC,25
2019,2.0,A,SE,15
2019,2.0,A,SP,47
2019,2.0,A,TO,44
2019,2.0,B,AC,176
2019,2.0,B,AL,264
2019,2.0,B,AM,548
2019,2.0,B,AP,148
2019,2.0,B,BA,1507
2019,2.0,B,CE,2725
2019,2.0,B,DF,85
2019,2.0,B,ES,197
2019,2.0,B,GO,165
2019,2.0,B,MA,1550
2019,2.0,B,MG,762
2019,2.0,B,MS,266
2019,2.0,B,MT,340
2019,2.0,B,PA,920
2019,2.0,B,PB,325
2019,2.0,B,PE,810
2019,2.0,B,PI,529
2019,2.0,B,PR,548
2019,2.0,B,RJ,364
2019,2.0,B,RN,159
2019,2.0,B,RO,134
2019,2.0,B,RR,32
2019,2.0,B,RS,284
2019,2.0,B,SC,173
2019,2.0,B,SE,285
2019,2.0,B,SP,388
2019,2.0,B,TO,174
2019,2.0,C,AC,107
2019,2.0,C,AL,282
2019,2.0,C,AM,153
2019,2.0,C,AP,90
2019,2.0,C,BA,1197
2019,2.0,C,CE,1397
2019,2.0,C,DF,136
2019,2.0,C,ES,250
2019,2.0,C,GO,223
2019,2.0,C,MA,753
2019,2.0,C,MG,805
2019,2.0,C,MS,236
2019,2.0,C,MT,362
2019,2.0,C,PA,397
2019,2.0,C,PB,290
2019,2.0,C,PE,851
2019,2.0,C,PI,203
2019,2.0,C,PR,566
2019,2.0,C,RJ,586
2019,2.0,C,RN,222
2019,2.0,C,RO,157
2019,2.0,C,RR,44
2019,2.0,C,RS,504
2019,2.0,C,SC,276
2019,2.0,C,SE,263
2019,2.0,C,SP,741
2019,2.0,C,TO,137
2019,2.0,D,AC,41
2019,2.0,D,AL,125
2019,2.0,D,AM,73
2019,2.0,D,AP,39
2019,2.0,D,BA,705
2019,2.0,D,CE,478
2019,2.0,D,DF,115
2019,2.0,D,ES,291
2019,2.0,D,GO,232
2019,2.0,D,MA,353
2019,2.0,D,MG,853
2019,2.0,D,MS,167
2019,2.0,D,MT,370
2019,2.0,D,PA,201
2019,2.0,D,PB,158
2019,2.0,D,PE,547
2019,2.0,D,PI,79
2019,2.0,D,PR,491
2019,2.0,D,RJ,622
2019,2.0,D,RN,194
2019,2.0,D,RO,118
2019,2.0,D,RR,25
2019,2.0,D,RS,613
2019,2.0,D,SC,301
2019,2.0,D,SE,157
2019,2.0,D,SP,1044
2019,2.0,D,TO,104
2019,2.0,E,AC,21
2019,2.0,E,AL,49
2019,2.0,E,AM,37
2019,2.0,E,AP,27
2019,2.0,E,BA,281
2019,2.0,E,CE,210
2019,2.0,E,DF,71
2019,2.0,E,ES,182
2019,2.0,E,GO,181
2019,2.0,E,MA,158
2019,2.0,E,MG,562
2019,2.0,E,MS,78
2019,2.0,E,MT,178
2019,2.0,E,PA,81
2019,2.0,E,PB,76
2019,2.0,E,PE,297
2019,2.0,E,PI,34
