NU_ANO,TP_COR_RACA,Q024,SG_UF_PROVA,QTD
2019,0,A,AC,461
2019,0,A,AL,1109
2019,0,A,AM,1533
2019,0,A,AP,479
2019,0,A,BA,5116
2019,0,A,CE,5706
2019,0,A,DF,682
2019,0,A,ES,537
2019,0,A,GO,2042
2019,0,A,MA,2535
2019,0,A,MG,2957
2019,0,A,MS,609
2019,0,A,MT,835
2019,0,A,PA,2818
2019,0,A,PB,1451
2019,0,A,PE,3490
2019,0,A,PI,1273
2019,0,A,PR,1197
2019,0,A,RJ,2500
2019,0,A,RN,959
2019,0,A,RO,596
2019,0,A,RR,96
2019,0,A,RS,1544
2019,0,A,SC,776
2019,0,A,SE,963
2019,0,A,SP,3767
2019,0,A,TO,445
2019,0,B,AC,197
2019,0,B,AL,791
2019,0,B,AM,748
2019,0,B,AP,193
2019,0,B,BA,3456
2019,0,B,CE,2003
2019,0,B,DF,1204
2019,0,B,ES,806
2019,0,B,GO,2418
2019,0,B,MA,868
2019,0,B,MG,5854
2019,0,B,MS,530
2019,0,B,MT,745
2019,0,B,PA,1199
2019,0,B,PB,1137
2019,0,B,PE,2491
2019,0,B,PI,673
2019,0,B,PR,1874
2019,0,B,RJ,3948
2019,0,B,RN,896
2019,0,B,RO,424
2019,0,B,RR,77
2019,0,B,RS,2280
2019,0,B,SC,1185
2019,0,B,SE,602
2019,0,B,SP,6488
2019,0,B,TO,306
2019,0,C,AC,47
2019,0,C,AL,112
2019,0,C,AM,122
2019,0,C,AP,58
2019,0,C,BA,497
2019,0,C,CE,345
2019,0,C,DF,423
2019,0,C,ES,184
2019,0,C,GO,490
2019,0,C,MA,124
2019,0,C,MG,1401
2019,0,C,MS,123
2019,0,C,MT,161
2019,0,C,PA,230
2019,0,C,PB,201
2019,0,C,PE,461
2019,0,C,PI,123
2019,0,C,PR,428
2019,0,C,RJ,925
2019,0,C,RN,189
2019,0,C,RO,63
2019,0,C,RR,12
2019,0,C,RS,480
2019,0,C,SC,287
2019,0,C,SE,111
2019,0,C,SP,1523
2019,0,C,TO,35
2019,0,D,AC,12
2019,0,D,AL,44
2019,0,D,AM,34
2019,0,D,AP,17
2019,0,D,BA,169
2019,0,D,CE,117
2019,0,D,DF,174
2019,0,D,ES,60
2019,0,D,GO,147
2019,0,D,MA,30
2019,0,D,MG,445
2019,0,D,MS,30
2019,0,D,MT,45
2019,0,D,PA,58
2019,0,D,PB,68
2019,0,D,PE,151
2019,0,D,PI,36
2019,0,D,PR,136
2019,0,D,RJ,289
2019,0,D,RN,45
2019,0,D,RO,7
2019,0,D,RR,6
2019,0,D,RS,118
2019,0,D,SC,79
2019,0,D,SE,38
2019,0,D,SP,541
2019,0,D,TO,16
2019,0,E,AL,8
2019,0,E,AM,16
2019,0,E,AP,2
2019,0,E,BA,47
2019,0,E,CE,47
2019,0,E,DF,99
2019,0,E,ES,19
2019,0,E,GO,41
2019,0,E,MA,15
2019,0,E,MG,206
2019,0,E,MS,6
2019,0,E,MT,21
2019,0,E,PA,25
2019,0,E,PB,32
2019,0,E,PE,65
2019,0,E,PI,11
2019,0,E,PR,61
2019,0,E,RJ,141
2019,0,E,RN,34
2019,0,E,RO,1
2019,0,E,RR,5
2019,0,E,RS,60
2019,0,E,SC,32
2019,0,E,SE,16
2019,0,E,SP,247
2019,0,E,TO,6
2019,1,A,AC,3220
2019,1,A,AL,9179
2019,1,A,AM,8157
2019,1,A,AP,4006
2019,1,A,BA,24816
2019,1,A,CE,28536
2019,1,A,DF,6386
2019,1,A,ES,9108
2019,1,A,GO,18066
2019,1,A,MA,23475
2019,1,A,MG,51310
2019,1,A,MS,10516
2019,1,A,MT,8528
2019,1,A,PA,23699
2019,1,A,PB,18161
2019,1,A,PE,34116
2019,1,A,PI,10873
2019,1,A,PR,35879
2019,1,A,RJ,35588
2019,1,A,RN,17793
2019,1,A,RO,5622
2019,1,A,RR,797
2019,1,A,RS,48265
2019,1,A,SC,19466
2019,1,A,SE,5620
2019,1,A,SP,107234
2019,1,A,TO,3805
2019,1,B,AC,2128
2019,1,B,AL,8161
2019,1,B,AM,6499
2019,1,B,AP,2152
2019,1,B,BA,26363
2019,1,B,CE,23705
2019,1,B,DF,14248
2019,1,B,ES,18892
2019,1,B,GO,27751
2019,1,B,MA,12731
2019,1,B,MG,111449
2019,1,B,MS,14505
2019,1,B,MT,13462
2019,1,B,PA,14410
2019,1,B,PB,17912
2019,1,B,PE,33628
2019,1,B,PI,7971
2019,1,B,PR,73295
2019,1,B,RJ,73356
2019,1,B,RN,19340
2019,1,B,RO,6518
2019,1,B,RR,949
2019,1,B,RS,91563
2019,1,B,SC,45493
2019,1,B,SE,5131
2019,1,B,SP,243515
2019,1,B,TO,3715
2019,1,C,AC,380
2019,1,C,AL,1697
2019,1,C,AM,1414
2019,1,C,AP,425
2019,1,C,BA,5239
2019,1,C,CE,5372
2019,1,C,DF,5663
2019,1,C,ES,4666
2019,1,C,GO,6257
2019,1,C,MA,2239
2019,1,C,MG,26719
2019,1,C,MS,3155
2019,1,C,MT,2934
2019,1,C,PA,2864
2019,1,C,PB,3743
2019,1,C,PE,6867
2019,1,C,PI,1643
2019,1,C,PR,19031
2019,1,C,RJ,21297
2019,1,C,RN,3809
2019,1,C,RO,1155
2019,1,C,RR,283
2019,1,C,RS,20497
2019,1,C,SC,11989
2019,1,C,SE,1229
2019,1,C,SP,66561
2019,1,C,TO,781
2019,1,D,AC,126
2019,1,D,AL,513
2019,1,D,AM,486
2019,1,D,AP,167
2019,1,D,BA,1893
2019,1,D,CE,1800
2019,1,D,DF,2691
2019,1,D,ES,1520
2019,1,D,GO,1839
2019,1,D,MA,671
2019,1,D,MG,8817
2019,1,D,MS,980
2019,1,D,MT,896
2019,1,D,PA,920
2019,1,D,PB,1236
2019,1,D,PE,2614
2019,1,D,PI,561
2019,1,D,PR,6255
2019,1,D,RJ,8011
2019,1,D,RN,1289
2019,1,D,RO,316
2019,1,D,RR,104
2019,1,D,RS,5993
2019,1,D,SC,3710
2019,1,D,SE,430
2019,1,D,SP,23660
2019,1,D,TO,273
2019,1,E,AC,32
2019,1,E,AL,235
2019,1,E,AM,230
2019,1,E,AP,73
2019,1,E,BA,742
2019,1,E,CE,791
2019,1,E,DF,1607
2019,1,E,ES,594
2019,1,E,GO,793
2019,1,E,MA,255
2019,1,E,MG,3932
2019,1,E,MS,351
2019,1,E,MT,334
2019,1,E,PA,375
2019,1,E,PB,548
2019,1,E,PE,1175
2019,1,E,PI,208
2019,1,E,PR,2522
2019,1,E,RJ,3962
2019,1,E,RN,547
2019,1,E,RO,107
2019,1,E,RR,58
2019,1,E,RS,2404
2019,1,E,SC,1438
2019,1,E,SE,187
2019,1,E,SP,11401
2019,1,E,TO,106
2019,2,A,AC,3114
2019,2,A,AL,6654
2019,2,A,AM,4035
2019,2,A,AP,4092
2019,2,A,BA,67402
2019,2,A,CE,16492
2019,2,A,DF,5610
2019,2,A,ES,7327
2019,2,A,GO,10217
2019,2,A,MA,23634
2019,2,A,MG,32985
2019,2,A,MS,2902
2019,2,A,MT,6254
2019,2,A,PA,25071
2019,2,A,PB,8553
2019,2,A,PE,20066
2019,2,A,PI,13022
2019,2,A,PR,4371
2019,2,A,RJ,28143
2019,2,A,RN,6881
2019,2,A,RO,3603
2019,2,A,RR,509
2019,2,A,RS,7511
2019,2,A,SC,2326
2019,2,A,SE,8327
2019,2,A,SP,35007
2019,2,A,TO,4668
2019,2,B,AC,1048
2019,2,B,AL,3247
2019,2,B,AM,1959
2019,2,B,AP,1405
2019,2,B,BA,41401
2019,2,B,CE,7076
2019,2,B,DF,6716
2019,2,B,ES,6920
2019,2,B,GO,8049
2019,2,B,MA,7520
2019,2,B,MG,37551
2019,2,B,MS,2308
2019,2,B,MT,4902
2019,2,B,PA,8215
2019,2,B,PB,4828
2019,2,B,PE,11482
2019,2,B,PI,5038
2019,2,B,PR,5154
2019,2,B,RJ,28173
2019,2,B,RN,4228
2019,2,B,RO,2611
2019,2,B,RR,359
2019,2,B,RS,6963
2019,2,B,SC,2309
2019,2,B,SE,3914
2019,2,B,SP,41803
2019,2,B,TO,2290
2019,2,C,AC,82
2019,2,C,AL,258
2019,2,C,AM,208
2019,2,C,AP,145
2019,2,C,BA,2733
2019,2,C,CE,654
2019,2,C,DF,1058
2019,2,C,ES,728
2019,2,C,GO,726
2019,2,C,MA,599
2019,2,C,MG,3719
2019,2,C,MS,268
2019,2,C,MT,478
2019,2,C,PA,748
2019,2,C,PB,413
2019,2,C,PE,975
2019,2,C,PI,477
2019,2,C,PR,670
2019,2,C,RJ,3189
2019,2,C,RN,425
2019,2,C,RO,194
2019,2,C,RR,54
2019,2,C,RS,803
2019,2,C,SC,353
2019,2,C,SE,339
2019,2,C,SP,4850
2019,2,C,TO,196
2019,2,D,AC,23
2019,2,D,AL,50
2019,2,D,AM,41
2019,2,D,AP,44
2019,2,D,BA,548
2019,2,D,CE,130
2019,2,D,DF,322
2019,2,D,ES,121
2019,2,D,GO,176
2019,2,D,MA,126
2019,2,D,MG,678
2019,2,D,MS,58
2019,2,D,MT,116
2019,2,D,PA,150
2019,2,D,PB,78
2019,2,D,PE,192
2019,2,D,PI,91
2019,2,D,PR,147
2019,2,D,RJ,656
2019,2,D,RN,69
2019,2,D,RO,39
2019,2,D,RR,19
2019,2,D,RS,163
2019,2,D,SC,79
2019,2,D,SE,85
2019,2,D,SP,942
2019,2,D,TO,33
2019,2,E,AC,4
2019,2,E,AL,10
2019,2,E,AM,21
2019,2,E,AP,12
2019,2,E,BA,131
2019,2,E,CE,33
2019,2,E,DF,109
2019,2,E,ES,41
2019,2,E,GO,40
2019,2,E,MA,34
2019,2,E,MG,215
2019,2,E,MS,9
2019,2,E,MT,29
2019,2,E,PA,36
2019,2,E,PB,29
2019,2,E,PE,73
2019,2,E,PI,25
2019,2,E,PR,43
2019,2,E,RJ,207
2019,2,E,RN,19
2019,2,E,RO,10
2019,2,E,RR,7
2019,2,E,RS,65
2019,2,E,SC,17
2019,2,E,SE,29
2019,2,E,SP,276
2019,2,E,TO,11
2019,3,A,AC,18214
2019,3,A,AL,33533
2019,3,A,AM,57707
2019,3,A,AP,20172
2019,3,A,BA,111717
2019,3,A,CE,132302
2019,3,A,DF,16739
2019,3,A,ES,19739
2019,3,A,GO,39985
2019,3,A,MA,102012
2019,3,A,MG,90979
2019,3,A,MS,15882
2019,3,A,MT,22002
2019,3,A,PA,137269
2019,3,A,PB,47952
2019,3,A,PE,84167
2019,3,A,PI,50710
2019,3,A,PR,22019
2019,3,A,RJ,49622
2019,3,A,RN,32558
2019,3,A,RO,19129
2019,3,A,RR,4921
2019,3,A,RS,11627
2019,3,A,SC,8122
2019,3,A,SE,30186
2019,3,A,SP,94516
2019,3,A,TO,16481
2019,3,B,AC,7154
2019,3,B,AL,17869
2019,3,B,AM,25498
2019,3,B,AP,7163
2019,3,B,BA,80278
2019,3,B,CE,53588
2019,3,B,DF,22403
2019,3,B,ES,24556
2019,3,B,GO,37457
2019,3,B,MA,32840
2019,3,B,MG,121083
2019,3,B,MS,12953
2019,3,B,MT,20477
2019,3,B,PA,47898
2019,3,B,PB,30463
2019,3,B,PE,54252
2019,3,B,PI,22278
2019,3,B,PR,27778
2019,3,B,RJ,61328
2019,3,B,RN,23483
2019,3,B,RO,14207
2019,3,B,RR,3241
2019,3,B,RS,14040
2019,3,B,SC,9606
2019,3,B,SE,16047
2019,3,B,SP,128740
2019,3,B,TO,9700
2019,3,C,AC,665
2019,3,C,AL,1639
2019,3,C,AM,2828
2019,3,C,AP,879
2019,3,C,BA,7801
2019,3,C,CE,5967
2019,3,C,DF,4526
2019,3,C,ES,3132
2019,3,C,GO,4503
2019,3,C,MA,2972
2019,3,C,MG,15773
2019,3,C,MS,1523
2019,3,C,MT,2464
2019,3,C,PA,4897
2019,3,C,PB,3247
2019,3,C,PE,5668
2019,3,C,PI,2379
2019,3,C,PR,4202
2019,3,C,RJ,8836
