SG_UF_PROVA,NO_MUNICIPIO_PROVA,PRESENCA,NU_ANO
BA,Caetité,0.7857405365674385,2019
BA,Camacan,0.7314694408322496,2019
BA,Camamu,0.7252502780867631,2019
BA,Camaçari,0.6720525119919213,2019
BA,Campo Formoso,0.7687891440501043,2019
BA,Canarana,0.7224383916990921,2019
BA,Canavieiras,0.7083333333333334,2019
BA,Candeias,0.7089983022071308,2019
BA,Cansanção,0.6844919786096256,2019
BA,Capim Grosso,0.7577060931899642,2019
BA,Caravelas,0.7294117647058823,2019
BA,Carinhanha,0.7167070217917676,2019
BA,Casa Nova,0.7253521126760564,2019
BA,Castro Alves,0.7443324937027708,2019
BA,Catu,0.7305356156819437,2019
BA,Coaraci,0.7110453648915187,2019
BA,Cocos,0.7743413516609393,2019
BA,Conceição da Feira,0.782798833819242,2019
BA,Conceição do Coité,0.7570175438596491,2019
BA,Conceição do Jacuípe,0.7339022498060512,2019
BA,Coração de Maria,0.7661388550548112,2019
BA,Cordeiros,0.7855153203342619,2019
BA,Correntina,0.7952973720608575,2019
BA,Cruz das Almas,0.7554395126196692,2019
BA,Curaçá,0.7313664596273292,2019
BA,Cândido Sales,0.7763878029710711,2019
BA,Cícero Dantas,0.8098118279569892,2019
BA,Dias d'Ávila,0.709873138444567,2019
BA,Entre Rios,0.6976744186046512,2019
BA,Esplanada,0.7237969676994067,2019
BA,Euclides da Cunha,0.6950724637681159,2019
BA,Eunápolis,0.6813153961136024,2019
BA,Feira de Santana,0.7190611119620156,2019
BA,Gandu,0.7620497209538305,2019
BA,Governador Mangabeira,0.7845010615711253,2019
BA,Guanambi,0.7639034627492131,2019
BA,Ibicaraí,0.7593220338983051,2019
BA,Ibititá,0.8149068322981367,2019
BA,Ibotirama,0.7034949267192785,2019
BA,Ilhéus,0.7148269105160027,2019
BA,Inhambupe,0.7435597189695551,2019
BA,Ipiaú,0.7596439169139466,2019
BA,Ipirá,0.7834625322997416,2019
BA,Iraquara,0.706601466992665,2019
BA,Irará,0.7542512342292924,2019
BA,Irecê,0.7580493904345108,2019
BA,Itabela,0.7029096477794793,2019
BA,Itaberaba,0.7198216735253772,2019
BA,Itabuna,0.736312984496124,2019
BA,Itajuípe,0.7405900305188199,2019
BA,Itamaraju,0.7277137659187386,2019
BA,Itambé,0.7628205128205128,2019
BA,Itanhém,0.7681159420289855,2019
BA,Itaparica,0.7010752688172043,2019
BA,Itapetinga,0.7257751937984496,2019
BA,Ituberá,0.7230419977298524,2019
BA,Jacobina,0.7369727047146402,2019
BA,Jaguaquara,0.7652329749103942,2019
BA,Jaguarari,0.7371349095966621,2019
BA,Jequié,0.7316329804299005,2019
BA,Jeremoabo,0.7793493635077794,2019
BA,Jiquiriçá,0.7588832487309645,2019
BA,João Dourado,0.7647831800262812,2019
BA,Juazeiro,0.7348871993020067,2019
