ANO,Q025,UF,QTD
2023,B,MA,132815
2023,B,MG,339346
2023,B,MS,44179
2023,B,MT,59149
2023,B,PA,175763
2023,B,PB,110598
2023,B,PE,199489
2023,B,PI,84163
2023,B,PR,161103
2023,B,RJ,261554
2023,B,RN,92378
2023,B,RO,33321
2023,B,RR,8679
2023,B,RS,153487
2023,B,SC,88820
2023,B,SE,55954
2023,B,SP,570198
2023,B,TO,28853
