ANO,Q022,UF,INSCRICOES,PARTICIPANTES
2020,C,MA,81053,37647
2020,C,MG,173728,69189
2020,C,MS,26838,9025
2020,C,MT,31291,11039
2020,C,PA,112186,50711
2020,C,PB,59044,29636
2020,C,PE,107277,49298
2020,C,PI,45943,22511
2020,C,PR,67793,25989
2020,C,RJ,116565,47052
2020,C,RN,45953,21967
2020,C,RO,24179,7423
2020,C,RR,5273,1772
2020,C,RS,80427,32622
2020,C,SC,33744,12756
2020,C,SE,31022,14995
2020,C,SP,238112,86174
2020,C,TO,19021,7500
2020,D,AC,8293,4215
2020,D,AL,21912,12582
2020,D,AM,33123,11731
2020,D,AP,9532,4332
2020,D,BA,103726,55045
2020,D,CE,63519,35376
2020,D,DF,30029,15176
2020,D,ES,31037,15710
2020,D,GO,58716,28814
2020,D,MA,47790,25346
2020,D,MG,170801,84789
2020,D,MS,21223,9773
2020,D,MT,26194,12127
2020,D,PA,64669,33497
2020,D,PB,36430,21184
2020,D,PE,76760,42119
2020,D,PI,29025,16163
2020,D,PR,71624,36652
2020,D,RJ,105455,54128
2020,D,RN,32759,18496
2020,D,RO,16177,6280
2020,D,RR,4143,1723
2020,D,RS,71491,37580
2020,D,SC,37436,19074
2020,D,SE,19816,11334
2020,D,SP,273169,131377
2020,D,TO,14578,7082
2020,E,AC,4165,2297
2020,E,AL,12066,7725
2020,E,AM,18919,7633
2020,E,AP,5242,2624
2020,E,BA,50194,29153
2020,E,CE,33425,20363
2020,E,DF,26542,15380
2020,E,ES,20486,11342
2020,E,GO,38998,21388
2020,E,MA,23981,14080
2020,E,MG,118998,64894
2020,E,MS,12987,6897
2020,E,MT,16426,8669
2020,E,PA,34252,19640
2020,E,PB,19759,12733
2020,E,PE,44505,27132
2020,E,PI,16100,9944
2020,E,PR,51603,29168
2020,E,RJ,70980,40662
2020,E,RN,18610,11572
2020,E,RO,8606,3633
2020,E,RR,2845,1371
2020,E,RS,39518,22236
2020,E,SC,24809,13464
2020,E,SE,10046,6473
2020,E,SP,216594,114584
2020,E,TO,8368,4538
2021,A,AC,691,409
2021,A,AL,1430,938
2021,A,AM,4412,1622
2021,A,AP,635,349
2021,A,BA,6010,3514
2021,A,CE,6794,3441
2021,A,DF,1158,689
2021,A,ES,850,484
2021,A,GO,2988,1487
2021,A,MA,3682,2342
2021,A,MG,3630,2149
2021,A,MS,953,544
2021,A,MT,1199,673
2021,A,PA,5125,3107
2021,A,PB,1702,1105
2021,A,PE,4354,2480
2021,A,PI,1400,929
2021,A,PR,1630,988
2021,A,RJ,4109,2412
2021,A,RN,1185,760
2021,A,RO,706,329
2021,A,RR,231,120
2021,A,RS,2112,1211
2021,A,SC,956,558
2021,A,SE,1090,701
2021,A,SP,5828,3455
2021,A,TO,752,461
2021,B,AC,4757,2538
2021,B,AL,11852,6951
2021,B,AM,23027,9126
2021,B,AP,4943,2491
2021,B,BA,56634,31639
2021,B,CE,61359,33861
2021,B,DF,9402,4756
2021,B,ES,8286,4061
2021,B,GO,20575,9065
2021,B,MA,31623,18893
2021,B,MG,39716,20548
2021,B,MS,6872,3304
2021,B,MT,9020,4325
2021,B,PA,49979,28465
2021,B,PB,22016,13375
2021,B,PE,37814,21525
2021,B,PI,17490,11105
2021,B,PR,16323,8142
2021,B,RJ,37485,19400
2021,B,RN,14445,8581
2021,B,RO,6036,2728
2021,B,RR,1400,672
2021,B,RS,22195,11465
2021,B,SC,9541,4696
2021,B,SE,11651,6952
2021,B,SP,55919,27661
2021,B,TO,5608,2923
2021,C,AC,6411,3810
2021,C,AL,18166,11712
2021,C,AM,26862,13005
2021,C,AP,6851,3873
2021,C,BA,85775,53297
2021,C,CE,72204,45373
2021,C,DF,16060,9534
2021,C,ES,17265,10013
2021,C,GO,36497,19419
2021,C,MA,41116,26352
2021,C,MG,85916,51647
2021,C,MS,11644,6559
2021,C,MT,15121,8353
2021,C,PA,59780,36883
2021,C,PB,34625,22863
2021,C,PE,61744,39858
2021,C,PI,25819,17481
2021,C,PR,34798,20584
2021,C,RJ,64446,38786
2021,C,RN,26122,17005
2021,C,RO,10378,5299
2021,C,RR,2176,1220
2021,C,RS,43734,26778
2021,C,SC,19347,11723
2021,C,SE,17780,11782
2021,C,SP,115187,69437
2021,C,TO,8769,5165
2021,D,AC,5200,3527
2021,D,AL,14894,10952
2021,D,AM,20614,11864
2021,D,AP,5390,3474
2021,D,BA,74275,53040
2021,D,CE,49489,36127
2021,D,DF,19574,13782
2021,D,ES,21324,15178
2021,D,GO,41770,28000
2021,D,MA,31722,22417
2021,D,MG,108361,76681
2021,D,MS,13010,8942
2021,D,MT,17448,11908
2021,D,PA,43150,29959
2021,D,PB,26447,19727
2021,D,PE,53253,39052
2021,D,PI,20830,15652
2021,D,PR,49547,35117
2021,D,RJ,74546,53367
2021,D,RN,23597,17606
2021,D,RO,9302,5980
2021,D,RR,2267,1468
2021,D,RS,50422,36915
2021,D,SC,29053,20891
2021,D,SE,14441,10831
2021,D,SP,173187,126186
2021,D,TO,8964,6168
2021,E,AC,3277,2434
2021,E,AL,10242,8150
2021,E,AM,14863,8943
2021,E,AP,3955,2810
2021,E,BA,43500,33303
2021,E,CE,30671,24021
2021,E,DF,21307,16244
2021,E,ES,16456,12312
2021,E,GO,35085,25873
2021,E,MA,19762,14911
2021,E,MG,90206,68272
2021,E,MS,10011,7506
2021,E,MT,13297,9772
2021,E,PA,27944,20943
2021,E,PB,17212,13730
2021,E,PE,36451,28612
2021,E,PI,14430,11494
2021,E,PR,41984,31284
2021,E,RJ,57761,43698
2021,E,RN,15470,12411
2021,E,RO,6379,4368
2021,E,RR,1982,1361
2021,E,RS,32021,24513
2021,E,SC,21868,16426
2021,E,SE,8834,7097
2021,E,SP,159832,123409
2021,E,TO,6780,5082
2022,A,AC,827,497
2022,A,AL,1837,1164
2022,A,AM,3802,1715
2022,A,AP,763,448
2022,A,BA,6843,4399
2022,A,CE,7327,4347
2022,A,DF,1482,919
2022,A,ES,1004,576
2022,A,GO,3828,2033
2022,A,MA,4317,2715
2022,A,MG,4307,2687
2022,A,MS,1174,644
2022,A,MT,1672,984
2022,A,PA,6709,4181
2022,A,PB,2068,1311
2022,A,PE,4437,2889
2022,A,PI,1631,1118
2022,A,PR,2205,1328
2022,A,RJ,5745,3441
2022,A,RN,1621,1066
2022,A,RO,842,478
2022,A,RR,311,152
2022,A,RS,2886,1635
2022,A,SC,1275,761
2022,A,SE,1356,921
2022,A,SP,8296,4996
2022,A,TO,841,489
2022,B,AC,5260,2880
2022,B,AL,13331,7945
2022,B,AM,19754,8388
2022,B,AP,5249,2876
2022,B,BA,56846,34969
2022,B,CE,57860,35551
2022,B,DF,8650,4735
2022,B,ES,7693,3991
2022,B,GO,19314,9547
2022,B,MA,32170,19926
2022,B,MG,35948,19950
2022,B,MS,7207,3514
2022,B,MT,8766,4389
2022,B,PA,54384,32420
2022,B,PB,22466,14150
2022,B,PE,36004,21681
2022,B,PI,18515,11962
2022,B,PR,15913,8357
2022,B,RJ,38947,21226
2022,B,RN,16122,9971
2022,B,RO,5437,2631
2022,B,RR,1256,581
2022,B,RS,22016,11917
2022,B,SC,9224,4772
2022,B,SE,12788,8184
2022,B,SP,54379,28608
2022,B,TO,5037,2743
2022,C,AC,7143,4400
2022,C,AL,19808,12951
2022,C,AM,23545,11831
2022,C,AP,6950,4205
2022,C,BA,82629,55161
2022,C,CE,69625,46840
2022,C,DF,14697,8989
2022,C,ES,16336,9909
2022,C,GO,33633,19729
2022,C,MA,41901,27859
2022,C,MG,76920,49338
2022,C,MS,11635,6609
2022,C,MT,15051,8568
2022,C,PA,61998,40216
2022,C,PB,33546,22742
2022,C,PE,58715,38764
2022,C,PI,26466,18277
2022,C,PR,33959,20408
2022,C,RJ,64755,40413
2022,C,RN,28007,18691
2022,C,RO,9166,5267
2022,C,RR,2206,1166
2022,C,RS,42062,26255
2022,C,SC,18501,11322
2022,C,SE,18741,13127
2022,C,SP,114911,71703
2022,C,TO,7771,4742
2022,D,AC,5717,3897
2022,D,AL,17058,12337
2022,D,AM,19414,10945
2022,D,AP,5689,3806
2022,D,BA,75254,55329
2022,D,CE,54476,40894
2022,D,DF,19599,14005
2022,D,ES,21757,15378
2022,D,GO,45153,30633
2022,D,MA,33408,23856
2022,D,MG,105560,76580
2022,D,MS,13869,9499
2022,D,MT,18946,12800
2022,D,PA,47718,33820
2022,D,PB,27283,20398
2022,D,PE,53673,39040
2022,D,PI,22475,16856
2022,D,PR,53431,37487
2022,D,RJ,80214,57757
2022,D,RN,25439,19042
2022,D,RO,9622,6447
2022,D,RR,2420,1480
2022,D,RS,52647,37854
2022,D,SC,30747,22121
2022,D,SE,15791,12054
2022,D,SP,190818,137314
2022,D,TO,8697,6006
2022,E,AC,3654,2606
2022,E,AL,11911,9028
2022,E,AM,14471,8340
2022,E,AP,4023,2917
2022,E,BA,43594,33252
2022,E,CE,37089,28755
2022,E,DF,20973,15924
2022,E,ES,16910,12513
2022,E,GO,39694,27910
2022,E,MA,21120,15777
2022,E,MG,87046,65888
2022,E,MS,10798,7855
2022,E,MT,14946,10558
2022,E,PA,31812,23808
2022,E,PB,17875,14123
2022,E,PE,36766,27987
2022,E,PI,15313,12097
2022,E,PR,44888,32466
2022,E,RJ,61229,46017
2022,E,RN,16860,13247
2022,E,RO,6902,4760
2022,E,RR,2241,1511
2022,E,RS,32684,24211
2022,E,SC,23044,16920
2022,E,SE,9636,7751
2022,E,SP,176038,130631
2022,E,TO,7094,5096
2023,A,AC,1101,650
2023,A,AL,2810,1772
2023,A,AM,4301,2043
2023,A,AP,1126,679
2023,A,BA,9033,5885
2023,A,CE,9164,5998
2023,A,DF,1974,1292
2023,A,ES,1312,820
2023,A,GO,4599,2579
2023,A,MA,5409,3491
2023,A,MG,5979,3777
2023,A,MS,1312,835
2023,A,MT,2035,1291
2023,A,PA,7353,4659
2023,A,PB,2945,1920
2023,A,PE,5643,3678
2023,A,PI,2102,1392
2023,A,PR,3034,1850
2023,A,RJ,7541,4510
2023,A,RN,2106,1467
2023,A,RO,975,595
2023,A,RR,342,212
2023,A,RS,3645,2318
2023,A,SC,1806,1074
2023,A,SE,1694,1145
2023,A,SP,11202,6968
2023,A,TO,1041,662
2023,B,AC,6181,3285
2023,B,AL,20597,11954
2023,B,AM,24970,11018
2023,B,AP,7278,3982
2023,B,BA,81839,48911
2023,B,CE,65823,43678
2023,B,DF,11564,6340
2023,B,ES,10418,5451
2023,B,GO,23055,11839
2023,B,MA,44856,27879
2023,B,MG,48821,27729
2023,B,MS,8216,4251
2023,B,MT,10227,5376
2023,B,PA,66639,39659
2023,B,PB,32107,20056
2023,B,PE,48764,29822
2023,B,PI,24222,15561
2023,B,PR,19720,10774
2023,B,RJ,52765,27170
2023,B,RN,20845,13271
2023,B,RO,6913,3608
2023,B,RR,1657,839
2023,B,RS,25482,14367
2023,B,SC,11495,5925
2023,B,SE,15935,10214
2023,B,SP,68273,36122
2023,B,TO,6199,3464
2023,C,AC,7383,4434
2023,C,AL,25405,16209
2023,C,AM,27288,13800
2023,C,AP,8965,5460
2023,C,BA,102639,67663
2023,C,CE,74567,52220
2023,C,DF,17405,10865
2023,C,ES,19293,11680
2023,C,GO,36895,22270
2023,C,MA,52757,35192
2023,C,MG,92371,59723
2023,C,MS,12542,7595
2023,C,MT,16030,9540
2023,C,PA,71483,46722
2023,C,PB,40979,27882
2023,C,PE,68887,46551
2023,C,PI,32049,22191
2023,C,PR,37914,24032
2023,C,RJ,74563,45700
2023,C,RN,32411,22414
2023,C,RO,10286,6138
2023,C,RR,2577,1492
2023,C,RS,44300,28492
2023,C,SC,20775,13177
2023,C,SE,21497,15078
2023,C,SP,127566,80683
2023,C,TO,8926,5594
2023,D,AC,5867,4064
2023,D,AL,20309,14612
2023,D,AM,21127,12174
2023,D,AP,6704,4594
2023,D,BA,84461,62194
2023,D,CE,55900,42820
2023,D,DF,20633,15148
2023,D,ES,24301,17485
2023,D,GO,45587,31542
2023,D,MA,39162,28264
2023,D,MG,118297,87158
2023,D,MS,14496,10337
2023,D,MT,19980,13905
