NU_ANO,SG_UF_PROVA,QUANTIDADE_PESSOAS,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
2019,AC,27427,450.99873846939147,484.0773398475954,502.18949939840303,482.13519159951875,542.5398330112663
2019,AL,67407,458.8186686842613,487.7594537659294,504.5057931668818,500.1023751242452,564.0687168988384
2019,AM,74579,450.91620295257377,483.94085064160157,501.45514018691586,481.3078480537417,518.3990131270197
2019,AP,29874,450.2112438910089,484.7806989355292,497.8383678114749,473.6765213898373,539.4034946776461
2019,BA,287399,464.86426118392893,495.67810048051666,510.71472238943073,500.74908333014383,564.2021718934304
2019,CE,221304,468.408992607454,499.7738897624987,513.4234121389582,517.79228165781,573.3168853703503
2019,DF,67541,492.541093557987,526.5649368531706,537.6681023378392,536.427877881583,594.8523119290505
2019,ES,72258,489.0027180381411,520.8024454039692,529.3578870159706,541.8661393894101,596.8839436463783
2019,GO,123666,478.07975110377953,508.4659930781298,522.2989972991768,523.1939514498731,585.277602574677
2019,MA,162970,450.62327176780997,479.07158372706635,496.01109590722217,483.28341044364,540.4673252745904
2019,MG,390083,492.5571562975059,523.8406036663991,533.2827003483874,547.0598726424889,605.7460591720223
2019,MS,48779,474.82563398183646,503.76641177555916,518.6349371655836,514.2229771008016,559.5206953812092
2019,MT,60265,466.9639724549905,497.3631577200697,510.42891894134243,505.21284161619513,548.3647224757322
2019,PA,206620,457.28524682992935,487.75064804955963,499.8003092633821,485.0452260187784,562.0992159519892
2019,PB,113541,468.2323909424789,498.3189173954783,511.70961502893226,510.27210258849226,581.7266009635285
2019,PE,205416,470.182338279394,500.36981101764223,515.4321936947463,517.0874464501305,569.7883319702457
2019,PI,95165,459.37401775862975,486.5088740608417,501.42086166132503,499.26133767666687,570.6270162349604
2019,PR,151155,492.6552816645165,527.1099877609076,535.5028910720783,541.6100916277993,576.6823459362905
2019,RJ,245018,491.8651548049531,526.1992686251623,537.8054269482242,539.4923005656727,606.5351933327347
2019,RN,90557,475.54338814227503,505.07748269046016,518.7855980211358,518.5461720242499,586.2994578000596
2019,RO,40736,459.2546911822467,490.14460182639436,505.96500392772975,494.7971106637864,535.3986645718775
2019,RR,8797,467.5748323292031,499.65248380129594,511.44078663180625,498.75537114925544,531.5857678754121
2019,RS,155823,486.5430918413841,526.8212965993467,536.2368623373956,539.7853943256131,588.4547210617175
2019,SC,79862,492.8049936139841,528.7327915654504,536.4402807342666,548.287237985525,590.504119606321
2019,SE,59859,468.05261531265137,497.3689403431397,510.91817270585875,506.99600394259846,593.5023973003224
2019,SP,582682,497.0630354121116,531.0858790901383,542.1864004722987,551.6273130112137,596.1414630965089
2019,TO,33126,458.9952756143211,484.51166153474617,503.00835295538246,495.4547213669021,558.4827627845198
2020,AC,18563,464.6297096374509,482.93587243441254,502.6674675429618,473.0734956634165,537.0188008403815
2020,AL,51703,471.7945206274298,489.1288126414328,505.9530162659807,492.7428911281744,566.4998162582442
2020,AM,50190,467.32415421398684,491.39312612074116,492.26884439131305,482.2427874078502,527.8593345287906
2020,AP,19568,462.19388798037613,482.33375408830744,495.3039452166803,467.3708452575633,533.0723630417008
2020,BA,207361,476.5900395927875,495.4326030449313,511.4939463062003,493.915599365358,564.1704081288188
2020,CE,157870,481.1565332235384,503.452574269969,516.2268125673022,513.7111769177171,582.1767276873377
2020,DF,52751,503.5061496464522,530.6131466702053,541.4969441337605,534.50711455707,586.9242289245701
2020,ES,46413,505.1395902010213,528.2661344881823,534.5481524572856,540.505302393726,595.4168013272143
2020,GO,89521,491.1496810804169,513.1577830900012,526.2801432066219,517.7542520749321,588.0760938774142
2020,MA,113212,462.6587163904887,480.5358751722432,496.8723085891955,475.5362735399074,545.3861781436597
2020,MG,256732,508.0080161413458,535.570596185906,542.2264606671548,550.5308975897044,614.2258853590515
2020,MS,32377,488.3534947648022,509.78517466102477,524.1503382030454,513.3098063440096,557.8509435710536
2020,MT,39994,482.96261189178375,504.64050857628644,516.791418712807,505.8748462269341,555.4908236235435
